<1>	(0.000-3.325)	<sta> Pilipinas ang edukasyon bilang solusyon sa kahirapan .	Philippines education as solution to poverty .
<2>	(3.325-11.009)	iyan ang isinusulong ng kamara ngayon sa pamamagitan ng Party-list <sta> <hes> Kabayan Party-list sa pangunguna 'yan ni Representative Ron Salo .	that's advocated by the legislative chamber now through the Party-list Kabayan Party-list led by Representative Ron Salo .
<3>	(11.009-13.303)	makakapanayam natin siya dito live sa ating studio .	we'll be interviewing him live here in our studio .
<4>	(13.303-14.300)	sir good morning po .	sir good morning .
<5>	(14.300-15.600)	<sta> magandang umaga sa iyo Jules .	good morning to you Jules .
<6>	(15.600-16.092)	okay sir .	okay sir .
<7>	(16.092-21.047)	so <hes> mayroon po kayong <hes> panukala regarding sa pag reporma ng education .	so you have a proposal regarding in the reformation of education .
<8>	(21.047-27.840)	pero sir pag-usapan natin muna siyempre recently <hes> kakabago lang kaka-launch lang <hes> fully ng system ng K to twelve system dito .	but sir of course let's first talk about what happened recently the system of K to twelve system was just changed just launched here .
<9>	(27.840-32.430)	before <hes> natin pag-usapan iyong panukala ninyo ano ba ang sa tingin ninyo sa K to twelve natin ?	before we talk about your proposal what do you think about our K to twelve ?
<10>	(32.430-34.448)	maayos naman iyong sa K to twelve natin .	our K to twelve is in order .
<11>	(34.448-48.630)	actually kasalukuyan pinag-uusapan iyong <breath> budget ng Departame- -- Department of Education particularly dito sa K to twelve at nakita naman natin may mga concerns iyong mga Kongresista lalo na sa implementasyon before so far so good naman .	actually at present the budget of Department of Education is being discussed particularly for K to twelve and we also saw that the Congressmen had concerns on the implementation before so far so good .
<12>	(48.630-49.069)	okay .	okay .
<13>	(49.069-52.569)	sir <hes> dito simulan natin sa kasalukuyan nating basic education paradigm .	sir here let's start at our present basic education paradigm .
<14>	(52.569-55.162)	sinasabi n'yo po may tinatawag tayong three R's .	you're saying we have what we call three R's .
<15>	(55.162-60.650)	ito iyong reading writing and arithmetic na sinasabi n'yong sa privilege speech ninyo na dapat maging three <int> C's .	this is the reading writing and arithmetic you said should be the three C's in your privilege speech .
