<1>	(0.000-1.998)	<misc> news F_M .	news F_M .
<2>	(1.998-11.455)	at <hes> talking about <hes> <sta> beach tennis <hes> nasa kabilang linya po ng ating telepono ang <hes> <sta> nag-pro-promote po nito .	and talking about beach tennis the one promoting is on the other line of the telephone .
<3>	(11.455-16.470)	masigasig na nag-pro-promote ng sport na ito walang iba kundi si miss Lotlot de Leon .	enthusiastically promoting this sport is none other than Miss Lotlot de Leon .
<4>	(16.470-19.233)	magandang hapon <sta> sa 'yo <hes> Lotlot -- miss Lotlot .	good afternoon Lotlot -- miss Lotlot .
<5>	(19.233-22.615)	<overlap> hi tito Ron magandang hapon po kamusta ?	hi Tito Ron good afternoon how are you ?
<6>	(22.615-30.740)	wow mabuti naman at <hes> <hes> I understand mayroon uling <hes> beach tennis clinic mamaya ano ?	wow fine and I understand there is a beach tennis clinic again later right ?
<7>	(30.740-36.257)	mayroon po sa sand S_M by the bay sa may tabi po ng Vikings sa Mall of Asia .	there is in sand S_M by the bay beside Vikings at Mall of Asia .
<8>	(36.257-36.700)	yes .	yes .
<9>	(36.700-48.274)	so sana po lahat po ng <hes> gustong matutong maglaro nitong pinakabagong sport dito na dinala natin sa Pilipinas eh pumunta lang din -- mag -- magpunta lang po sila lahat do'n at welcome po na maglaro .	so I hope all who wants to learn how to play this newest sport that we have brought in the Philippines just go -- all can just go there and welcome to play .
<10>	(48.274-50.977)	oo at na 'ko exciting 'yung laro na 'yan 'no ?	yes and that game is exciting ?
<11>	(50.977-54.320)	siguro before we talk about <hes> anong kaibahan nito ?	perhaps before we talk about that is its difference ?
<12>	(54.320-69.590)	anong pagkakahawig sa -- sa tennis at sa volleyball <hes> siguro itatanong ko muna <hes> miss Lotlot <hes> pa'no ba -- pa'no mo naisipan na dalhin dito 'yang larong 'yan at ipakilala sa ating mga mahihilig sa sports ?	what is the similarity of -- of tennis and volleyball perhaps I should first miss Lotlot how how did it come to your mind to bring that game here and introduce it to those who like sports ?
<13>	(69.590-76.567)	<hes> pa'no po kasi mayroon akong kaibigan na taga-ibang bansa tapos sabi niya naglalaro ka ba niyan 'yung beach tennis ?	it happened I have a friend from a foreign country and then he said are you playing beach tennis ?
<14>	(76.567-78.041)	sabi ko ano 'yung beach tennis ?	I said what is beach tennis ?
<15>	(78.041-85.630)	sabi niya nilalaro 'yan sa ano sa may beach tapos <hes> may raketa ka tapos ang gamit mo tennis ball .	he said it is played on the beach then you have a racket then you are using a tennis ball .
<16>	(85.630-87.913)	so naging interesante po ako don .	so I became interested in that .
<17>	(87.913-91.030)	<hes> hinanap ko siya ginoogle ko .	I searched for it and googled it .
<18>	(91.030-95.641)	tapos 'nong nakita ko sabi ko wow puwedeng-puwede 'yan sa atin sa Pilipinas .	then when I saw it I said wow this is possible for us there in the Philippines .
<19>	(95.641-101.876)	lalo na't tayo eh napakaraming <hes> magagandang kagaya 'nong mga beach .	especially that we have so many beautiful like the beaches .
<20>	(101.876-102.496)	that's right .	that's right .
<21>	(102.496-105.787)	<sta> <hes> punong-puno tayo ng mga magagandang island .	we are full of beautiful islands .
<22>	(105.787-110.214)	so why not sabi why not bring it <sta> here in the Philippines .	so why not I said why not bring it here in the Philippines .
<23>	(110.214-113.600)	oo at talagang bagay para sa atin 'no ?	yes and it really fits nicely for us ?
<24>	(113.600-119.065)	at 'tsaka opo <hes> ano bang kaibahan nito sa regular tennis aside from the playing court 'no ?	and also yes what is its difference from regular tennis aside from the playing court right ?
<25>	(119.065-126.904)	<hes> 'yung -- 'yung lawn tennis kasi nasa nilalaro 'yan sa concrete o kaya sa shell court or grass court 'no ?	the -- the lawn tennis depends on how you play on concrete or on a shell court or grass court right ?
<26>	(126.904-130.720)	pero itong beach tennis siyempre on -- on a sand 'no ?	but beach tennis is definitely on -- on sand right ?
<27>	(130.720-135.778)	pero ano 'yung pagkakaiba nila 'yung tungkol sa rules <hes> ano ba 'yung mga pagkakaiba nila ?	but what are the differences in the rules what are their differences ?
<28>	(135.778-136.670)	<no-speech>	<no-speech>
<29>	(136.670-148.291)	<sta> so to make it more simpler tito Ron 'no kung marunong kang mag-badminton okey marunong kang mag-tennis <sta> dalhin mo lang siya sa beach at do'n mo siya laruin beach tennis na siya .	so to make it more simpler uncle Ron if you know how to play badminton okay then you know how to play tennis bring it to the beach and play it there then it's already beach tennis .
<30>	(148.291-148.895)	oo .	yes .
<31>	(148.895-161.353)	kasi dito ang gamit ay raketa <hes> 'yung iba made from wood 'yung iba made from carbon fiber but the ones that na mayroon tayo dito sa Pilipinas gawa 'yon sa wood and it's imported .	because here a racket is used others are made from wood and the others are made from carbon fiber but the ones that we have here in the Philippines are made from wood and it's imported .
<32>	(161.353-161.900)	hmm hmm .	hmm hmm .
<33>	(161.900-168.330)	tapos <hes> ang scoring niya parang tennis pero ang laro niya parang badminton .	then the scoring is like tennis but the game play is like badminton .
<34>	(168.330-173.241)	so 'di ba tayo ang hilig natin maglaro ng badminton sa kalye kahit hinahangin 'yung bola ?	so don't we like playing badminton on the street even though the ball is dragged by the wind ?
<35>	(173.241-174.330)	<overlap> oo nga oo .	yes yes really .
<36>	(174.330-174.992)	'di ba ?	right ?
<37>	(174.992-180.083)	so ito naman hindi na hahanginin 'yung bola mo kasi ang gamit dito eh tennis ball .	so here your ball will no longer be swayed because what you use here is a tennis ball .
<38>	(180.083-180.720)	tennis ball .	tennis ball .
<39>	(180.720-191.622)	so kahit mahangin sa labas at gusto lang maglaro ng mga bata o ng mga teenager or 'yung mga kaedad nating mga <hes> nasa edad na %incomplete	so even if it's windy outside and the children or the teenagers or those our age just want to play at the age of %incomplete
<40>	(191.622-192.272)	<no-speech>	<no-speech>
<41>	(192.272-193.709)	salamat ah magka-edad tayo ah .	thank you we're the same age .
<42>	(193.709-197.482)	<overlap> ay talagang -- talagang mag-e-enjoy kasi it's really an outdoor game .	you will really -- really enjoy because it's really an outdoor game .
<43>	(197.482-198.280)	yes .	yes .
<44>	(198.280-213.610)	oo nga 'yung bola talagang kaparehong kaparehong 'nong ginagamit sa lawn tennis 'no pero <hes> depressurized -- paki explain nga kung ano ang ibig sabihin ng depressurized 'yung <overlap> <hes> 'yung depressurized ibig sabihin magaan po 'yung bola .	yes the ball is really the same as the one used in tennis right but depressurized -- please explain what depressurized means depressurized means the ball is light .
<45>	(213.610-217.631)	kasi po 'yung karaniwan po na tennis ball medyo mabigat po 'yon .	because the usual tennis ball is slightly heavy .
<46>	(217.631-221.116)	pag hinampas mo ng raketa medyo malayo po ang mararating .	if you smash it with a racket it can go a little bit farther .
<47>	(221.116-222.140)	alright oh .	alright oh .
<48>	(222.140-222.584)	opo .	yes .
<49>	(222.584-229.132)	pero 'yung <hes> ginagamit po sa beach tennis na bola just also like a tennis ball pero mas magaan .	but the the ball used in used in beach tennis is just also like a tennis ball but lighter .
<50>	(229.132-240.119)	<overlap> pag hinataw n'yo po 'yung bola <hes> sakto lang po 'yung tama niya do'n sa kabilang <hes> kabilang (()) kung kanino mo po siya itatapon .	if you smash the ball it exactly hits there on the opposite side opposite side (()) where you have thrown it .
<51>	(240.119-241.000)	<no-speech>	<no-speech>
<52>	(241.000-248.216)	at 'tsaka ang nabasa ko rin ano nagkainteres din pala dito sina Andre Agassi 'no at 'tsaka si Steffi Graf 'yung mag-asawa ?	and then I have also read Andre Agassi and then Steffi Graf the couple have also taken an interest here ?
<53>	(248.216-249.240)	opo .	yes .
<54>	(249.240-254.723)	<hes> lahat po 'nong mga famous na tennis players po ay naglalaro din po niyan .	all the famous tennis players are also playing that .
<55>	(254.723-266.320)	I think considered as professional tennis players no so pagdating naman sa dagat at gusto nilang mamahinga hindi naman sila puwedeng makapaglaro do'n ng regular tennis na game nila .	I think considered as professional tennis players in terms of the sea and they want to take rest and they cannot play there their regular tennis game .
<56>	(266.320-268.774)	so ito po ang nilalaro nila beach tennis .	so they are playing this beach tennis .
<57>	(268.774-269.490)	uhum .	hmm .
<58>	(269.490-274.680)	ito ba ay pang- -- doubles lamang o puwedeng mayroon Ding singles mayroon Ding %incomplete	is this for -- doubles only or does it have also singles and has %incomplete
<59>	(274.680-277.219)	'nong nag-ki-clinic kayo nakita ko may tatlo eh .	when you were having a clinic so I have seen there are three .
<60>	(277.219-278.893)	three a side eh parang triple .	three a side so seems triple .
<61>	(278.893-283.079)	<overlap> opo 'yung leisure games po tito Ron puwedeng po 'yan pang- -- tatluhan .	yes leisure games Tito Ron can be for three .
<62>	(283.079-283.431)	okey .	okay .
<63>	(283.431-298.063)	kumbaga kung pustahan lang pero kung talagang tournament po ang pag-uusapan at 'yun po eh gusto ni 'yong gawin like in competition with other group <hes> maganda po mixed doubles and singles puwedeng-puwede po .	like if only for a bet but if we are discussing a real tournament and you want to do that in a competition with other group it is good to have mixed doubles and singles is also possible .
<64>	(298.063-298.780)	<no-speech>	<no-speech>
<65>	(298.780-305.430)	ang court po niya ay kasing laki po ng <hes> parang volleyball court eight by sixteen .	its court is as big as like a volleyball court eight by sixteen .
<66>	(305.430-309.480)	pagkatapos ang taas po ng net niya ay one point five meter .	and then its net is too high one point five meter .
<67>	(309.480-314.777)	so kung gusto n'yo po ng singles hahatiin lang po 'yun sa gitna tapos puwede po kayong maglaro ng singles .	so if you want singles it will be divided in the middle and then you can play singles .
<68>	(314.777-318.480)	kung doubles naman po 'yung buong court po 'yun ang gagamitin .	for doubles the whole court will be used .
<69>	(318.480-327.330)	uhum and then ang scoring <hes> ano parang ano lang 'to 'yung isang match is good only for <hes> one match -- ah one set ?	uhm and then the scoring like this one match is good only for one match -- ah one set ?
<70>	(327.330-328.127)	ah tama ba ?	ah is it right ?
