<1>	(0.000-1.776)	<no-speech>	<no-speech>
<2>	(1.776-10.509)	<sta> binuksan na sa trapiko ang roundabout o rotonda na ginagawa sa Bayanihan Park Balibago dito sa lungsod ng Angeles .	the roundabout route has been opened for traffic in Bayanihan Park Balibago here in the city of Angeles .
<3>	(10.509-27.300)	ang rotonda na ginawa sa pondo na galing sa Clark Development Corporation at nagkakahalaga ng labing limang milyong piso ayon sa kanilang invitation to bid document ay bahagi ng mga paghahanda na ginagawa para sa APEC Summit sa darating na taon .	the roundabout route which was funded by the Clark Development Corporation and costs fifteen million pesos according to their invitation to bid document which is part of their preparation for the APEC summit next year .
<4>	(27.300-41.480)	ayon kay Juan Miguel Fuentes APEC Project Management Office Chairman ng C_D_C malaking tulong ang rotonda project <sta> na ito para mabawasan ang traffic papunta sa free port zone at sa S_M City Clark .	according to Juan Miguel Fuentes APEC Project Management Office Chairman of C_D_C the roundabout route project is a big help to reduce traffic going to the free port zone and S_M City Clark .
<5>	(41.480-51.580)	ang <hes> rotonda dito sa Clark 'no ay <hes> isang produkto ng pag-aaral <hes> to solve 'yong problem ng traffic dito sa ano ano .	the roundabout route here in Clark is a product of a study to solve the problem in traffic here .
<6>	(51.580-62.534)	<hes> traffic dahil <sta> sa volume basically <sta> ng mga sasakyan dito dahil dito po lahat bagsakan ng mga empleyado <sta> na pumapasok sa Clark and sa S_M .	traffic basically because of the volume of vehicles here because this is the bottleneck of all the employees who are entering Clark and S_M .
<7>	(62.534-66.079)	which numbers sa Clark alone mga seventy thousand na .	which numbers at Clark alone is already seventy thousand .
<8>	(66.079-71.012)	seven- -- seventy five thousand at so you can just imagine on a daily basis ang tao na pumapasok .	seven -- seventy-five thousand and so you can just imagine on a daily basis the people who are entering .
<9>	(71.012-77.130)	so we had to a- -- we have to address 'yong volume ng mga sasakyan na pumapasok-labas dito sa area na 'to ano po ?	so we had to a -- we have to address the volume of vehicles which are entering and exiting here in this area what ?
<10>	(77.130-89.722)	dagdag naman ni C_D_C Vice President for <sta> Operations Franco Madlangbayan malaki ang magiging impact ng proyektong ito hindi lamang sa preparasyon ng siyudad para sa twenty fifteen APEC Summit .	C_D_C Vice President for Operations Franco Madlangbayan adds that this project will have a huge impact not only for the preparation of the city for the twenty fifteen APEC Summit .
<11>	(89.722-99.890)	<hes> isa sa mga major projects 'no <hes> in preparation for the <hes> APEC <hes> Summit 'no <hes> next year .	one of the major projects in preparation for the APEC Summit next year .
<12>	(99.890-104.905)	<hes> ngayon <hes> -- pero hindi lang naman sa APEC ito 'no ?	now -- but this is not only for the APEC right ?
<13>	(104.905-105.850)	<no-speech>	<no-speech>
<14>	(105.850-121.040)	ito ay <sta> <hes> para sa -- bigyan ng permanent solution 'yong nasabi nga kanina ni Red na traffic congestion dito sa area ng McArthur Highway papasok dito sa Clark .	this is for the -- give a permanent solution as mentioned earlier by Red the traffic congestion here in the area of McArthur Highway entering here at the Clark .
<15>	(121.040-129.850)	bagamat hindi pa tapos ang nasabing proyekto pinabuksan na ito upang maibsan ang trapiko at mas mapabilis ang paggawa dito .	though the said project is not yet finished this has been made to open to alleviate the traffic and hasten its construction .
<16>	(129.850-141.014)	isa rin itong paraan upang masanay na ang mga motorista pati na ang mga riding public sa mga bagong patakaran na ipatutupad ng Angeles <sta> City Traffic Management Division .	this is also one way to practice the motorists as well as the riding public to the new regulations to be implemented by the Angeles City Traffic Management Division .
<17>	(141.014-153.930)	ayon kay Attorney Joseph Jeffrey Miranda bagong talaga na O_I_C ng ACTEMO pag-iibayuhin nila ang pagsasaayos ng trapiko sa buong lungsod sa pamamagitan ng pagsasaayos ng mga daan .	according to Attorney Joseph Jeffrey Miranda newly assigned O_I_C of ACTEMO they are going to intensify the organization of traffic in the whole city by fixing the roads .
<18>	(153.930-160.933)	paglalagay ng mga traffic enforcers sa lugar na malaki ang volume ng mga sasakyan lalo na during rush hours .	putting traffic enforcers in the place which has large volumes of vehicles especially during rush hours .
<19>	(160.933-166.280)	at higit sa lahat ang puspusang pagpapatupad ng mga batas trapiko .	and most of all a thorough implementation of traffic laws .
<20>	(166.280-179.490)	<sta> so malaki -- malaking bagay itong <hes> itong <hes> -- itong rotonda na 'to na makakatulong sa 'pag <hes> -- 'pag <hes> isasaayos ng ating <hes> traffic <hes> situation dito sa area na ito ng Balibago .	so huge -- this is a huge thing this this -- this traffic circle can help in -- in organizing our traffic situation here in this area in Balibago .
<21>	(179.490-180.182)	so malaki 'yan .	so that's huge .
<22>	(180.182-181.104)	malapad 'yan 'no ?	is that wide right ?
<23>	(181.104-183.225)	<sta> five lanes 'yan five lanes .	five lanes these are five lanes .
<24>	(183.225-196.560)	so hindi na tayo makakas- -- ang ang ano natin ang objective natin <sta> magkakaroon ng <hes> free flowing na traffic <hes> ano rito para dire-diretso 'yong mga sasakyan natin .	so we cannot -- the the our objective is to have a free flowing traffic here so our vehicles can go straight way ahead .
<25>	(196.560-205.930)	ayon naman kay Mayor Ed Pamintuan panahon na upang ibalik ang kaayusan at katinuan sa mga kalsada ng lungsod ng Angeles .	according to Mayor Ed Pamintuan it is time to restore the order and sanity of the roads in the city of Angeles .
<26>	(205.930-216.856)	magdudulot man ito ng inconvenience sa iilan pero ang higit na kabutihan para sa mas nakararami ang sandigan at panuntunan sa pagpapatupad ng mga batas na ito .	this will also cause inconvenience to some but the greater good for the majority is the principle and guidance in implementing these laws .
<27>	(216.856-217.646)	<no-speech>	<no-speech>
<28>	(217.646-218.785)	para sa bagyo ~ %incomplete	for the storm %incomplete
