<1>	(Outline, 0.000-0.651)	o sige .	oh alright .
<2>	(Inline, 0.000-0.885)	<no-speech>	<no-speech>
<3>	(Outline, 0.651-0.988)	<no-speech>	<no-speech>
<4>	(Inline, 0.885-2.318)	<no-speech>	<no-speech>
<5>	(Outline, 0.988-1.510)	ikaw ?	you ?
<6>	(Outline, 1.510-3.230)	<no-speech>	<no-speech>
<7>	(Inline, 2.318-3.942)	hinihintay ko pa nga <hes> .	I'm still waiting .
<8>	(Outline, 3.230-3.980)	okey na 'to ?	is this okay already ?
<9>	(Inline, 3.942-7.615)	<no-speech>	<no-speech>
<10>	(Outline, 3.980-7.490)	<no-speech>	<no-speech>
<11>	(Outline, 7.490-9.328)	<hes> ikaw kung gusto mo .	if you want .
<12>	(Inline, 7.615-8.445)	<no-speech>	<no-speech>
<13>	(Inline, 8.445-10.235)	<no-speech>	<no-speech>
<14>	(Outline, 9.328-9.772)	<no-speech>	<no-speech>
<15>	(Outline, 9.772-11.561)	kahit ikaw lang mag-isa okey na ako .	I'm good even if you're alone .
<16>	(Inline, 10.235-11.235)	<no-speech>	<no-speech>
<17>	(Inline, 11.235-13.604)	<no-speech>	<no-speech>
<18>	(Outline, 11.561-11.774)	<no-speech>	<no-speech>
<19>	(Outline, 11.774-13.268)	o punta ka na rito .	come here already .
<20>	(Outline, 13.268-18.980)	<no-speech>	<no-speech>
<21>	(Inline, 13.604-14.998)	oo hinihintay ko nga .	yes I am waiting .
<22>	(Inline, 14.998-16.510)	maliligo pa ako <hes> .	I'll still take a bath .
<23>	(Inline, 16.510-22.995)	(()) sino ?	(()) who ?
<24>	(Outline, 18.980-21.496)	<no-speech>	<no-speech>
<25>	(Outline, 21.496-23.206)	buti nagdala ako .	good that I brought .
<26>	(Inline, 22.995-25.958)	<sta> ha ha ?	huh huh ?
<27>	(Outline, 23.206-26.963)	<no-speech>	<no-speech>
<28>	(Inline, 25.958-29.898)	'di kumuha ka diyan .	just get from there .
<29>	(Outline, 26.963-28.020)	okey sige .	okay .
<30>	(Outline, 28.020-28.305)	<no-speech>	<no-speech>
<31>	(Outline, 28.305-30.720)	na naliligo ka diyan 'no .	you're taking a bath there aren't you .
<32>	(Inline, 29.898-32.724)	oo nga <hes> .	yes .
<33>	(Outline, 30.720-31.860)	<no-speech>	<no-speech>
