<1>	(Outline, 0.000-0.880)	oh 'yan na .	oh here it is .
<2>	(Inline, 0.000-2.570)	<no-speech>	<no-speech>
<3>	(Outline, 0.880-11.300)	<no-speech>	<no-speech>
<4>	(Inline, 2.570-4.342)	daya ano daw ubong mo ?	that's cheating what's your hut according to them ?
<5>	(Inline, 4.342-5.355)	<no-speech>	<no-speech>
<6>	(Inline, 5.355-6.987)	sa'n mo nga ubong ?	where is your hut ?
<7>	(Inline, 6.987-8.671)	<no-speech>	<no-speech>
<8>	(Inline, 8.671-11.430)	tapay daw Ma tapay si Ubeng .	comb Ma Ubeng is a comb .
<9>	(Outline, 11.300-15.284)	<sta> bakit hindi pumunta si ate mo ay si tita mo ?	why didn't your sister oh your aunt go ?
<10>	(Inline, 11.430-12.560)	<no-speech>	<no-speech>
<11>	(Inline, 12.560-13.210)	Ma ?	Ma ?
<12>	(Inline, 13.210-16.830)	<no-speech>	<no-speech>
<13>	(Outline, 15.284-16.210)	<no-speech>	<no-speech>
<14>	(Outline, 16.210-17.440)	<no-speech>	<no-speech>
<15>	(Inline, 16.830-17.620)	Ma ?	Ma ?
<16>	(Outline, 17.440-19.322)	bakit hindi pumunta si tita mo ?	why didn't your aunt go ?
<17>	(Inline, 17.620-19.130)	<no-speech>	<no-speech>
<18>	(Inline, 19.130-19.730)	ha ?	huh ?
<19>	(Outline, 19.322-19.685)	<no-speech>	<no-speech>
<20>	(Outline, 19.685-21.020)	bakit hindi pupunta ?	why is she not going ?
<21>	(Inline, 19.730-26.110)	<no-speech>	<no-speech>
<22>	(Outline, 21.020-22.160)	<no-speech>	<no-speech>
<23>	(Outline, 22.160-22.520)	<no-speech>	<no-speech>
<24>	(Outline, 22.520-24.680)	<no-speech>	<no-speech>
<25>	(Outline, 24.680-25.151)	(()) .	(()) .
<26>	(Outline, 25.151-26.060)	<no-speech>	<no-speech>
<27>	(Outline, 26.060-27.828)	<no-speech>	<no-speech>
<28>	(Inline, 26.110-28.210)	pupunta ka ng D_S_W_D ?	will you go to D_S_W_D ?
<29>	(Outline, 27.828-29.087)	ah .	ah .
<30>	(Inline, 28.210-30.640)	<no-speech>	<no-speech>
<31>	(Outline, 29.087-30.783)	nakaalis na ba hindi pa ?	have they left or not ?
<32>	(Inline, 30.640-33.180)	si tita ang pupunta sa D_S_W_D .	auntie will go to D_S_W_D .
<33>	(Outline, 30.783-32.310)	<no-speech>	<no-speech>
<34>	(Outline, 32.310-36.890)	<no-speech>	<no-speech>
<35>	(Inline, 33.180-34.450)	<no-speech>	<no-speech>
<36>	(Inline, 34.450-36.774)	hindi pa para ka tito Atan 'yon eh .	not yet that's for Uncle Atan .
<37>	(Inline, 36.774-38.318)	<no-speech>	<no-speech>
<38>	(Outline, 36.890-37.910)	bakit daw ?	why ?
<39>	(Outline, 37.910-39.330)	<no-speech>	<no-speech>
<40>	(Inline, 38.318-40.590)	mamaya pa raw alas-dos .	later at two o'clock .
<41>	(Outline, 39.330-39.720)	<no-speech>	<no-speech>
<42>	(Outline, 39.720-40.840)	<no-speech>	<no-speech>
<43>	(Inline, 40.590-42.040)	<no-speech>	<no-speech>
<44>	(Outline, 40.840-42.667)	sayang sana sama ako .	too bad I wanted to come .
<45>	(Inline, 42.040-42.930)	ha ?	huh ?
<46>	(Outline, 42.667-43.203)	<no-speech>	<no-speech>
<47>	(Inline, 42.930-46.810)	<no-speech>	<no-speech>
<48>	(Outline, 43.203-44.070)	sama ako .	I want to come .
<49>	(Outline, 44.070-48.810)	<no-speech>	<no-speech>
<50>	(Inline, 46.810-50.780)	ano 'yun eh kay tito Atan .	that's uh for Uncle Atan .
<51>	(Outline, 48.810-49.461)	(()) .	(()) .
<52>	(Outline, 49.461-51.478)	<no-speech> kaya nga .	that's why .
<53>	(Inline, 50.780-51.720)	<no-speech>	<no-speech>
<54>	(Outline, 51.478-53.110)	bakit pinuntahan sila ?	why were they visited ?
<55>	(Inline, 51.720-54.310)	<int> ha ?	huh ?
<56>	(Outline, 53.110-54.670)	<no-speech>	<no-speech>
<57>	(Inline, 54.310-55.810)	<no-speech>	<no-speech>
<58>	(Outline, 54.670-56.140)	pinuntahan sila ?	they were visited ?
<59>	(Inline, 55.810-58.901)	pinuntahan daw kayo 'ta ?	you were visited auntie ?
<60>	(Outline, 56.140-63.525)	<no-speech>	<no-speech>
<61>	(Inline, 58.901-60.243)	<no-speech>	<no-speech>
<62>	(Inline, 60.243-62.723)	'ta pinuntahan ka raw dito ?	auntie were you visited here ?
<63>	(Inline, 62.723-63.097)	<no-speech>	<no-speech>
<64>	(Inline, 63.097-64.303)	oo daw .	yes according to her .
<65>	(Outline, 63.525-70.910)	<no-speech>	<no-speech>
<66>	(Inline, 64.303-64.609)	<no-speech>	<no-speech>
<67>	(Inline, 64.609-67.700)	kasama niya si ate Tess si tita Diane .	she was with Sister Tess and Auntie Diane .
<68>	(Inline, 67.700-70.200)	ay si ate Nilang pala wala si tita Diane .	oh Sister Nilang Aunt Diane wasn't present .
<69>	(Inline, 70.200-73.830)	<no-speech>	<no-speech>
<70>	(Outline, 70.910-72.607)	ah bakit wala na si Diane ?	why was Diane missing ?
<71>	(Outline, 72.607-73.940)	<no-speech>	<no-speech>
<72>	(Inline, 73.830-75.180)	'yung kay Bugoy .	the one with Bugoy .
<73>	(Outline, 73.940-76.100)	<no-speech>	<no-speech>
<74>	(Inline, 75.180-77.190)	<no-speech>	<no-speech>
<75>	(Outline, 76.100-76.970)	kaya nga wala .	which is why she's missing .
<76>	(Outline, 76.970-78.470)	bakit wala si Diane ?	why is Diane absent ?
<77>	(Inline, 77.190-77.830)	ha ?	huh ?
<78>	(Inline, 77.830-82.370)	<no-speech>	<no-speech>
<79>	(Outline, 78.470-80.010)	<no-speech>	<no-speech>
<80>	(Outline, 80.010-81.870)	wala rin si Bugoy ?	Bugoy was also absent ?
<81>	(Outline, 81.870-88.260)	<no-speech>	<no-speech>
<82>	(Inline, 82.370-83.690)	nasa trabaho .	at work .
<83>	(Inline, 83.690-84.600)	<no-speech>	<no-speech>
<84>	(Inline, 84.600-88.170)	kasali si Bugoy .	Bugoy is included .
<85>	(Inline, 88.170-89.520)	<no-speech>	<no-speech>
<86>	(Outline, 88.260-88.950)	<no-speech>	<no-speech>
<87>	(Outline, 88.950-89.920)	sino pupunta ?	who's going ?
<88>	(Inline, 89.520-93.626)	pero hindi nila kasama 'yung ano mga ano mga sa- -- mga may sakit .	but they're not going with those uh those uh -- the sick ones .
<89>	(Outline, 89.920-93.520)	<no-speech>	<no-speech>
<90>	(Outline, 93.520-95.505)	kaya nga sino pupunta kay Bugoy ?	yes so who's going to Bugoy ?
<91>	(Inline, 93.626-94.461)	<no-speech>	<no-speech>
<92>	(Inline, 94.461-95.090)	ha ?	huh ?
<93>	(Inline, 95.090-99.220)	<no-speech>	<no-speech>
<94>	(Outline, 95.505-96.560)	<no-speech>	<no-speech>
<95>	(Outline, 96.560-98.740)	<no-speech>	<no-speech>
<96>	(Outline, 98.740-99.250)	(()) .	(()) .
<97>	(Inline, 99.220-100.170)	si ate Ne .	Sister Ne .
<98>	(Outline, 99.250-100.200)	<no-speech>	<no-speech>
<99>	(Inline, 100.170-103.410)	<no-speech>	<no-speech>
<100>	(Outline, 100.200-101.550)	ah .	ah .
<101>	(Outline, 101.550-104.480)	<no-speech>	<no-speech>
<102>	(Inline, 103.410-104.430)	si ate Ne .	Sister Ne .
<103>	(Inline, 104.430-109.160)	<no-speech>	<no-speech>
<104>	(Outline, 104.480-105.349)	oo .	yes .
<105>	(Outline, 105.349-106.148)	<no-speech>	<no-speech>
<106>	(Outline, 106.148-108.222)	bakit mamaya pa ng 'yong sa 'yo ?	why is yours later ?
<107>	(Outline, 108.222-112.524)	<no-speech>	<no-speech>
<108>	(Inline, 109.160-109.690)	<no-speech>	<no-speech>
<109>	(Inline, 109.690-112.940)	<no-speech>	<no-speech>
<110>	(Outline, 112.524-114.290)	ano tapos na ?	is it over ?
<111>	(Inline, 112.940-113.550)	ha ?	huh ?
<112>	(Inline, 113.550-118.510)	<no-speech>	<no-speech>
<113>	(Outline, 114.290-118.490)	<no-speech>	<no-speech>
<114>	(Outline, 118.490-123.310)	<sta> ano pupunta kayo ?	uh will you go ?
<115>	(Inline, 118.510-119.560)	hindi pa .	not yet .
<116>	(Inline, 119.560-122.600)	<no-speech>	<no-speech>
<117>	(Inline, 122.600-123.980)	'andito na pala si Lot .	Lot's already here .
<118>	(Outline, 123.310-124.629)	<no-speech>	<no-speech>
