<1>	(0.000-0.533)	<no-speech>	<no-speech>
<2>	(0.533-9.770)	una po sa ating mga balita patuloy ang pagsisikap ng pamahalaan na mailigtas na ang lahat ng bihag ng Mi- -- M_N_L_F Misuari fa- -- faction sa Zamboanga City .	first in our news the effort of the government continues in saving all captives of the -- M_N_L_F Misuari -- faction in Zamboanga City .
<3>	(9.770-17.450)	<sta> kaugnay po nito nadagdagan pa ang bilang ng mga nakalayang hostage kung saan isang daan at labing pito na ito sa kabuuan .	this is in relation to the added number of freed hostages which has totaled to one hundred and seventeen .
<4>	(17.450-23.020)	<sta> tiniyak din ng pamahalaan ang tulong sa mga ito kabilang na ang pagsasailalim sa debriefing .	the government assured them of assistance along with undertaking a debriefing .
<5>	(23.020-28.402)	<sta> ang update po mula sa aming kasamang si George Bandola live na mag-uulat mula po 'yan sa Zamboanga City .	the update from our partner George Bandola reporting live from Zamboanga City .
<6>	(28.402-30.210)	George magandang hapon sa 'yo .	George good afternoon to you .
<7>	(30.210-34.750)	<no-speech>	<no-speech>
<8>	(34.750-36.406)	<no-speech>	<no-speech>
<9>	(36.406-57.720)	magandang hapon <hes> Kirby at sa mga oras na ito bukod do'n sa isang daan at labimpitong binabanggit mo ay <hes> sa kabuuan ay one hundred fifty one na ito kung isasama mo pa 'yung mga naunang nakalaya at mga napalaya sa pamamagitan din ng isinagawang <hes> calibrated response ng magkasanib na puwersa ng A_F_P at ng Philippine National Police .	good afternoon Kirby at this time aside from the one hundred and seventeen that you mentioned is in total is one hundred and fifty one already including the first ones who were freed and those who were freed by way of the calibrated response of the joint force of A_F_P and of the Philippine National Police .
<10>	(57.720-67.895)	ang isang daan at labing pito ay kani- -- kagabi lamang hanggang kaninang madaling a- -- isang <hes> magkakasunod na operasyon na isinagawa ng mga awtoridad .	the one hundred and seventeen was -- just last night in the early -- one consecutive operations carried out by the authorities .
<11>	(67.895-89.207)	nauna na nga diyan ang <hes> isinagawang minimum aerial strike na ginawa kahapon sa pamamagitan ng <hes> paglipad ng mga N_G_five twenty ng pamahalaan at tatlong beses na pagpapa- -- <hes> ulan sa mga <hes> grupo ng mga Moro National Liberation Front Misuari faction .	first of that is the minimum aerial strike that was carried out yesterday by the flight of the government's N_G_five twenty and three times -- raining on the groups of the Moro National Liberation Front Misuari faction .
<12>	(89.207-115.020)	samantala <hes> isang flash report din ang ating tinanggap ngayon <hes> Kirby na sa kabilang banda sa pagkakaroon o sa kabila 'nong pagkakaroon ng pagkalaya ng isang daan at labimpitong hostages ngayong umaga hanggang <hes> simula kagabi nakidnap naman ito pong Zamboanga City Chief of Police na si <hes> Police Senior Superintendent Chiquito Malayo .	meanwhile we're receiving a flash report now Kirby that aside from having or despite having released one hundred and seventeen hostages this morning until starting last night Zamboanga City Chief of Police Police Senior Superintendent Chiquito Malayo has been kidnapped .
<13>	(115.020-127.958)	si <hes> Colonel Malayo ay sinasabing dinukot ng ilang mga miyembro ng M_N_L_F sa bahagi ng Arena Blanco sa Sitio Arena Blanco sa Baranggay Mampang dito rin po sa Zamboanga City .	Colonel Malayo was said to be abducted by a number of members of the M_N_L_F in the Arena Blanco area in Sitio Arena Blanco in Mampang Municipality here in Zamboanga City .
<14>	(127.958-138.980)	kasama nitong si Colonel Malayo ang <hes> tatlong miyembro rin ng Zamboanga City Police nang <hes> ka- -- sila'y dukutin pasado alas-onse kanina lamang .	along with Colonel Malayo are three members of the Zamboanga City Police as well when -- they were abducted past eleven o'clock just a while ago .
<15>	(138.980-162.560)	at ang mga ito'y nagsasagawa ng <hes> -- at ang mga ito'y nagsasagawa ng clearing operation sasabihin ng A_F_P na halos <hes> pitumpung porsiyento ng kanilang mga nauna nang na-ki-clear na mga lugar na naunang na-infest nitong mga M_N_L_F members ay ipinasa na sa M_N_L -- o sa -- ipinasa na sa P_N_P for clearing operation sana .	they were carrying out -- and they were carrying out clearing operations A_F_P will say that almost seventy percent of their previously cleared areas that were first infested by these M_N_L_F members have been passed to the M_N_L -- or to -- passed to the P_N_P for clearing operations hopefully .
<16>	(162.560-175.891)	at <hes> nakikita n'yo po sa video ang ilan sa mga miyembro ng Moro National Liberation Front na napatay sa isinagawang operasyon ng <hes> magkasanib na puwersa ng A_F_P at ng Philippine National Police .	and you can see in the video some of the members of the Moro National Liberation Front who were killed in the conducted operation of the combined forces of A_F_P and the Philippine National Police .
<17>	(175.891-179.895)	ang mga ito'y nando'n pa rin ngayon sa kanto ng Veterans Avenue .	these are currently still in the corner of Veteran Avenue .
<18>	(179.895-194.620)	at <hes> kanina pong umaga ay <hes> katulad ng inyong nakikita sa <hes> video ninyo ngayon ay isa-isang <hes> kinukuha ang mga hostages na naunang napalaya sa bahagi ng Baranggay Santa Barbara .	and earlier this morning like what you can see in your video now the hostages are being retrieved one by one were the first freed in the part of Barrio Santa Barbara .
<19>	(194.620-207.880)	karamihan sa mga ito ay <hes> mga middle age women and men at mayroon din akong nakitang halos <hes> siyam na bata na nasa edad <hes> trese anyos pababa .	many of them are middle aged women and men and I also saw an almost nine children in ages thirteen below .
