<1>	(Inline, 0.000-3.780)	anong balita diyan -- anong balita diyan sa iyo ?	what's new there -- what's new there with you ?
<2>	(Outline, 0.000-3.870)	<no-speech>	<no-speech>
<3>	(Inline, 3.780-5.750)	<no-speech>	<no-speech>
<4>	(Outline, 3.870-5.940)	<click> gano'n pa rin walang pagbabago .	still the same there is no change .
<5>	(Inline, 5.750-6.970)	ano balita diyan sa inyo ?	what is the news from your end ?
<6>	(Outline, 5.940-7.560)	<no-speech>	<no-speech>
<7>	(Inline, 6.970-9.430)	<no-speech>	<no-speech>
<8>	(Outline, 7.560-9.460)	kayo diyan kamusta na ?	you there how are you ?
<9>	(Inline, 9.430-10.864)	kumusta na ang pag-aaral mo ?	how is your education ?
<10>	(Outline, 9.460-10.540)	<no-speech>	<no-speech>
<11>	(Outline, 10.540-11.476)	<click> .	.
<12>	(Inline, 10.864-12.050)	<no-speech>	<no-speech>
<13>	(Outline, 11.476-13.321)	ito malapit na matapos .	here almost done .
<14>	(Inline, 12.050-13.120)	<no-speech>	<no-speech>
<15>	(Inline, 13.120-13.850)	ha ?	ha ?
<16>	(Outline, 13.321-13.923)	<no-speech>	<no-speech>
<17>	(Inline, 13.850-16.410)	<no-speech>	<no-speech>
<18>	(Outline, 13.923-15.220)	malapit na matapos .	nearly done .
<19>	(Outline, 15.220-18.460)	<no-speech>	<no-speech>
<20>	(Inline, 16.410-18.150)	kailan graduation n'yo ?	when is your graduation ?
<21>	(Inline, 18.150-20.170)	<no-speech>	<no-speech>
<22>	(Outline, 18.460-19.830)	<click> April seventeen .	April seventeen .
<23>	(Outline, 19.830-21.840)	<no-speech>	<no-speech>
<24>	(Inline, 20.170-22.130)	kailan 'yong graduation n'yo ?	when is your graduation ?
<25>	(Outline, 21.840-23.233)	<click> April seventeen .	April seventeen .
<26>	(Inline, 22.130-23.330)	<no-speech>	<no-speech>
<27>	(Outline, 23.233-24.127)	<no-speech>	<no-speech>
<28>	(Inline, 23.330-24.670)	ah ?	ah ?
<29>	(Outline, 24.127-25.520)	April seventeen .	April seventeen .
<30>	(Inline, 24.670-25.930)	<no-speech>	<no-speech>
<31>	(Outline, 25.520-27.270)	<no-speech>	<no-speech>
<32>	(Inline, 25.930-27.190)	April seventeen .	April seventeen .
<33>	(Inline, 27.190-28.270)	<no-speech>	<no-speech>
<34>	(Outline, 27.270-27.950)	oo .	yes .
<35>	(Outline, 27.950-29.680)	<no-speech>	<no-speech>
<36>	(Inline, 28.270-29.755)	ah April seventeen ?	ah April seventeen ?
<37>	(Outline, 29.680-30.390)	oo .	yes .
<38>	(Inline, 29.755-30.844)	<no-speech>	<no-speech>
<39>	(Outline, 30.390-32.640)	<no-speech>	<no-speech>
<40>	(Inline, 30.844-32.230)	kumusta naman tatay mo ?	how is your father ?
<41>	(Inline, 32.230-33.860)	<no-speech>	<no-speech>
<42>	(Outline, 32.640-33.569)	<click> okey lang .	just okay .
<43>	(Outline, 33.569-33.932)	<no-speech>	<no-speech>
<44>	(Inline, 33.860-35.420)	tatay mo kumusta naman ?	your father how is he ?
<45>	(Outline, 33.932-34.823)	gano'n pa rin .	still the same .
<46>	(Outline, 34.823-35.538)	<no-speech>	<no-speech>
<47>	(Inline, 35.420-38.180)	<no-speech>	<no-speech>
<48>	(Outline, 35.538-36.490)	okey lang .	just okay .
<49>	(Outline, 36.490-41.380)	<no-speech>	<no-speech>
<50>	(Inline, 38.180-41.390)	<breath> mga man- -- mga manliligaw mo diyan kumusta naman ?	your -- your suitors how are they ?
<51>	(Outline, 41.380-42.751)	<no-speech>	<no-speech>
<52>	(Inline, 41.390-43.260)	<no-speech>	<no-speech>
<53>	(Outline, 42.751-44.194)	parang napakadami ha .	as if there are many ha .
<54>	(Inline, 43.260-43.890)	ha ?	ha ?
<55>	(Inline, 43.890-44.810)	<no-speech>	<no-speech>
<56>	(Outline, 44.194-44.437)	<no-speech>	<no-speech>
<57>	(Outline, 44.437-46.380)	parang napakadami ha .	as if there are many ha .
<58>	(Inline, 44.810-45.330)	<no-speech>	<no-speech>
<59>	(Inline, 45.330-46.890)	<no-speech>	<no-speech>
<60>	(Outline, 46.380-49.086)	<no-speech>	<no-speech>
<61>	(Inline, 46.890-50.668)	<no-speech>	<no-speech>
<62>	(Outline, 49.086-51.250)	(()) <click> kayo diyan kamusta na ?	(()) you there how are things ?
<63>	(Inline, 50.668-52.900)	kumusta ko diyan sa probinsiya ?	how are you there in the province ?
<64>	(Outline, 51.250-52.900)	<no-speech>	<no-speech>
<65>	(Outline, 52.900-54.276)	okey okey lang din .	just so so .
<66>	(Inline, 52.900-54.950)	<no-speech>	<no-speech>
<67>	(Outline, 54.276-57.510)	gano'n pa rin ayon <no-speech> nagtitiis sa hirap .	still the same enduring in poverty .
<68>	(Inline, 54.950-55.540)	ha ?	ha ?
