<1>	(0.000-2.544)	pero <hes> hindi naman ho hindi (()) <overlap> opo .	but no sir not (()) sir .
<2>	(2.544-23.570)	ma'am Loraine ito po 'yong huling tanong ko pinag-uusapan po kasi 'yong diskriminasyon pagkakapantay-pantay etcetera sa tingin po ninyo makabubuti po ba <hes> kung ang isa pong transgender ay isasali sa kalipunan ng mga mga tunay na babae -- ipinanganak na mga <hes> babae't <hes> physically <hes> para po sa kanilang karapatan ?	Ma'am Loraine this is my last question because discrimination equality and others have been the discussion do you think it could be favorable if a transgender will join the society of real women -- who were born women physically for their rights ?
<3>	(23.570-48.796)	<hes> okey naman ho -- oo sa akin wala ho akong nakikitang <hes> you know kung sasali sa grupo ng mga babae eh wala rin naman ho akong nakikitang <hes> diperensiya ho do'n kasi babaeng-babae naman ho ang itsura na nila at at ang ang akto nilang you know damdamin at ang kanilang pisikal .	it is okay Sir -- yes for me I don't Sir see you know if they will join the group of women but I don't see any Sir difference there because they look really feminine and and their their act you know feelings and their physical .
<4>	(48.796-49.156)	opo .	yes .
<5>	(49.156-60.498)	<hes> sa akin ho eh wala naman pero siyempre kahit papa'no nando'n pa rin ho sa isipan ng mga tao eh <hes> na kung ano siya noon .	for me there's none but of course somehow it's still in the minds of other people if he was before .
<6>	(60.498-60.921)	opo .	yes .
<7>	(60.921-77.885)	so siguro ho eh 'yan eh in -- in the future eh siguro baka matanggap na rin ho ng mga -- ng lipunan pero sa ngayon ho eh nasa konserbatibo pa rin ho tayong lipunan eh medyo siguro dahan-dahan .	maybe in the future the society might accept it but as of now society is still conservative perhaps slowly .
<8>	(77.885-101.038)	opo opo <overlap> baka naman in the future <hes> <overlap> opo wala hong problema 'yan lalo na kung naumpisahan ho ngayon ng ng mga -- 'yong -- ng -- sa sa sa Estados Unidos ay na- -- naumpisahan na ho 'yan so minsan tila 'pag nauumpisahan ng mas malaking bansa eh later on <overlap> gagaya-gaya na po tayo <overlap> ah opo <overlap> ma'am Loraine kami po'y nagpapasalamat sa inyong oras at muli po umagang kay ganda po sa inyo .	yes yes maybe in the future yes there's no problem especially if it's already started by by -- the -- in in in the United States -- it's already started sometimes if it's already started by bigger countries later on we'll be following ah yes Ma'am Loraine thank you for your time and again good morning to you .
<9>	(101.038-106.532)	anong masasabi mo do'n sa gandang-ganda pala sa 'yo si <hes> <overlap> salamat po ma'am Loraine .	what can you say that he finds you very pretty thank you Ma'am Loraine .
<10>	(106.532-107.310)	<no-speech>	<no-speech>
<11>	(107.310-123.294)	nakakatuwa namang pakinggan na kahit papa'no ay may posibilidad naman pala na tanggapin <hes> sa isang beauty pageant kahit sa Pilipinas at <hes> may punto din si ma'am Loraine na baka nga <hes> hindi pa siya panahon ngayon .	it's a delight to hear that somehow there's a possibility of acceptance in a beauty pageant even in the Philippines Ma'am Loraine has a point that perhaps it's still not the time .
<12>	(123.294-123.715)	mhm .	mhm .
<13>	(123.715-131.982)	<hes> may iba't iba tayong pananaw ako feeling kong <hes> ito ay tamang panahon na rin para ng sa gano'n ay mapag-usapan .	we have different points of view I however feel that this is the right time in order for it to be talked about .
<14>	(131.982-133.630)	mhm .	mhm .
<15>	(133.630-134.441)	mapagdiskusyunan .	to be discussed .
<16>	(134.441-134.739)	mhm .	mhm .
<17>	(134.739-158.190)	ang mga <hes> issue o mga -- ang diskurso <hes> lalong-lalo na <hes> tungkol sa gender preference and sexual orientation kasi malinaw na malinaw na sobrang kaunti ang kaalaman <hes> ng karamihan sa atin about <hes> sa differences ng <overlap> transgender lesbians gays or bisexuals (()) .	issues or discourses especially that it's about gender preference and sexual orientation because it's clear that the majority have little knowledge about the differences of transgender lesbians gays or bisexuals (()) .
<18>	(158.190-166.446)	huling tanong ko hindi kaya lalo namang ma-discriminate kapag pinayagang sumali halimbawa dalawampung kandidata 'yong isa do'n ay transgender .	my last question is won't there be more discrimination if we allow them to join for example in the twenty candidates one of them is transgender .
<19>	(166.446-179.377)	hindi ba lalong <hes> ma-di-discriminate siya baka <hes> pag- -- pag- -- sabi ko nga eh baka ipinakilala ka pa lang -- hoy ito -- ito 'yong kuwan 'yon ah eh 'di ba transgender 'yon o -- hindi kaya gano'n ang maging itsura kung <hes> kung sa ngayon natin gagawin 'yan ?	won't she be discriminated more if I say they might even introduce you by hey this is the transgender won't that be the look if we do it now ?
<20>	(179.377-188.660)	kasi para para rin itong ano -- kung baga before may standards tayo ng beauty kung baga before mhm <overlap> mga mapuputi or <overlap> opo .	because this seems like you might say before we have beauty standards before we have the whites or yes .
<21>	(188.660-192.916)	<hes> mga Europeans ang nananalo palagi sa Miss Universe .	it's always the Europeans that wins in the Miss Universe .
<22>	(192.916-193.371)	mhm .	mhm .
<23>	(193.371-206.587)	'pag nilagyan mo 'yan ng isang <hes> African woman or <hes> with the darker skin so it's the same thing 'di ba parang pag-uusapan siya siya'y naiiba <overlap> mhm okay .	if you put an African woman or with a darker skin it's the same thing won't she be talked about because she's the deviant mhm okay .
<24>	(206.587-220.074)	'di ba may mga African or <hes> <overlap> darker skin 'yong nanalo so gano'n din kung baga <hes> just have to be yourself and stand out if if you can 'di ba <overlap> Trixie maraming salamat sa 'yo .	aren't there Africans or darker skin wins if that's the case you just have to be yourself and stand out if you can right Trixie thank you very much .
<25>	(220.074-224.880)	siya po ay estudyante po ng University of the Philippines at ang kurso po niya ay .	she is a student of the University of the Philippines and her major is .
<26>	(224.880-228.110)	European language <overlap> European language .	European Language European Language .
<27>	(228.110-230.671)	twenty six years old baka may mga mag-a-apply diyan .	twenty-six years old there might be those who will apply there .
<28>	(230.671-233.610)	thank you <laugh> maraming-maraming salamat sa 'yo Trixie .	thank you thanks a lot to you Trixie .
