<1>	(0.000-2.064)	<no-speech>	<no-speech>
<2>	(2.064-9.251)	sa linggo gaganapin ang kauna-unahang double canonization sa kasaysayan ng simbahang Katolika .	the very first double canonization in the history of Catholic church will be held this Sunday .
<3>	(9.251-17.430)	<sta> ito ang paggawad at pagkilala bilang santo kina Pope <sta> John the twenty third at John Paul the second <breath> .	this is the conferment and recognition as saint of Pope John the twenty-third and John Paul the second .
<4>	(17.430-24.280)	<sta> balikan natin ang kasaysayan ng dalawang Santo Papa na kilala dahil sa kanilang magkaibang personalidad .	let's go back to the history of the two Saint Popes known because of their different personalities .
<5>	(24.280-33.600)	<sta> ang isa bilang mapagkumbaba at kiming pari at ang <sta> isa naman na ikinukumpara sa isang rockstar dahil sa kaniyang popularidad .	one being humble and shy priest while the other is compared to a rock star because of his popularity .
<6>	(33.600-35.356)	<no-speech>	<no-speech>
<7>	(35.356-43.732)	<sta> dalawang pinakahahangaang pangalan sa ating simbahan ang gagawaran ng pagkilala <sta> bilang pinakabagong Santo ng milenyo .	two admired names in our church will be bestowed a recognition as the new Saint of the millennium .
<8>	(43.732-54.923)	sina Pope John the twenty third at ang Santo Papang <sta> napakalapit sa puso ng mga pinoy <no-speech> si Pope John Paul the second .	Pope John the twenty-third and the Pope Saint that is very close to the hearts of Filipinos Pope John Paul the second .
<9>	(54.923-55.880)	<no-speech>	<no-speech>
<10>	(55.880-56.971)	<no-speech>	<no-speech>
<11>	(56.971-64.660)	<sta> kaya naman si Aling Minda abala na sa paghahanda ng iaalay na bulaklak para sa espesyal na pagdiriwang sa darating na linggo .	that's why Miss Minda is very busy with the preparation of the flower offering for the special celebration this upcoming week .
<12>	(64.660-68.927)	<sta> <hes> talagang <hes> para sa akin espesyal na araw .	for me it's a really special day .
<13>	(68.927-69.803)	oo .	yes .
<14>	(69.803-75.215)	kasi ngayon lang ako maka- -- <hes> -- makaano ng .	because now I'll be able to .
<15>	(75.215-76.212)	<no-speech>	<no-speech>
<16>	(76.212-80.400)	i-canonize na magiging santo na ang isang Santo Papa .	Pope Saint will be canonized to be a saint .
<17>	(80.400-82.104)	<no-speech>	<no-speech>
<18>	(82.104-91.740)	<sta> naabutan pa ni Aling Minda si Pope John the twenty third na naging Santo Papa ng simbahang Katolika <sta> noong nineteen fifty eight hanggang nineteen sixty three .	Miss Minda witnessed Pope John the twenty-third that became Pope Saint of the Catholic Church last nineteen fifty-eight until nineteen sixty-three .
<19>	(91.740-106.174)	<sta> pero gaya ng maraming pinoy mas napamahal ang naglingkod na Santo Papa mula nineteen seventy eight hanggang two thousand and five dahil sa kaniyang pagsadya sa bansa Pope John Paul the second .	but like many Filipinos the Pope Saint who served from nineteen seventy-eight until two thousand and five was closer to their hearts because of his visit in the country Pope Jon Paul the second .
<20>	(106.174-117.780)	naalala ko no'ng bumisita siya dito sa Pilipinas na <hes> nasa Parañaque ako sa harap ako ng Redemptorist Church .	I remember when he visited here in the Philippines I was in Parañaque in front of Redemptorists Church .
<21>	(117.780-118.797)	<sta> dumaan siya .	he passed by .
<22>	(118.797-120.421)	nanggaling siya sa airport .	he was from the airport .
<23>	(120.421-125.960)	oo na ang daming tao na nagkakaway-kaway sa kaniya noon .	yes there were many people who waved at him back then .
<24>	(125.960-132.130)	<sta> oo isa ako na nandoon sa maraming tao na nakipagsiksikan makita ko lang siya .	yes I was one of the many people there who braved the crowds just to see him .
<25>	(132.130-133.362)	napakasaya-saya .	it was really fun .
<26>	(133.362-134.028)	<no-speech>	<no-speech>
<27>	(134.028-144.170)	<sta> ang panunungkulan nina Pope John the twenty third at John Paul the second sa trono ng holy sea <sta> ay di maitatatwang nagmarka sa maraming Katoliko .	the leadership of Pope John the twenty-third and John Paul the second in the throne of the holy sea undeniably made a mark on many Catholics .
<28>	(144.170-149.658)	<sta> ito ang ipinaliwanag sa amin ni Father Ian Rosal ng Saint Peter's Parish sa Quezon City .	this was what was explained to us by Father Ian Rosal of Saint Peter's Parish in Quezon City .
<29>	(149.658-161.360)	minahal ng simbahan <sta> si Pope John Paul the second at si John the twenty third dahil nilapit nila ang simbahan sa tao .	the church loved Pope John Paul the second and John the twenty-third because they made the church closer to the people .
