<1>	(0.000-1.999)	<no-speech>	<no-speech>
<2>	(1.999-6.878)	dinagsa ng libo libong turista ang taunang Pinagbanga festival sa Baguio city nitong weekend .	thousands and thousands of tourist flocked the yearly Pinagbenga Festival in Baguio City this weekend .
<3>	(6.878-9.625)	ilang celebrities din ang nakisaya sa pista .	some celebrities also celebrated the fiesta .
<4>	(9.625-11.340)	umaaksiyon si Laila Chikadora .	Laila Chikadora is in action .
<5>	(11.340-17.770)	<no-speech>	<no-speech>
<6>	(17.770-22.190)	flower power ang peg ng Baguio city sa dami ng mga bulaklak na makikita mo .	flower power became the peg of Baguio City with the abundance of flowers you can see .
<7>	(22.190-27.910)	talaga namang in full bloom ang summer capital ng bansa sa ikadalawampu't dalawang Panagbanga festival .	the summer capital of the country was really in full bloom in the twenty-second Panagbenga festival .
<8>	(27.910-32.440)	pasiklaban ang mga kalahok na eskuwelahan sa street dance competition noong Sabado .	the participating schools showed-off at the street dance competition last Saturday .
<9>	(32.440-39.890)	sa mga stopping points level up hindi lang kanilang mga makukulay na kasuutan kundi pati na rin ang performance nila .	in the stopping points not only their colorful outfits but also their performance were outstanding .
<10>	(39.890-51.800)	<sta> isa sa mga inaabangan taon-taon dito sa Panagbanga festival sa Baguio city ay ang grand float parade na nakikita ninyo kung saan libo-libong bulaklak ang nakapalibot at nakadisenyo dito .	yearly one of the most awaited here in the Panagbenga Festival in Baguio City is the grand float parade where you can see it surrounded and designed with thousands of flowers .
<11>	(51.800-58.700)	kahit siksikan every body happy naman sa dalawampu't dalawang floats na pumarada sa kahabaan ng session road kahapon .	even if it was crowded everybody was happy with the twenty-two floats that paraded in Session Road yesterday .
<12>	(58.700-62.569)	iba't iba ang tema at disenyo ng mga ito na nahati sa tatlong category .	there were different themes and design which were divided in three categories .
<13>	(62.569-66.620)	ang no'n competing small at large float category .	the non-competing small and large float category .
<14>	(66.620-74.906)	game of thrones inspired ang no'n competing float ng Baguio Country Club kung saan ang itim na dragon na ito taas baba pa dahil sa hydraulics .	the non-competing float of Baguio Country Club was inspired by Game of Thrones wherein its black dragon goes up and down because of hydraulics .
<15>	(74.906-84.590)	bida din ang peacock rhinosaurus zebra tigre at elepante sa safari inspired float ng Manila North Tollways Corporation o NLEX .	peacock rhinoceros zebra tiger and elephant were featured in the safari-inspired float of Manila North Tollways Corporation or NLEX .
<16>	(84.590-91.890)	present din si coach Yeng Guiao at ang NLEX cager na si Asi Taulava na game na game na nakipag-bonding sa crowd .	Coach Yeng Guiao and the NLEX cager Asi Taulava who was very participative and is bonding with the crowd were also present .
<17>	(91.890-99.490)	<sta> napapasigaw din ang mga tao sa tuwing hinahagis sa ere ang NLEX cheerdancers na nag-e-exhibition kapag humihinto ang parada .	people were also shouting every time NLEX cheerleaders are thrown into the air doing exhibitions when the parade stops .
<18>	(99.490-103.700)	mas nakadagdag naman sa tili factor ang mga float na may sakay pang celebrities .	the celebrities in the floats also added to the cheer factor .
<19>	(103.700-110.670)	bidang bida ang mga Baguio locals tulad ni carrot man na nag-viral sa social media dahil sa kaniyang kaguwapuhan .	Bagio locals like Carrot Man who went viral in social media because of his good looks were also featured .
<20>	(110.670-115.230)	present din sa isa pang float si twenty sixteen miss International Kylie Versoza .	the twenty sixteen Miss International Kylie Versoza was also present in another float .
<21>	(115.230-131.780)	I remember the times where ako yung nando'n ako yung naniningit para manood tapos ngayon ako na yung on the float so it feels very -- it feels like such an honor such a privilege to be here .	I remember the times when I was there I was making my way in the crowd to watch and now I'm here on the float that's why it feels very -- it feels like such an honor such a privilege to be here .
<22>	(131.780-136.240)	sigawan naman ang crowd nang kumaway na sina Alden Richards at Maine Mendoza .	the crowd cheered when Alden Richards and Maine Mendoza waved .
<23>	(136.240-142.330)	di naman nagpakabog sina Bea Alonzo at Enchong Dee na nagsayaw pa ng running man challenge sa float nila .	Bea Alonzo and Enchong Dee competed as they danced the running man challenge in their float .
<24>	(142.330-149.660)	bukod sa mga bulaklak dinumog din ang libreng pa-salad ni governor sa labas ng hotel na ito sa Baguio city .	aside from the flowers the free salad sponsored by the governor outside this hotel in Baguio city was also swarmed over .
<25>	(149.660-152.833)	nasa one hundred sixty eight kilos ng salad ang tinoss .	an approximate of one hundred sixty-eight kilos was tossed .
<26>	(152.833-156.600)	ang mga gulay galing pa sa iba't ibang parte ng Benguet .	the vegetables came from different parts of Benguet .
<27>	(156.600-162.180)	kaya naman enjoy na enjoy ang nasa tatlong libong tao na nakakain ng libre .	that's why the three thousand people who ate free food really enjoyed .
<28>	(162.180-164.140)	umaaksiyon Laila Chikadora ~ %incomplete	reporting Laila Chikadora %incomplete
