<1>	(0.000-2.388)	<no-speech>	<no-speech>
<2>	(2.388-8.059)	<int> matagal ko na itong <hes> pinangarap at <hes> pinagdasal ko rin ito ng husto na makapag-cover sa Vatican .	I have long dreamed of it and I also prayed for it a lot to be able to cover in the Vatican .
<3>	(8.059-17.350)	so ngayon <int> <hes> I'm off na 'to Vatican at siyempre masuwerte dahil kasama ko pa si Raffy ang aking husband <laugh> .	so now I'm already off to the Vatican and of course lucky because I'm together with Raffy my husband .
<4>	(17.350-18.619)	so punta na kami doon .	so we'll go there .
<5>	(18.619-20.389)	kita-kita na lang tayo sa Vatican .	let's see each other in the Vatican .
<6>	(20.389-22.310)	ba-bye .	bye-bye .
<7>	(22.310-30.010)	<no-speech>	<no-speech>
<8>	(30.010-33.492)	<no-speech>	<no-speech>
<9>	(33.492-41.233)	<sta> dito sa Vatican ramdam na ngayon pa lang ang sabik at saya ng mga pilgrims sa napakalaking okasyon na gaganapin ngayong darating na Linggo .	here in Vatican you can already feel the excitement and joy of the pilgrims for the huge occasion that will be held this Sunday .
<10>	(41.233-50.760)	ang paghirang bilang ganap na <int> santo sa dalawa sa pinakamamahal na santo papa sa kasaysayan <sta> sina Blessed Pope John Paul the Second at Blessed Pope John the Twenty Third .	the declaration of the two most beloved popes in the history which are Blessed Pope John Paul the Second and Blessed Pope John the Twenty Third .
<11>	(50.760-60.490)	<sta> sa kauna-unahang pagkakataon magkasabay na hihiranging santo ang dalawang dating santo papa <sta> na gaganapin mismo sa araw ng kapistahan ng Divine Mercy .	for the very first time the two former saint pope will be be recognized altogether as saint in the day of feast of the Divine Mercy .
<12>	(60.490-65.843)	kapistahang mismong si Pope John Paul the Second <sta> ang nag-institute o nagpalaganap sa buong mundo .	feast that was instituted or spread in the whole world by Pope John Paul .
<13>	(65.843-82.082)	makikita n'yo po rito ayan nakalatag na po ang <int> mga uupuan ng mga V_I_Ps <sta> kabilang na ang mga kardinal mga arsobispo obispo at pati na rin mga pari na magko-concelebrate <sta> pati na rin ang mga heads of state at iba pang mga foreign dignitaries .	you can see here the arranged chairs of the V_I_Ps including the cardinal archbishop bishop and priests that will concelebrate also the heads of state and other foreign dignitaries .
<14>	(82.082-86.590)	nakapalibot naman po doon ay iyong mga malalaking mga screen projector .	around it is the big screen projector .
<15>	(86.590-93.050)	<sta> ang pwe- -- puwesto naman po ng media ay nakatayo na rin po doon sa dulong bahagi nitong Saint Peter's Square .	the -- area of the media was already set-up in the corner part of Saint Peter's Square .
<16>	(93.050-107.076)	<sta> tinatayang tatlong daang libo katao ang makakapasok mismo dito sa square <sta> pero maaari raw na umabot ng hanggang apat na milyon ang sasaksi sa espesyal na okasyong ito dito sa Vatican City <sta> at sa buong siyudad ng Roma .	an estimate of three hundred thousand people can enter the square but it's possible for this special occasion to reach four million viewers here in Vatican City and entire city of Rome .
<17>	(107.076-114.650)	alas diyes ng umaga dito sa Vatican at alas-kuwatro naman ng hapon sa Pilipinas <sta> magsisimula ang seremonya ng canonization .	the ceremony of canonization will start at ten in the morning here in Vatican and four in the afternoon in the Philippines .
<18>	(114.650-123.100)	<sta> mula Saint Peter's Basilica ay lalabas ang prusisyon ng mga kardinal obispo at arsobispo na pangungunahan mismo ni Pope Francis .	the procession of cardinals bishops and archbishops led by Pope Francis will exit from Saint Peter's Basilica .
<19>	(123.100-124.987)	<sta> ito ang tinatawag na processional .	this is what they call processional .
<20>	(124.987-133.290)	ang entablado na iyon naman ay iuurong sa harapan mismo ng main entrance sa simbahan <sta> kung saan tatayo at magmimisa si Pope Francis .	that stage will be moved in the front of the main entrance of the church where Pope Francis will stand and conduct the mass .
<21>	(133.290-136.179)	<sta> dito rin magaganap ang mismong canonization .	canonization will also be held here .
<22>	(136.179-140.030)	<no-speech>	<no-speech>
<23>	(140.030-144.729)	<sta> sari-saring nationalities ang inaasahang dadalo sa makasaysayang canonization .	various nationalities are expected to join the historical canonization .
<24>	(144.729-148.214)	John Paul Two <sta> we love you John Paul Two .	John Paul Two we love you John Paul Two .
<25>	(148.214-149.443)	we love you .	we love you .
<26>	(149.443-157.861)	<overlap> sumunod na nga iyong pagdating ng mga <sta> pilgrims nga dito sa Saint Peter's Square at itong contingent na ito mula pa sila sa <sta> Lebanon at ang saya-saya nila .	the arrival of the pilgrims here in Saint Peter's Square was next this contingent came from Lebanon and they're so happy .
<27>	(157.861-160.987)	<sta> nag-sa-shout sila at may mga iba pa nagsasayaw .	they were shouting while there were some who were dancing .
<28>	(160.987-165.569)	<sta> walang tigil sa pagpapahayag ng kanilang pagmamahal kay <sta> John Paul the Second .	an unending expression of their love for John Paul the Second .
<29>	(165.569-167.688)	John Paul Two we love you .	John Paul Two we love you .
<30>	(167.688-170.011)	John Paul Two we love you .	John Paul two we love you .
<31>	(170.011-171.119)	<no-speech>	<no-speech>
<32>	(171.119-177.330)	<sta> hindi rin siyempre mawawala ang mga kababayan nating todong suporta sa pinakamamahal nating santo papa .	of course our fellowmen in full support of our most beloved pope are not absent .
<33>	(177.330-186.175)	<sta> siya ang isang papa na dumalaw sa atin dalawang beses sa lifetime natin and that the same time sa lifetime din natin gagawin siyang santo .	he is one pope who visited us twice in our lifetime and at the same time also in our lifetime he will be made a saint .
<34>	(186.175-186.554)	mm .	yes .
<35>	(186.554-188.773)	so importanteng importante ito para <int> sa atin .	so this is really important for us .
<36>	(188.773-192.200)	excited na excited kami kasi <hes> paborito namin si pope .	we are excited excited because pope is our favorite .
<37>	(192.200-196.648)	<sta> <hes> kaya ngayon John Paul Two we love you hanggang ngayon .	so now John Paul two we love you until now .
<38>	(196.648-199.560)	iyon iyong sinasabi natin kahit noong dati pa .	that is what we have been saying even back then .
<39>	(199.560-202.226)	<sta> nakilala ko rin si Marjorie Jalandoni Militante .	I also met Marjorie Jalandoni Militante .
<40>	(202.226-213.730)	six months old lang siya ng mapalad na mapili ni John Paul the Second na kargahin <sta> yakapin at halikan ng unang dumalaw noong nineteen eighty one sa Pilipinas ang bagong santo .	she was only six months old when she was luckily chose by John Paul the second to carry hug and kiss when the new saint first visited the Philippines back in nineteen eighty-one .
<41>	(213.730-222.543)	ever since na maliit pa lang ako eh <hes> tinatanong ko sa sarili ko kung bakit ako o ano ba iyong misyon ko sa buhay ko .	ever since I was small so I ask myself why me or what is my mission in life .
<42>	(222.543-227.289)	I think I can inspire in my own way no with my friends with ano everybody .	I think I can inspire in my own way no with my friends with everybody .
<43>	(227.289-235.170)	<breath> iyong message ni pope John Paul parati na <hes> to have a family that is holy <int> .	that constant message of pope John Paul to to have a family that is holy .
<44>	(235.170-241.490)	<sta> si Lipa archbishop Ramon Arguelles sinigurong makakadalo at magko-concelebrate pa sa canonization mass .	Lipa archbishop Ramon Arguelles confirmed his attendance and will even concelebrate in the canonization mass .
<45>	(241.490-245.221)	<sta> alay niya daw ito sa dalawang santo papang naging impluwensiyal sa kaniya .	he offers this to the two holy popes who have been influential to him .
