<1>	(0.000-1.916)	ang ating guest for today .	our guest for today .
<2>	(1.916-10.631)	kapiling po natin ngayong umaga mga kaibigan ang deputy administrator ng Philippine Coconut Authority si ginoong Roel Rosales .	together with us today friends the deputy administrator of the Philippine Coconut Authority Mister Roel Rosales .
<3>	(10.631-11.951)	magandang umaga po sir .	good morning sir .
<4>	(11.951-20.550)	<hes> magandang umaga po sa lahat ng <hes> tagapakinig at <hes> nanonood na rin po ng <hes> programang ito napakamalaganap na programang ito no .	good morning to everyone who listeners and also viewers of this program this truly widespread program .
<5>	(20.550-40.120)	(()) maraming salamat po deputy administrator Roel at napasyalan n'yo ang ating RadyoBisyon para gawin ninyong behikulo ng pagpaparating ng inyong paanyaya partikular ng Philippine Coconut Authority sa ating mga returning O_F_Ws na nag-iisip saan ba sila mag-ve-venture ng kanilang naipon .	(()) thank you deputy administrator Roel and you have visited our RadyoBisyon for you to make it as a vehicle to send your invitation particularly the Philippine Coconut Authority to our returning O_F_Ws who are thinking where they can venture their savings .
<6>	(40.120-52.510)	ho <hes> panahon ng Pasko maraming umuuwi po na O_F_Ws sa iba't ibang bahagi ng <hes> mundo at para muling <hes> maramdaman ang pagmamahal at <hes> pamumuhay dito sa Pilipinas .	Christmas time more O_F_Ws are going home in various parts of the world and to feel again the love and lifestyle here in the Philippines .
<7>	(52.510-75.990)	ito rin ay isang pagkakataon na anyayahan namin ang lahat ang <hes> mga <hes> bayani natin na nasa ibang bansa nag <hes> tatrabaho na habang nandoon sila ay <hes> maaari naman tayong maglaan ng <hes> eh <hes> ilang salapi pera natin at <hes> para makaisip tayo ng mga negosyo na puwede nating pasukan dito mismo sa Pilipinas .	this is also a chance for us to invite all the our heroes who are in other countries who are working while they are there we can actually allot some of our money and we can think of businesses that we can enter here in the Philippines .
<8>	(75.990-87.140)	bagamat nandoon kayo ay <hes> puwede kayong magtiwala sa isang kaanak kaibigan na tulungan kayo na mamuhunan sa <hes> agrikultura partikular sa pagniniyog .	though you are there you can trust a relative friend to help you to invest in agriculture particular in coconut industry .
<9>	(87.140-97.627)	okay iyan itong <hes> alam naman natin deputy administrator na itong pagniniyog ngayon eh napakatindi ng mga programang <hes> bi- -- binibigay ninyo ngayon ng emphasis ano ?	that is okay we already know this deputy administrator that this coconut industry now the programs are intense -- you are giving the emphasis now right ?
<10>	(97.627-104.230)	lalo na itong <hes> planting ng one milyon coconut trees plus the intercropping nandidiyan lahat iyan .	especially this planting of one million coconut trees plus the inter-cropping everything is all there .
<11>	(104.230-111.842)	so puwede sila anytime makipag-ugnayan sa P_C_A sa inyong tanggapan kung mayroon silang interes sa ganitong venture .	so they can coordinate with the P_C_A anytime in your department if they have interests in this venture .
<12>	(111.842-119.310)	opo welcome na welcome po ang ating mga O_F_W na <hes> makipag-ugnayan sa mga kawani ng Philippine Coconut Authority .	yes our O_F_Ws are very welcome to coordinate with the staff of the Philippine Coconut Authority .
<13>	(119.310-127.934)	may twelve regional office kami may mga tao kami sa munisipyo at hinihikayat namin ang lahat na balikan natin ang bukid particularly ang niyugan .	we have twelve regional offices we have employees in the municipalities and we are encouraging everyone to go back to the farms particularly in coconut plantations .
<14>	(127.934-142.342)	marami po tayong puwedeng gawain na kahit nandoon kayo sa abroad ay <hes> puwede nating ipagpatuloy dito papalaguin at <hes> maging <hes> source ng income ng inyong mga minamahal sa buhay dito sa Pilipinas .	there are many things that we can do that though you are in abroad we can continue it here to prosper and become the source of income of your loved ones here in the Philippines .
<15>	(142.342-155.490)	at ganoon din pagbalik n'yo naman ay may talagang inaasahan kayo na gagawin dito sa Pilipinas na negosyo at <hes> puwede pang <hes> retirement <hes> activity ninyo <overlap> O_F_W work .	and similarly when you come back you already have an expected work to do here in the Philippines a business can also be for retirement your activity O_F_W work .
<16>	(155.490-163.440)	ayan <overlap> deputy administrator anu-ano pong <hes> klase ng negosyo na may kinalaman sa niyog ang medyo promising lalo na po ngayong panahong ito ?	there deputy administrator what are the various types of business which has something to do with the coconuts which is more promising this time ?
<17>	(163.440-166.820)	kung ako rin lang as magsimula muna tayo sa simple .	well if it is up to me let us start first with the simplest .
<18>	(166.820-178.081)	may nakatiwangwang kayong lupa dito sa Pilipinas niyugan o di kaya kahit wala pang tanim ba't di natin patamnan o di kaya palitan natin ng tanim iyong medyo matatanda na para mabuhay uli natin itong niyugan natin .	you have an empty lot here in the Philippines a coconut plantation or else still without any plant why not have it planted or change the crop those which are slightly older so we can make restore our coconut plantation again .
<19>	(178.081-179.770)	mabigyan ng bagong sigla .	be given new enthusiasm .
<20>	(179.770-193.227)	ang Philippine Coconut Authority ay namimigay bagamat <hes> siyempre limited din lang iyan ng <hes> libreng pananim sa nagnanais <hes> muling mag <hes> pasok sa pag agrikultura particularly ang coconut industry .	the Philippine Coconut Authority is distributing though of course that is only limited free crops for those who want again to enter in agriculture particularly the coconut industry .
<21>	(193.227-194.590)	<no-speech>	<no-speech>
<22>	(194.590-200.621)	at sa niyog ay ang ginagawa namin dito sa planting ay binibigyan namin ng incentive 'yong mga nais magtanim .	and in coconuts what we are doing here in the planting we are giving incentive to those who want to plant .
<23>	(200.621-205.816)	okay <overlap> <hes> kung gusto n'yong magtanim babayaran pa namin kayo o <overlap> wow <overlap> in two phases .	all right if you want to plant we are actually going to pay you or wow in two phases .
<24>	(205.816-206.180)	(()) .	(()) .
<25>	(206.180-209.804)	<hes> iyon iyong kukunin ninyo sa sarili ninyong <hes> bukid .	that that you will get from your own farm .
<26>	(209.804-213.410)	<hes> tutulungan ng mga fieldman namin kayo .	our field men are going to help you .
<27>	(213.410-217.597)	i-de-determine na ito iyong mahusay na pananim at <hes> bubuhayin natin ito .	will determine that this is a good crop and we are going to make it alive .
<28>	(217.597-218.940)	palalakihin natin .	we will grow it .
<29>	(218.940-223.013)	pag nakita namin na good seedling na siya babayaran namin kayo ng eighteen pesos .	if we have seen that it is already a good seedling we are going to pay you eighteen pesos .
<30>	(223.013-223.642)	per ?	per ?
<31>	(223.642-224.657)	per seedling .	per seedling .
<32>	(224.657-228.259)	wow <overlap> sa isang ektarya ay <hes> isang daan ang ating requirement .	wow in one hectare our requirement is one hundred .
<33>	(228.259-232.638)	so ibig sabihin noon may one thousand eight hundred kayo <hes> kahit papaano .	so that means you have one thousand eight hundred somehow .
<34>	(232.638-233.294)	uh huh .	uh huh .
<35>	(233.294-237.573)	iyon na iyong pananim may kaunti pa kayong kita sa labor ninyo .	that will be your crop then you will have a small profit from your labor .
<36>	(237.573-238.510)	uh huh ayon .	uh huh according .
<37>	(238.510-245.093)	okay Vivs iyong -- iyong one hectare mo diyan eh palagyan mo na kaagad ng ano oo makipag-coordinate ka na .	okay Vivs that -- that one hectare you got there so have it put with what yes have a coordination now .
<38>	(245.093-249.727)	pagkatapos pa po noon iyong <hes> nabuhay po nating pananim itatanim na natin sa lupa .	then after that our seedlings have grown we are going to plant it in the land .
<39>	(249.727-250.065)	uh huh .	uh huh .
