<1>	(0.000-1.959)	<hes> at iyong ginaw ano .	and the cold right .
<2>	(1.959-8.238)	mayroon po tayong <hes> red tide alert sa Balite Bay in Mati Davao Oriental .	we have red tide alert on Balite Bay in Mati Davao Oriental .
<3>	(8.238-8.915)	opo .	yes .
<4>	(8.915-18.050)	<hes> sa -- sa Bohol mayroon din po tayo -- sa Dauis Bohol sa coastal waters ng Daram Island in Daram .	in -- in Bohol we also have -- in Dauis Bohol in the coastal waters of Daram Island in Daram .
<5>	(18.050-23.064)	Villareal Maqueda Irong-Irong and Cambatutay Bay Eastern Samar .	Villareal Maqueda Irong-Irong and Cambatutay Bay Eastern Samar .
<6>	(23.064-28.646)	ganoon din po sa Carigara Bay in Leyte ano mayroon din tayo diyan .	similarly in Carigara Bay in Leyte we also have that there .
<7>	(28.646-32.790)	at <hes> pati po iyon Sapian Bay in Capiz .	and even in Sapian Bay in Capiz too .
<8>	(32.790-43.059)	at iyong <hes> coastal waters ng <hes> Altavas Batan and New Washington in Batan Bay Aklan and <hes> iyon pong red tide no .	and the coastal waters of Altavas Batan and New Washington in Batan Bay Aklan and the red tide .
<9>	(43.059-43.600)	<no-speech>	<no-speech>
<10>	(43.600-52.600)	<hes> medyo marami-rami sapagkat pati iyong Higantes Island na naging matagal-tagal na tayong hindi binibisita ng red tide doon uh huh <overlap> ay mayroon din .	quite a lot because even Higantes Island which has not been visited by red tide for a while yes also has it .
<11>	(52.600-60.133)	at ang <hes> costal waters ng Naval Biliran province ay positibo pa rin sa red tide .	and the coastal waters of Naval Biliran province is also positive for red tide .
<12>	(60.133-64.280)	pati po iyong <hes> President Roxas in Capiz .	even President Roxas in Capiz .
<13>	(64.280-64.785)	wow .	wow .
<14>	(64.785-70.354)	at tsaka iyong Leyte Leyte ay positive na rin sa <hes> red tide toxins .	and even Leyte Leyte is positive already with red tide toxins .
<15>	(70.354-88.280)	so medyo as of December <hes> five po iyon ang ating latest red tide bulletin at hindi pa po natin binabawi iyan sapagkat na tuloy-tuloy na po iyong ating <hes> <hes> pag-mo-monitor kung ano po iyong status <overlap> nitong pero ito po mga bay na ito .	so somewhat as of December our latest red tide bulletin is five and we are not taking that back because ongoing is our monitoring what the status is in these bays .
