<1>	(Inline, 0.000-0.561)	'no ?	right ?
<2>	(Outline, 0.000-1.560)	<no-speech>	<no-speech>
<3>	(Inline, 0.561-2.633)	<no-speech>	<no-speech>
<4>	(Outline, 1.560-3.000)	anong sasabihin mo ?	what will you say ?
<5>	(Inline, 2.633-3.618)	choppy ka eh .	you're not clear .
<6>	(Outline, 3.000-4.780)	<no-speech>	<no-speech>
<7>	(Inline, 3.618-5.520)	<no-speech>	<no-speech>
<8>	(Outline, 4.780-5.500)	huh ?	huh ?
<9>	(Outline, 5.500-7.720)	<no-speech>	<no-speech>
<10>	(Inline, 5.520-6.251)	wala .	nothing .
<11>	(Inline, 6.251-7.695)	<no-speech>	<no-speech>
<12>	(Inline, 7.695-8.629)	wala .	nothing .
<13>	(Outline, 7.720-8.680)	oo na lang .	fine yes .
<14>	(Inline, 8.629-13.480)	<no-speech> <int> mhm .	yes .
<15>	(Outline, 8.680-10.240)	<no-speech>	<no-speech>
<16>	(Outline, 10.240-10.890)	isa lang .	just one .
<17>	(Outline, 10.890-13.220)	<no-speech>	<no-speech>
<18>	(Outline, 13.220-14.080)	<no-speech>	<no-speech>
<19>	(Inline, 13.480-15.420)	<no-speech>	<no-speech>
<20>	(Outline, 14.080-19.010)	<no-speech>	<no-speech>
<21>	(Inline, 15.420-16.424)	<sta> choppy .	unclear .
<22>	(Inline, 16.424-18.782)	<no-speech>	<no-speech>
<23>	(Inline, 18.782-20.364)	choppy ka -- choppy .	you're unclear -- unclear .
<24>	(Outline, 19.010-19.430)	<no-speech>	<no-speech>
<25>	(Outline, 19.430-21.390)	<no-speech>	<no-speech>
<26>	(Inline, 20.364-23.060)	<no-speech>	<no-speech>
<27>	(Outline, 21.390-21.930)	ano ?	what ?
<28>	(Outline, 21.930-22.290)	<no-speech>	<no-speech>
<29>	(Outline, 22.290-27.690)	<no-speech>	<no-speech>
<30>	(Inline, 23.060-24.600)	<no-speech>	<no-speech>
<31>	(Inline, 24.600-24.973)	wala .	nothing .
<32>	(Inline, 24.973-26.112)	<sta> kumain ka na ?	have you eaten ?
<33>	(Inline, 26.112-27.750)	<no-speech>	<no-speech>
<34>	(Outline, 27.690-30.770)	<sta> oo tapos na .	yes I'm done .
<35>	(Inline, 27.750-30.880)	<no-speech>	<no-speech>
<36>	(Outline, 30.770-34.120)	<no-speech>	<no-speech>
<37>	(Inline, 30.880-32.200)	hello ?	hello ?
<38>	(Inline, 32.200-33.560)	<no-speech>	<no-speech>
<39>	(Inline, 33.560-34.495)	buti naman .	good then .
<40>	(Outline, 34.120-34.930)	<no-speech>	<no-speech>
<41>	(Inline, 34.495-35.948)	<no-speech>	<no-speech>
<42>	(Outline, 34.930-36.070)	<no-speech>	<no-speech>
<43>	(Inline, 35.948-37.418)	anong ginagawa mo niyan ?	what are you doing there ?
<44>	(Outline, 36.070-36.680)	hello ?	hello ?
<45>	(Outline, 36.680-37.800)	<no-speech>	<no-speech>
<46>	(Inline, 37.418-39.255)	<no-speech>	<no-speech>
<47>	(Outline, 37.800-38.260)	<no-speech>	<no-speech>
<48>	(Outline, 38.260-39.560)	<int> oo nga .	yes .
<49>	(Inline, 39.255-41.392)	hello ano na ginagawa mo niyan ?	hello what are you doing there ?
<50>	(Outline, 39.560-40.080)	<int> bakit ?	why ?
<51>	(Outline, 40.080-41.160)	<no-speech>	<no-speech>
<52>	(Outline, 41.160-41.540)	<no-speech>	<no-speech>
<53>	(Inline, 41.392-45.250)	<no-speech>	<no-speech>
<54>	(Outline, 41.540-46.010)	<no-speech>	<no-speech>
<55>	(Inline, 45.250-47.760)	<no-speech>	<no-speech>
<56>	(Outline, 46.010-47.570)	ano bang ginagawa mo ?	what are you doing ?
<57>	(Outline, 47.570-48.880)	<no-speech>	<no-speech>
<58>	(Inline, 47.760-49.150)	<no-speech>	<no-speech>
<59>	(Outline, 48.880-49.470)	huh ?	huh ?
<60>	(Inline, 49.150-51.074)	<no-speech>	<no-speech>
<61>	(Outline, 49.470-52.560)	<no-speech>	<no-speech>
<62>	(Inline, 51.074-51.670)	mhm ?	yes ?
<63>	(Inline, 51.670-58.679)	<no-speech>	<no-speech>
<64>	(Outline, 52.560-53.710)	anong <sta> ginagawa mo ?	what are you doing ?
<65>	(Outline, 53.710-57.900)	<no-speech>	<no-speech>
<66>	(Outline, 57.900-58.270)	<no-speech>	<no-speech>
<67>	(Outline, 58.270-59.900)	<no-speech>	<no-speech>
