<1>	(0.000-1.759)	<no-speech>	<no-speech>
<2>	(1.759-9.930)	tagumpay para sa kababaihan ang nakatakdang paghirang kay Janell Mae Frayna <sta> bilang kauna-unahang pinay Chess Grandmaster .	the upcoming recognition of Janell Mae Frayna to be the first Filipino Chess Grandmaster is a success for women .
<3>	(9.930-17.060)	<sta> balitang hatid ni Chino Trinidad .	news brought to you by Chino Trinidad .
<4>	(17.060-26.929)	matapos ang pitong taong masusing pag-aaral sa sport na inaakalang gawa lamang para sa mga kalalakihan ay narating din ni Janell ang kaniyang paunang target ang grandmaster norm .	after seven years of thoroughly studying sports which is thought to be just for men Janell finally reached her first target the grandmaster norm .
<5>	(26.929-34.038)	ngunit alam ng psychology major mula sa Far Eastern University na hudyat pa lamang ito ng kaniyang mas malaking misyon .	however the psychology major from Far Eastern University knows that this is just a start of her big mission .
<6>	(34.038-36.990)	di- -- di ko lang to personal achievement .	-- not only my personal achievement .
<7>	(36.990-42.126)	as for me gusto ko ngang katulad po ng sinabi n'yo gusto ko pong maging ambassador ng women chess ngayon .	as for me I want something similar to what you have said I want to become an ambassador for women chess now .
<8>	(42.126-50.510)	nahubog si Janell sa tulong ng mga Pilipino grandmasters kasama na ang kaniyang discoverer at coach na si Grandmaster Jason Gonzales .	Janell is molded with the help of the Filipino grandmasters together with her discover and coach Grandmaster Jason Gonzales .
<9>	(50.510-59.509)	sa murang edad noon na labing tatlo ay nakita na ni Grandmaster Gonzales kay Janell ang mahalagang elemento na pundasyon ng isang World Class Chess Player .	at a younger age before of thirteen Grandmaster Gonzales had already seen the important elemental foundation of a World Class Chess Player in Janell .
<10>	(59.509-63.200)	isang elemento 'yun eh sa pagiging grandmaster .	that was one element so in becoming a grandmaster .
<11>	(63.200-65.423)	nawala akong nakita sa tagal ko ng nagtuturo .	that I have not seen in the length of my teaching .
<12>	(65.423-72.855)	<hes> at even <hes> sa aking mga kasama sa <hes> mga grandmaster na iba o kaya I'm hindi gano'n kasipag mag-aral .	and even with my colleagues in others are already grandmasters or else I'm not so hardworking in studying .
<13>	(72.855-83.180)	mataas man ang kumpiyansa niya ngayon sa kaniyang kakayanan ay hindi tumitigil sa pag-aaral si Janell na nakatakdang magtapos ng B S Psychology bilang cum laude sa darating na Mayo .	she might have a high confidence now of her abilities Janell does not stop studying who is set to finish B_S Psychology as cum laude this coming May .
<14>	(83.180-88.856)	kahit marami na siyang tinatalong mga lalaki ay tanggap ni Janell na marami pang- -- kulang sa kaniyang chess game .	even if she has defeated a lot of men Janell accepts that there are still more -- lacking in her chess game .
<15>	(88.856-92.840)	<hes> masyado kaming <hes> emotional lalo na kapag naglalaro .	we are so emotional especially when playing .
<16>	(92.840-96.247)	para bang instead of being objective sa position .	like instead of being objective in the position .
<17>	(96.247-106.167)	gano'n pa man ay makakaasa tayo na mataas nga ang mararating ni Janell na ang bagong hamon sa sarili ay ang makapasok siya sa top ten sa World Chess Ratings .	despite of that we can expect that Janell can reach higher whose new challenge to the self is for her to be able to the top ten World Chess Ratings .
<18>	(106.167-109.532)	I always tell people na nobody is born a genius .	I always tell people that nobody is born a genius .
<19>	(109.532-118.360)	and sa tingin ko sa akin sobrang applicable 'yun kasi lahat ng ginagawa ko even sa chess talagang alam kong <hes> pinaghirapan ko .	and in my perspective for me that is very applicable that because all I am doing even in chess I really know I have worked hard for it .
<20>	(118.360-120.171)	Chino Trinidad G_M_A ~ %incomplete	Chino Trinidad G_M_A %incomplete
