<1>	(Inline, 0.000-1.290)	eh 'yung asawa mo kamusta na ?	how about your wife how is she ?
<2>	(Outline, 0.000-3.920)	<no-speech>	<no-speech>
<3>	(Inline, 1.290-4.840)	<no-speech>	<no-speech>
<4>	(Outline, 3.920-4.450)	wala .	nothing .
<5>	(Outline, 4.450-7.720)	<no-speech>	<no-speech>
<6>	(Inline, 4.840-5.166)	ha ?	what ?
<7>	(Inline, 5.166-6.380)	<no-speech>	<no-speech>
<8>	(Inline, 6.380-7.680)	<no-speech>	<no-speech>
<9>	(Inline, 7.680-8.980)	<no-speech>	<no-speech>
<10>	(Outline, 7.720-8.310)	wala .	none .
<11>	(Outline, 8.310-9.330)	<no-speech>	<no-speech>
<12>	(Inline, 8.980-12.050)	<no-speech>	<no-speech>
<13>	(Outline, 9.330-10.040)	<no-speech>	<no-speech>
<14>	(Outline, 10.040-14.520)	<no-speech>	<no-speech>
<15>	(Inline, 12.050-13.077)	<no-speech>	<no-speech>
<16>	(Inline, 13.077-13.500)	ah ?	what ?
<17>	(Inline, 13.500-14.380)	<no-speech>	<no-speech>
<18>	(Inline, 14.380-14.750)	<no-speech>	<no-speech>
<19>	(Outline, 14.520-14.880)	<no-speech>	<no-speech>
<20>	(Inline, 14.750-19.390)	<no-speech>	<no-speech>
<21>	(Outline, 14.880-19.040)	<no-speech>	<no-speech>
<22>	(Outline, 19.040-19.990)	<no-speech>	<no-speech>
<23>	(Inline, 19.390-20.400)	okey .	okay .
<24>	(Outline, 19.990-20.930)	<no-speech>	<no-speech>
<25>	(Inline, 20.400-22.100)	<no-speech>	<no-speech>
<26>	(Outline, 20.930-25.654)	<no-speech>	<no-speech>
<27>	(Inline, 22.100-23.329)	ay may trabaho ka ba ngayon ?	do you have a job now ?
<28>	(Inline, 23.329-24.400)	<no-speech>	<no-speech>
<29>	(Inline, 24.400-26.480)	<no-speech>	<no-speech>
<30>	(Outline, 25.654-26.311)	hmm ?	hmm ?
<31>	(Outline, 26.311-33.258)	<no-speech> <sta> dito lang .	just here .
<32>	(Inline, 26.480-27.503)	may trabaho ka ba ngayon ?	do you have a job now ?
<33>	(Inline, 27.503-29.730)	<no-speech>	<no-speech>
<34>	(Inline, 29.730-31.998)	hello .	hello .
<35>	(Inline, 31.998-34.279)	<no-speech>	<no-speech>
<36>	(Outline, 33.258-37.669)	<no-speech>	<no-speech>
<37>	(Inline, 34.279-35.040)	may trabaho ka ngayon ?	do you have a job now ?
<38>	(Inline, 35.040-36.160)	<no-speech>	<no-speech>
<39>	(Inline, 36.160-38.450)	<no-speech>	<no-speech>
<40>	(Outline, 37.669-38.221)	oo .	yes .
<41>	(Outline, 38.221-40.740)	<no-speech>	<no-speech>
<42>	(Inline, 38.450-40.196)	<no-speech>	<no-speech>
<43>	(Inline, 40.196-41.145)	(()) sa ano .	(()) in what .
<44>	(Outline, 40.740-42.040)	<no-speech>	<no-speech>
<45>	(Inline, 41.145-42.983)	<no-speech>	<no-speech>
<46>	(Outline, 42.040-44.260)	<no-speech>	<no-speech>
<47>	(Inline, 42.983-44.622)	sa 'min ipapasok kita ng trabaho .	to us I will let you enter a job .
<48>	(Outline, 44.260-44.764)	ha ?	what ?
<49>	(Inline, 44.622-45.495)	<no-speech>	<no-speech>
<50>	(Outline, 44.764-46.696)	<no-speech>	<no-speech>
<51>	(Inline, 45.495-47.332)	punta ka dito sa 'min ipapasok kita ng trabaho .	go here to us I will let you enter a job .
<52>	(Outline, 46.696-47.316)	oo .	yes .
<53>	(Outline, 47.316-50.703)	<no-speech>	<no-speech>
<54>	(Inline, 47.332-49.170)	<no-speech>	<no-speech>
<55>	(Inline, 49.170-50.730)	<no-speech>	<no-speech>
<56>	(Outline, 50.703-51.063)	wala .	nothing .
<57>	(Inline, 50.730-51.263)	oo .	yes .
<58>	(Outline, 51.063-52.130)	<no-speech>	<no-speech>
<59>	(Inline, 51.263-53.437)	<no-speech>	<no-speech>
<60>	(Outline, 52.130-53.550)	<no-speech>	<no-speech>
<61>	(Inline, 53.437-54.090)	ingay diyan ?	is it noisy there ?
<62>	(Outline, 53.550-55.190)	<no-speech>	<no-speech>
<63>	(Inline, 54.090-57.110)	<no-speech>	<no-speech>
<64>	(Outline, 55.190-56.980)	<no-speech>	<no-speech>
<65>	(Outline, 56.980-58.310)	<no-speech>	<no-speech>
<66>	(Inline, 57.110-58.330)	marami ka bang kasama diyan ?	do you have a lot of companions there ?
<67>	(Outline, 58.310-59.360)	<no-speech>	<no-speech>
<68>	(Inline, 58.330-60.350)	<no-speech>	<no-speech>
<69>	(Outline, 59.360-59.840)	ano ?	what ?
<70>	(Outline, 59.840-62.000)	<no-speech>	<no-speech>
<71>	(Inline, 60.350-60.860)	ha ?	what ?
<72>	(Inline, 60.860-63.570)	<no-speech>	<no-speech>
<73>	(Outline, 62.000-64.400)	<no-speech>	<no-speech>
<74>	(Inline, 63.570-66.304)	<no-speech>	<no-speech>
<75>	(Outline, 64.400-65.560)	<no-speech>	<no-speech>
<76>	(Outline, 65.560-66.480)	<no-speech>	<no-speech>
<77>	(Inline, 66.304-67.177)	nakatambay kayo ?	are you there on standby ?
<78>	(Outline, 66.480-70.380)	<no-speech>	<no-speech>
<79>	(Inline, 67.177-70.962)	<no-speech>	<no-speech>
<80>	(Outline, 70.380-70.920)	oo .	yes .
<81>	(Outline, 70.920-75.380)	<no-speech>	<no-speech>
<82>	(Inline, 70.962-72.430)	inaanak mo ?	your godchild ?
<83>	(Inline, 72.430-73.660)	<no-speech>	<no-speech>
<84>	(Inline, 73.660-74.683)	<no-speech>	<no-speech>
<85>	(Inline, 74.683-75.660)	hello .	hello .
<86>	(Outline, 75.380-77.100)	<no-speech>	<no-speech>
<87>	(Inline, 75.660-77.130)	<no-speech>	<no-speech>
<88>	(Outline, 77.100-78.790)	<no-speech>	<no-speech>
<89>	(Inline, 77.130-78.150)	ilan na anak mo diyan ?	how many children you got there ?
<90>	(Inline, 78.150-79.540)	<no-speech>	<no-speech>
<91>	(Outline, 78.790-79.174)	ha ?	what ?
<92>	(Outline, 79.174-80.940)	<no-speech>	<no-speech>
<93>	(Inline, 79.540-80.732)	balita ko dalawa na raw ah .	I heard there are already two .
<94>	(Inline, 80.732-85.454)	<no-speech> ang bilis mo naunahan mo pa ako ah .	you're quick you have outlasted me .
<95>	(Outline, 80.940-83.130)	<no-speech>	<no-speech>
<96>	(Outline, 83.130-83.690)	mhm .	yes .
<97>	(Outline, 83.690-88.970)	<no-speech>	<no-speech>
<98>	(Inline, 85.454-89.020)	<no-speech>	<no-speech>
<99>	(Outline, 88.970-89.570)	dito lang .	just here .
<100>	(Inline, 89.020-90.750)	ano 'yon pa rin asawa mo ?	what still with the same husband ?
<101>	(Outline, 89.570-93.300)	<no-speech>	<no-speech>
<102>	(Inline, 90.750-94.810)	<no-speech>	<no-speech>
<103>	(Outline, 93.300-93.650)	<no-speech>	<no-speech>
<104>	(Outline, 93.650-96.740)	<no-speech>	<no-speech>
<105>	(Inline, 94.810-95.320)	hello .	hello .
<106>	(Inline, 95.320-98.580)	<no-speech>	<no-speech>
<107>	(Outline, 96.740-100.630)	<no-speech>	<no-speech>
<108>	(Inline, 98.580-99.031)	hello .	hello .
<109>	(Inline, 99.031-100.020)	<no-speech>	<no-speech>
<110>	(Inline, 100.020-102.950)	<no-speech>	<no-speech>
<111>	(Outline, 100.630-106.500)	<no-speech>	<no-speech>
<112>	(Inline, 102.950-104.010)	salita ka naman .	won't you talk .
<113>	(Inline, 104.010-108.190)	<no-speech>	<no-speech>
<114>	(Outline, 106.500-107.514)	<no-speech>	<no-speech>
<115>	(Outline, 107.514-107.960)	o .	yes .
<116>	(Outline, 107.960-110.300)	<no-speech>	<no-speech>
<117>	(Inline, 108.190-109.210)	*iyon* pa rin asawa mo ?	*that* is still your same husband ?
<118>	(Inline, 109.210-110.030)	<no-speech>	<no-speech>
<119>	(Inline, 110.030-110.540)	<no-speech>	<no-speech>
<120>	(Outline, 110.300-111.170)	<no-speech>	<no-speech>
<121>	(Inline, 110.540-113.330)	<no-speech>	<no-speech>
<122>	(Outline, 111.170-112.360)	<no-speech>	<no-speech>
<123>	(Outline, 112.360-113.310)	o .	yes .
<124>	(Outline, 113.310-114.960)	<no-speech>	<no-speech>
