<1>	(0.000-0.872)	<no-speech>	<no-speech>
<2>	(0.872-1.998)	yes Mariz .	yes Mariz .
<3>	(1.998-14.512)	umulan at umaraw ang nangyayaring eksena dito sa Loyola memorial park sa Marikina pero marami na rin ang mga kababayan natin na pumupunta para bisitahin nga ang puntod ng kanilang mga mahal sa buhay .	rain or shine is the current scene here at Loyola memorial park at Marikina but plenty of our fellow countrymen came here to visit the grave of their loved ones who passed away .
<4>	(14.512-22.311)	Mariz kabilang nga sa mga nakalibing dito ang <hes> master rapper na si Francis Magalona na dinalaw pa ng ibang fans niya .	Mariz included in the people buried here is master rapper Francis Magalona who was visited by some of his fans .
<5>	(22.311-27.946)	nakahimlay rin dito ang aktor na si Jay Ilagan at pati na ang beteranang aktres na si Nida Blanca .	also laid to rest here is the actor Jay Ilagan and even the veteran actress Nida Blanca .
<6>	(27.946-34.535)	ang mga sasakyan dito nakakapasok naman at sabi ng mga tao kahit November one ay puwedeng pumasok ang mga sasakyan .	vehicles here can enter and people said that even on November one vehicles are allowed to enter .
<7>	(34.535-36.900)	narito ang ating panayam .	here is our interview .
<8>	(36.900-41.740)	eh kasi sa Monday may pasok alanganin pag bukas eh .	but because on Monday there are classes it is unsure if tomorrow so .
<9>	(41.740-43.373)	<no-speech>	<no-speech>
<10>	(43.373-47.429)	Mariz dumating din dito si <hes> D_I_L_G secretary Mel Senin Sarmiento .	Mariz arriving here also is D_I_L_G secretary Mel Senin Sarmiento .
<11>	(47.429-51.490)	sorpresa raw siyang nag-ikot upang tignan ang paghahanda sa mga sementeryo .	he went around in a surprise to observe the preparation of the cemeteries .
<12>	(51.490-53.873)	so far maayos naman daw ang nakita niyang paghahanda .	so far the preparation he saw was all right .
<13>	(53.873-55.800)	narito ang kaniyang pahayag .	here is his statement .
<14>	(55.800-69.210)	<hes> sorpresa ako'y sanay na sanay po ng gawaing ito 'nong ako'y alkalde at <hes> mas gusto ko palagi 'yung sorpresa chine-check at tinitignan 'yung <hes> mahirap kasi kung sasabihin natin .	surprise I'm really very used to this activity when I was mayor and I always preferred to check the surprise and look at the it's difficult if we will say .
<15>	(69.210-81.740)	samantala Mariz mga naglilinis at nagpapaganda ng puntod ang karamihan sa mga nasa arkong bato public cemetery sa Valenzuela city nasa isa po to limang hektarya ang sementeryo at lahat ng mga nitso ay apartment type .	meanwhile Mariz cleaners and groomers of tombstones are the majority of those in Arkong Bato Public Cemetery in Valenzuela City it is in one the cemetery is five hectares and all of the graves are apartment type .
<16>	(81.740-85.660)	pinturado na ng puti dahil <hes> ang city hall na raw ang nagpapinta .	already painted white because the city hall is supposedly the one that painted .
<17>	(85.660-87.386)	may mga pulis na ring nakatalaga roon .	there are already police assigned there .
<18>	(87.386-94.196)	apat na portalets ang nakalagay na maaaring gamitin ng mga tao na inaasahang dadagsa raw mamayang gabi hanggang bukas .	four portalets are placed that can be used by the people who are expected to arrive later at night up to tomorrow .
<19>	(94.196-103.436)	ilan sa mga nakausap ng G_M_A news ang nagsabi na dumalaw na sila sa puntod ng mga mahal sa buhay ngayong araw para hindi na masabay sa maraming tao bukas .	some of those G_M_A News talked to said that they already visited the tombs of their loved ones today to avoid the many people tomorrow .
<20>	(103.436-106.139)	mas solemn daw kasi kung kakaunti ang tao .	it is more solemn if there are fewer people .
<21>	(106.139-111.047)	ang iba mayro'n pa raw dadalawin na kaanak sa ibang sementeryo kaya nauna ng pumunta ngayon .	others have relatives they will visit in other cemeteries so they went here first .
<22>	(111.047-113.444)	narito ang kanilang mga pahayag .	here are their statements .
<23>	(113.444-114.619)	<no-speech>	<no-speech>
<24>	(114.619-124.816)	kasi pag ano po pag <hes> a-uno maraming tao 'tsaka 'tsaka ano apat kasi 'yung pinupuntahan naming patay hiwa-hiwalay 'yung sementeryo .	because when there are many people and and we visit four dead in separate cemeteries .
<25>	(124.816-128.700)	eh kasi po ayaw kong sumabay sa ano eh maraming tao .	I do not want to go together with many people .
<26>	(128.700-132.760)	tapos bukas punta pa ako ng ano holy cross .	and then tomorrow I still have to go to Holy Cross .
<27>	(132.760-133.776)	<no-speech>	<no-speech>
<28>	(133.776-140.410)	Mariz dito sa Loyola memorial park sa Marikina ay wala pang- -- untoward incident na naitatala ang mga awtoridad .	Mariz here in Loyola Memorial Park in Marikina there is no -- untoward incident noted by the authorities .
<29>	(140.410-150.986)	kanina may nakita rin si secretary Sarmiento na mga nakumpiskang mga lighters pero 'yung mga matatalas na bagay at iba pang- -- mga ilegal na bagay ay wala pang- -- nakukuha dito sa loob ng sementeryo Mariz .	earlier Secretary Sarmiento also saw confiscated lighters but the sharp objects and other -- illegal objects there are still no -- confiscated here inside the cemetery Mariz .
<30>	(150.986-152.352)	maraming salamat ~ %incomplete	thank you very much %incomplete
