<1>	(0.000-1.986)	<no-speech>	<no-speech>
<2>	(1.986-22.476)	<sta> sa gitna ng operasyon ng militar laban sa puwersa B_I_F_F o Bangsamoro Islamic <sta> Freedom Fighters isang improvised <sta> explosive device ang sumabog sa highway sa Mamasapano sa Maguindanao habang dumaraan ang convoy ng militar at media <sta> kabilang na po ang team ng G_M_A News .	in the midst of the military's operation against the forces of the B_I_F_F or Bangsamoro Islamic Freedom Fighters an improvised explosive device exploded on the highway of Mamasapano in Maguindanao while the convoy of the military and the media including the team of G_M_A News were passing by .
<3>	(22.476-25.630)	suwerte namang walang nasaktan sa pagsabog .	luckily no one was hurt in the explosion .
<4>	(25.630-41.170)	<sta> samantala nagsanib puwersa na raw ang M_N_L_F o ang Moro National Liberation Front <sta> at ang B_I_F_F sa North at South Cotabato kasunod ng pagpirma sa huling annex ng Bangsamoro Framework Agreement .	meanwhile the M_N_L_F or Moro National Liberation Front and the B_I_F_F in North and South Cotabato have allegedly joined forces following the signing of the last annex of the Bangsamoro Framework Agreement .
<5>	(41.170-46.860)	live <sta> mula sa Cotabato City may report si Chino Gaston Chino .	live from Cotabato City Chino Gaston has a report Chino .
<6>	(46.860-61.010)	<sta> Jessica isang improvised explosive device na naman ang sumabog sa lalawigan ng Maguindanao <sta> at bagamat ang pa- -- ating paniwala ay target talaga nito ang dumadaang mga sundalo muntik muntikan pa ring madamay ang ating news team maging ang iba nating kasamahan sa trabaho .	Jessica an improvised explosive device exploded again in the province of Maguindanao and despite -- we believe that its real target were the soldiers our news team as well as our other colleagues at work were almost involved .
<7>	(61.010-64.920)	(()) .	(()) .
<8>	(64.920-71.630)	kasama ang iba pang miyembro ng media sinamahan namin ang convoy ng Second Mechanize Infantry Battalion ng Philippine Army sa Mamasapano .	together with the other members of the media we accompanied the convoy of the Second Mechanize Infantry Battalion of the Philippine Army in Mamasapano .
<9>	(71.630-82.000)	papunta sila kaninang hapon sa Rajah Buayan isa sa mga lugar na kontrolado ng militar at kung saan inilunsad ang opensiba laban sa B_I_F_F o Bangsamoro Islamic Freedom Fighters .	this afternoon they were heading to Rajah Buayan one of the areas controlled by the military and where they will launch an offensive against the B_I_F_F or Bangsamoro Islamic Freedom Fighters .
<10>	(82.000-87.819)	pero sa isang iglap %incomplete <sta> atras mo atras mo 'tol .	but in an instant %incomplete back it up back it up bro .
<11>	(87.819-89.205)	teka teka teka teka .	wait wait wait wait .
<12>	(89.205-89.947)	huwag ka -- dito ka lang .	don't -- stay here .
<13>	(89.947-90.314)	dito ka lang .	stay here .
<14>	(90.314-90.922)	dito ka lang .	stay here .
<15>	(90.922-91.951)	ga- -- ano ano ba ?	-- what what ?
<16>	(91.951-92.970)	i-atras mo <int> .	back it up .
<17>	(92.970-98.970)	kasunod ng biglaang pagsabog maingat kaming lumayo <int> sa pangambang magkaroon ng ikalawang pagsabog .	following the sudden explosion we carefully moved away in fear that there will be a second explosion .
<18>	(98.970-99.981)	<no-speech>	<no-speech>
<19>	(99.981-107.921)	sumusunod tayo sa mga <hes> ilang sundalo na <hes> <int> papasok dito sa Rajah Buayan ng <hes> maganap nga <sta> itong <hes> pagsabog sa kahabaan ng kalsadang ito .	we are following several soldiers who are entering here at Rajah Buayan when this explosion happened on this stretch of road .
<20>	(107.921-119.620)	at <hes> makikita n'yo may mga itim doon sa gitna ng kalsada kung saan <hes> ito yung mga tumilapon na <hes> <sta> bahagi ng bomba at yung nasirang bahagi no'ng <hes> kalsada .	and you can see that there are black things in the middle of the road which are bomb particles that were thrown and part of the road that was destroyed .
<21>	(119.620-130.766)	sa kabutihang palad walang <sta> nasaktan sa pagsabog ng hinihinalang improvised explosive device na gamit umano bilang main charge ang isang one hundred five millimeter howitzer na bala .	luckily nobody was hurt in the explosion of the suspected improvised explosive device which allegedly used a one hundred five millimeter howitzer bullet as its main charge .
<22>	(130.766-135.257)	ayon sa militar isang desperadong taktika na raw ito ng rebeldeng grupo <int> .	according to the military this is already a desperate tactic of the rebel group .
<23>	(135.257-146.448)	dahil gusto nilang magparamdam that they are still a force to reckon with but in a very <hes> yung <hes> yung -- yung terroristic activities nga terroristic ways .	because they want to send a message that they are still a force to reckon with but in a very those those -- those terroristic activities terroristic ways indeed .
<24>	(146.448-148.642)	wala na nga silang military capability .	they don't even have military capability anymore .
<25>	(148.642-154.422)	<hes> at the same time gusto nilang <hes> bumawi 'no ?	at the same time they want to retaliate right ?
<26>	(154.422-160.200)	but overall <hes> this is a very desperate move on their part .	but overall this is a very desperate move on their part .
<27>	(160.200-170.450)	<int> bago nito may nangyari ring pagsabog ng isang I_E_D sa Datu Saudi-Ampatuan noong Sabado kung saan sugatan ang anim na sundalo apat na sibilyan at dalawang mamamahayag .	before this there was also an explosion of an I_E_D at Datu Saudi-Ampatuan last Saturday wherein six soldiers four civilians and two journalists were wounded .
<28>	(170.450-176.302)	sa kabila ng magkakasunod na pagsabog umaasa ang militar na babalik sa normal ang sitwasyon sa Maguindanao .	despite the consecutive explosions the military is hoping that the situation in Maguindanao will go back to normal .
<29>	(176.302-179.185)	nakubkob na daw nila ang mga kuta ng B_I_F_F .	allegedly they already besieged the hideouts of B_I_F_F .
