<1>	(0.000-1.733)	panauhin na si doktor Vic (()) .	guest now is doctor Vic (()) .
<2>	(1.733-13.781)	<hes> dok kaya kita inimporta sapagkat <hes> <hes> mahahalagang tatalakayin natin at tatalastasin eh siyempre nandidiyan ho sa larangan ng paghahayupan .	Doctor that's why I invited you because it's important we discuss and make sure of it of course there's the field of livestock .
<3>	(13.781-24.109)	at ikaw bilang isang beterinaryo eh makakapag-infuse ka ng maraming mga <hes> bagay o dagdag kaalaman para sa kapakanan ng ating mga mag-aalaga ng hayop .	and you being a veteran you'll be able to infuse many things or additional information for the sake of our caretakers of animals .
<4>	(24.109-28.559)	dok sa ngayon eh napakaraming problema ang kinahaharap ng ating mga backyard raisers .	Doctor for now a lot of problems is faced by our backyard raisers .
<5>	(28.559-31.340)	hindi bale ho mga multi nationals <overlap> opo .	never mind the multi-nationals yes .
<6>	(31.340-47.770)	totoo po iyon ka Francis at <hes> sa pamamagitan ng pakikipagtulungan sa ating ahensiya ng gobyerno no lalo na sa ating <hes> National Livestock <hes> coordinator si <hes> A_sec Dave ay <hes> natutugunan lalong-lalo na ka Francis iyong mga backyard raiser natin na kung paano mabubuhay natin muli ano iyong sigla ano .	that's true Francis through helping our government agencies especially our National Livestock coordinator Assistant Secretary Dave meets especially our backyard raisers Francis on how to liven up their morale .
<7>	(47.770-48.286)	oo .	yes .
<8>	(48.286-52.020)	iyong sigla ng pag-aalaga nila na dapat ay kumikita .	their confidence of taking care to earn .
<9>	(52.020-52.558)	ayon .	there .
<10>	(52.558-59.327)	at ang katiyakan -- ang katiyakan dok dahil Oktubre na ngayon November December December December %incomplete	and the assurance -- the assurance Doctor because it's already October now November December December December %incomplete
<11>	(59.327-59.641)	uh huh .	yes .
<12>	(59.641-70.487)	alam na natin <hes> iyong katiyakan na mayroon ba tayong sapat -- sapat hanggang sa end of the year na supply ng <hes> ating mga baboy manok baka sa merkado .	we already know the assurance if we have enough -- enough supply of pig chicken cow in the market until the end of the year .
<13>	(70.487-73.120)	opo at itatanong natin kay A_sec Dave <overlap> ayan .	yes and let's ask that to Assistant Secretary Dave .
<14>	(73.120-73.660)	okay .	okay .
<15>	(73.660-80.003)	salubungin natin ng isang magandang mapayapang umaga ang ating butihing assistant secretary Dave Catbagan .	let's welcome our good assistant secretary Dave Catbagan with a good and serene morning .
<16>	(80.003-84.380)	magandang magandang morning po A_sec Catbagan .	a very good morning Assistant Secretary Catbagan .
<17>	(84.380-86.010)	<hes> good morning ka Francis .	good morning Francis .
<18>	(86.010-87.226)	good morning doktor Nilo .	good morning Doctor Nilo .
<19>	(87.226-88.530)	<hes> <overlap> good morning po .	good morning .
<20>	(88.530-93.488)	tama po kayo <hes> sa tinatalakay natin ngayong umaga sa paghahayupan .	you're right about our discussion on livestock this morning .
<21>	(93.488-94.640)	<no-speech>	<no-speech>
<22>	(94.640-98.180)	tamang-tama ho iyong topic natin dahil ber months na nga po .	our topic is very timely because it's already -ber months .
<23>	(98.180-98.609)	uh huh .	uh huh .
<24>	(98.609-109.716)	at <hes> ito ay <hes> pinaghahandaan na naman iyong pagtaas ng <hes> demands ng mga <hes> agricultural products lalong-lalo na of course iyong baboy at manok .	and this is there is a preparation the rise of the demands of the agricultural products especially that of course the pork and chicken .
<25>	(109.716-133.020)	uh huh ta- -- <hes> tama po ka Francis <hes> ay ina-assure natin sa <hes> aming public agriculture na sapat ho ang <hes> supply for local supply ng <hes> (()) agrikultura manok man o karne ng baboy o itlog <hes> sa darating na Pasko sa darating na mga buwan .	uh huh -- you are right Francis we have been assuring to our public agriculture that the supply is sufficient supply for local supply of (()) agriculture chicken or pork meat or eggs in the coming Christmas in the coming months .
<26>	(133.020-141.330)	<hes> ito'y nakikita natin sa growth ng livestock and poultry na itinalaga ng <hes> Philippines (()) authority .	we have seen this in the growth of the livestock and poultry appointed by the Philippines (()) authority .
<27>	(141.330-148.270)	at alam naman natin sa aming grupo sa livestock group <hes> sabihin na talagang maraming nag-expand lalo sa broiler .	and you know in our group in the livestock group just say that many have expanded especially in broiler .
<28>	(148.270-151.661)	at bumabalik na rin ho iyong backyard sa baboy .	and those backyard piggery is coming back .
<29>	(151.661-152.871)	iyong backyard raisers po .	the backyard raisers .
<30>	(152.871-153.468)	<hes> %incomplete	%incomplete
<31>	(153.468-163.371)	iyon iyon (()) <hes> katunayan ho iyong nito ito lang first six months from January to June <hes> itong dalawang sub sector ng agriculture alam mo ka Francis apat iyan eh .	that that (()) in fact this this first six months from January to June these two sub-sectors in agriculture you know Ka Francis that is actually four .
<32>	(163.371-167.577)	iyong sub sector sa crops uh huh kung saan nandoon iyong may sub corn sugar .	those sub-sector in crops uh huh where the sub corn sugar are there .
<33>	(167.577-168.096)	uh huh .	uh huh .
<34>	(168.096-172.860)	iyong sub sector ng fisheries <hes> at sa ating sub sector iyong livestock and poultry .	those sub-sectors for fisheries and our sub-sector the livestock and poultry .
<35>	(172.860-177.747)	katunayan ho iyong dalawang iyan ay tumaas ng <hes> four to five percent nitong first <hes> %incomplete	in fact that two has risen to four to five percent this %incomplete
<36>	(177.747-178.580)	<overlap> aba lumaki .	oh it rises .
<37>	(178.580-180.911)	in -- in terms of volume of production ha ka Francis .	in -- in terms of volume of production all right Ka Francis .
<38>	(180.911-181.436)	wow .	wow .
<39>	(181.436-196.309)	itong <hes> itong baboy na at tsaka poultry no <hes> for the first six months right ganiyan ang itinaas at nakikita natin na tuloy-tuloy po iyan para matugunan iyong pangangailangan kung mayroon mang spike ng demand nitong susunod na buwan .	this this pork and then this poultry right for the first six months right that is how it rises and we have seen that this will continue to address the needs if there is a spike of the demand next month .
<40>	(196.309-203.962)	uh huh okay pero nandidiyan na rin kaagapay of course <hes> iyong <hes> presyo ay hindi masyado namang lilikot .	uh huh okay but the support is there of course the price is not too naughty .
<41>	(203.962-204.970)	<no-speech>	<no-speech>
<42>	(204.970-208.425)	tama ho iyon na-mo-monitor ho natin in fact nag-soften na ho .	right that we have monitored in fact it softened .
<43>	(208.425-218.180)	lumambot na iyong <hes> pati iyong life price ng <hes> poultry at tsaka saka baboy medyo bumaba na rin ng kaunti .	the has softened as well the life price of the poultry and then the pork has somehow lowered a bit .
<44>	(218.180-225.614)	<hes> na eh pero hindi naman bumabang-bumaba na -- natatalo or nagkakaroon ng lugi iyong mga producers <overlap> uh huh .	but it does not get really low -- they lose or the producers suffer losses .
<45>	(225.614-234.279)	kasi po dahil marami ang problema natin pag bumaba naman ng husto para makinabang ang consumers ay hindi naman ho kumikita iyong ating mga producers no .	we have many problems when it gets very low to benefit our consumers but our producers do not earn .
<46>	(234.279-239.280)	uh huh <overlap> so nasa presyong tamang-tama lang po at <hes> na-mo-monitor naman ho natin .	so it is at the exact price and we also monitor it .
<47>	(239.280-245.420)	may isang grupo sa agriculture marketing <hes> division na nag-mo-monitor ng presyo .	there is a group in the agriculture marketing division that monitors the price .
<48>	(245.420-255.650)	sa -- sa palengke ho para lang maitama lang ang based (()) doon dito sa presyo ng <hes> <hes> mga life <hes> life hazards tsaka poultry .	in -- in the wet market to correct the price based on (()) of the price of life life hazards and poultry .
<49>	(255.650-256.102)	okay .	okay .
<50>	(256.102-267.074)	A_sec Dave medyo nangangamba lang po kasi iyong sa hanay ng <hes> pag-aalaga ng manok dahil <hes> nabalita po kasi sa mga supplier ng <hes> soya 'no ay medyo mauubos na iyong <hes> U_S soya .	Assistant Secretary Dave those in the poultry sector are worried because there are news from the suppliers of soya that U_S soya are depleted .
<51>	(267.074-272.108)	so <hes> isa po ito sa <hes> hindi ka sumasaya ano pagka nawala ang U_S soya .	so this is one of you are not happy when there are no more U_S soya .
<52>	(272.108-280.610)	<hes> humina iyong <hes> supply dito sa atin dito sa Pilipinas ay <hes> tumataas naman ang <hes> <hes> angkat natin ng ibang source ng protein .	the supply here to the Philippines lessened but our we increased the importation of other sources of protein .
<53>	(280.610-289.050)	so di po kaya natin <hes> pangangambahan iyong pag- -- pagkawala ng U_S soya na nababalita ngayon dito sa industry ?	so we should not be worried about the -- loss of U_S soya that is now the news in the industry ?
<54>	(289.050-301.770)	<hes> iyan ang naibabalita ngayon pero pag pina-monitor natin doktor Nilo iyong presyo noong previous years ay <hes> hindi naman masyadong ganoon na maapektuhan iyong cost of production nila ano .	that's the news going around but when monitor the price in the previous years Doctor Nilo their production cost is not going to be really affected .
<55>	(301.770-304.697)	opo importante lang ho tuloy-tuloy iyong <hes> supply .	yes what's important is the continuous supply .
<56>	(304.697-308.549)	<hes> unfortunately iyang soya na iyan ay dependent talaga tayo sa labas ano .	unfortunately for soya we are dependent outside .
<57>	(308.549-309.069)	opo .	yes .
<58>	(309.069-310.640)	<no-speech>	<no-speech>
<59>	(310.640-323.480)	ma- -- may mga mekanismo naman itong ating mga producers na kung saan ay nakakapag <hes> -- well <hes> ni-re-reduce nila -- ni-re-reduce nila iyong proportion ng soya po na -- na feeding .	our producers have a mechanism when -- they reduce -- they reduce the proportion of soya in feeding .
<60>	(323.480-329.010)	<hes> puwede pang ma -- hindi masyadong mababa iyong depreciation nila sa ibang substitute .	it maybe -- that the depreciation on other substitute isn't as low .
<61>	(329.010-339.347)	para lang ma -- ma -- maano ng kaunti -- ma mapababa ng kaunti but I -- I assure tinitignan ho natin na siguro in the future iyong merkado mag-estabilize naman ho .	just to somewhat lessen -- to lower a bit -- but I assure that we check that the market might stabilize in the future .
<62>	(339.347-358.649)	ayon <hes> A_sec Dave napakaganda po ng <hes> isang <hes> achievement ano ng <hes> ng tungkol sa livestock dahil dito sa may Tarlac ay mukhang nagka- -- nagkatuluyan na ho at nagpapagawa na ng <hes> dressing plant na triple A ano para sa ating mga <hes> poultry raiser .	there Assistant Secretary Dave the achievement regarding the livestock is very nice because here in Tarlac it seems that it is -- pushing through and a triple A dressing plant for our poultry raisers are being built .
<63>	(358.649-360.500)	<no-speech>	<no-speech>
<64>	(360.500-361.098)	tama ho iyon .	yes that is correct .
