<1>	(0.000-5.128)	<no-speech>	<no-speech>
<2>	(5.128-12.660)	<sta> pinayagan po ng Commission on Higher Education na magtaas <sta> ng matrikula ang mahigit tatlong daang unibersidad at kolehiyo sa buong bansa .	Commission on Higher Education approved the increase of tuition of more than three hundred universities and colleges in the whole country .
<3>	(12.660-18.858)	<sta> mahigit walong porsiyento o katumbas ng apatnapung piso kada unit <sta> ang average na tuition increase .	more than eight percent or equal to forty pesos per unit is the average of the tuition increase .
<4>	(18.858-20.924)	<sta> saksi <sta> si Sherry Ann Torres .	Sherry Ann Torres is a witness .
<5>	(20.924-23.750)	<no-speech>	<no-speech>
<6>	(23.750-30.650)	<sta> dagdag na pangmatrikula ang kailangang ihanda ng mga mag-e-enroll sa tatlong daan at apatnapu't talong kolehiyo at unibersidad sa bansa .	additional tuition needs to be prepared by those who will be enrolling in the three hundred and forty eight colleges and universities in the country .
<7>	(30.650-36.654)	<sta> inaprubahan na kasi ng Commission on Higher Education o Ched ang petisyon nilang taasan ang tuition at iba pang bayarin .	this is because the Commission on Higher Education or Ched has approved their petition to increase tuition and other fees .
<8>	(36.654-44.470)	<sta> ang lumalabas na average increase natin ngayong taon <sta> na 'to eh about <hes> eight perce- -- eight point three percent ano .	the resulting average increase just this year is about eight -- eight point three percent right .
<9>	(44.470-50.744)	<sta> now <hes> translated to pesos <hes> less than forty pesos itong <hes> <sta> per unit .	now translated to pesos this per unit is less than forty pesos .
<10>	(50.744-59.120)	<sta> ayon sa Ched mas mababa raw ang inaprubahan nila ngayong antas ng taas matrikula <sta> kaysa sa sampung porsiyentong average tuition hike noong twenty twelve .	according to CHED the tuition rate increase that they have approved now is lower than the ten percent average tuition hike in twenty twelve .
<11>	(59.120-64.700)	<sta> karamihan din daw sa mga pinayagang magdagdag ng matrikula ay nasa Metro Manila kasunod ang Calabarzon .	most of those who were allowed to increase tuition fees are in Metro Manila followed by Calabarzon .
<12>	(64.700-68.400)	<sta> wala rin daw tuition hikes sa mga state college and university .	there are no tuition hikes in state colleges and universities .
<13>	(68.400-82.170)	<sta> bago pinayagan kinailangan daw ng mga nagpetisyon na konsultahin ang mga magulang estudyante pati ang faculty at mga school organization <sta> at patunayang pitumpung porsiyento ng dagdag singil ay mapupunta sa suweldo at benepisyo ng guro at kawani .	before they were allowed petitioners were required to consult with the students' parents and the faculty as well as school organizations and prove that seventy percent of the surcharge will go to the salaries and benefits of teachers and staff .
<14>	(82.170-90.380)	<sta> sa ngayon daw kinukumpleto pa ng Commission on Higher Education yung listahan nila ng mga eskuwelahan at unibersidad na pinayagan nila na magtaas ng matrikula .	for now the Commission on Higher Education is still completing the list of schools and universities that they allowed to increase tuition .
<15>	(90.380-93.380)	<sta> ihahayag daw nila ito sa mga susunod na araw .	they will announce this in the coming days .
<16>	(93.380-103.180)	<sta> (()) naman daw sa mga kukuwestiyon o kaya ay magrereklamo tungkol sa naging desisyong ito sa mga eskuwelahan na magtataas ng matrikula <sta> puwede naman daw na maghain ng reklamo sa Ched .	those who will question or complain about the decision to the schools which will increase tuition are (()) and can file a complaint at Ched .
<17>	(103.180-111.340)	<sta> kuwento ng working student na si Reynaldo Carillo ang 'di maawat na taas singil sa matrikula ang dahilan kung bakit hindi siya nag-enroll sa malalaking eskuwelahan .	according to working student Reynaldo Carillo the unstoppable increase in tuition was the reason he didn't enroll in a big school .
<18>	(111.340-119.220)	<sta> dishwasher daw siya sa isang restaurant kaya malaking bagay na nakapako sa limang libong piso ang tuition sa kursong Hotel and Restaurant Services .	he is a dishwasher at a restaurant that's why it's a big deal that the five thousand peso tuition for the Hotel and Restaurant Services course remains permanent .
<19>	(119.220-125.273)	<sta> kung mahirap minsan nakakatulog na po sa school kasi nga po yung <sta> walang pahinga masyado .	if it sometimes gets hard I fall asleep at school because I don't have enough rest .
<20>	(125.273-130.570)	<sta> 'pag nakatapos po ako gusto ko po rin sana na magpatayo ng sariling restaurant .	once I graduate I also want to start my own restaurant .
<21>	(130.570-138.420)	<sta> pero ang ilang magulang na ating nakausap <sta> dismayado na wala pa man ang pinal na listahan ng mga kolehiyo at unibersidad na magtataas ng matrikula .	but a number of the parents we spoke to were dismayed that there was no final list of colleges and universities that will be increasing tuition .
<22>	(138.420-140.080)	<sta> talagang hindi makatarungan .	it's really unjust .
<23>	(140.080-141.590)	<no-speech>	<no-speech>
<24>	(141.590-143.850)	<sta> dahil sa sobrang taas ang tuition siyempre .	because of the very high tuition of course .
<25>	(143.850-146.050)	<sta> ang suweldo tama lang .	the salary is just right .
<26>	(146.050-154.723)	<sta> katuwiran ko 'yan ma'am eh obligado akong magpaaral sa anak ko kaso <sta> ang ginagawa ko lang kasi 'yan ma'am makikiusap lang muna ako kung walang tuition ang anak ko .	that's my logic Ma'am I'm obliged to bring my child to school but the case is what I'm doing is Ma'am to request first if my child has no tuition .
<27>	(154.723-157.988)	<sta> ako si Sherry Ann Torres ang iyong saksi .	I'm Sherry Ann Torres your witness .
