<1>	(0.000-0.531)	ewan ko .	I don't know .
<2>	(0.531-2.065)	pakilala mo na kaagad Zarwina .	introduce it right away Zarwina .
<3>	(2.065-9.799)	yes kasama po natin ngayon live dito sa ating <hes> studio si Lieutenant Colonel Reynaldo Balido Junior Philippine Military Academy Spokesperson .	yes with us here live in our studio is Lieutenant Colonel Reynaldo Balido Junior Philippine Military Academy spokesperson .
<4>	(9.799-13.713)	at pag-uusapan natin Ka Francis ha ang nalalapit na entrance exam sa P_M_A .	and we will talk about Ka Francis the upcoming entrance exam in the P_M_A okay .
<5>	(13.713-15.370)	magandang umaga po Sir Balido .	good morning Sir Balido .
<6>	(15.370-16.467)	magandang umaga Zarina .	good morning Zarina .
<7>	(16.467-17.854)	magandang umaga Ka Francis .	good morning Ka Francis .
<8>	(17.854-21.650)	magandang umaga po sa mga nakikinig nanonood sa atin ngayong umaga .	good morning to those listening to watching us this morning .
<9>	(21.650-28.690)	okay <hes> Zarina siguro naman eh <overlap> si Colonel Balido ay kilalang-kilala na ng lahat .	okay Zarina maybe Colonel Balido is already known by everyone .
<10>	(28.690-33.138)	<hes> ngayon magtataka sila P_M_A spokesperson na siya ?	now they will be surprised that he is already a P_M_A spokesperson ?
<11>	(33.138-35.300)	pero saan siya nanggaling ?	but where did he come from ?
<12>	(35.300-36.452)	kilala mo alam mo ?	do you know him you know ?
<13>	(36.452-37.114)	yes .	yes .
<14>	(37.114-39.498)	saan siya galing na ano institusyon ?	where did he come from what institution ?
<15>	(39.498-40.417)	N_D_R_R_M_C .	N_D_R_R_M_C .
<16>	(40.417-45.301)	ayon National Disaster Risk Reduction Management Council .	according to the National Disaster Risk Reduction Management Council .
<17>	(45.301-46.487)	walang tulugan 'yon ha .	you don't get to sleep okay .
<18>	(46.487-47.850)	walang tulugan .	no sleeping .
<19>	(47.850-50.206)	hindi sa- -- hindi na <laugh> natutulog talaga itong taong ito .	not -- this person really did not sleep anymore .
<20>	(50.206-52.070)	anytime na tawagan mo ito .	anytime you call him .
<21>	(52.070-56.297)	anytime any given time talagang bibigyan ka ng update <overlap> may sasabihin siya oh .	anytime any given time he will give you an update oh he has something to say .
<22>	(56.297-69.333)	pero Ka Francis Zarina ayoko naman na parang 'pag naalala lang kapagka may disaster 'di ba so parang ito <hes> panibagong <hes> karanasan naman pana- -- panibagong hamon para magkapag- -- <hes> bigay serbisyo sasa- -- serbisyo sa ating bayan .	but Ka Francis Zarina I don't want that we only get worried when there's a disaster so like this one a -- new experience again a new challenge to -- give service -- service to the nation .
<23>	(69.333-73.951)	kailan ka pa <hes> kinuha ng ating Philippine <laugh> Military Academy ?	when did our Philippine Military Academy recruit you ?
<24>	(73.951-74.761)	kinuha parang %incomplete	they took it like %incomplete
<25>	(74.761-76.587)	kinuha kanila dahil nakita nila ang potensy- %incomplete	they got you because they saw the %incomplete
<26>	(76.587-77.744)	<overlap> nalipat po nalipat .	transferred sir transferred .
<27>	(77.744-79.570)	<no-speech>	<no-speech>
<28>	(79.570-82.889)	<hes> twenty fourteen po ng June nasa P_M_A na po ako .	twenty fourteen of June I was already in the P_M_A .
<29>	(82.889-86.690)	at <hes> unang sabak po sa P_M_A <hes> spokesperson na rin .	and the first post was the P_M_A spokesperson already .
<30>	(86.690-87.729)	kaagad ?	right away ?
<31>	(87.729-88.617)	opo opo .	yes yes .
<32>	(88.617-93.680)	although may mga ibang posisyon na rin akong nahawakan pero concurrent pa rin akong spokesperson sa ngayon .	although I also hold other positions I am the concurrent spokesperson right now .
<33>	(93.680-95.237)	ano kayang susunod ?	what could be next ?
<34>	(95.237-96.551)	pero ayaw mo na talaga ?	but you don't want to anymore ?
<35>	(96.551-101.890)	hindi mo na ba- -- ayaw mo nang ano ha gunitain ang mga nakalipas <laugh> mo sa N_D_R_R_M_C .	won't you -- don't you want to recollect your past in N_D_R_R_M_C .
<36>	(101.890-103.992)	sabi n'yo nga po ay hindi na natutulog eh .	like you said it seems like he's no longer sleeping .
<37>	(103.992-109.737)	napaka-challenging po na posisyon yung pinanggalingan natin <hes> alam naman po natin 'yan .	the position we're coming from is very challenging we all know that .
<38>	(109.737-113.441)	yung ating boss dati si <hes> Undersecretary Benito Ramos .	our former boss Undersecretary Benito Ramos .
<39>	(113.441-114.202)	magandang umaga sa inyo sir .	good morning to you Sir .
<40>	(114.202-114.710)	<overlap> ay oo .	oh yes .
<41>	(114.710-116.391)	si sir Ramos isa pa 'yon .	Sir Ramos that's also one .
<42>	(116.391-119.290)	<overlap> .	.
<43>	(119.290-127.324)	<hes> na kahit na anong oras na tawagan natin eh do'n po natin siguro nakuha yung <hes> pagiging <hes> alerto pagdating sa mga balita .	whatever time we call perhaps we got it from there our alertness when it comes to news .
<44>	(127.324-138.065)	now bago natin puntahan <hes> Colonel Balido itong <hes> nais mong iparating <hes> sa sambayanan kaugnay ng nalalapit na <hes> pagsusulit 'no ?	before we go Colonel Balido this that you want to inform the town in regards to the upcoming test right ?
<45>	(138.065-144.960)	sulit dito sa Philippine Military Academy how did you find your new job ngayon bilang spokesman ng Philippine Military Academy ?	it's worth it here in the Philippine Military Academy how did you find your new job now as spokesman of the Philippine Military Academy ?
<46>	(144.960-148.500)	<overlap> <hes> tulad nga po ng nasabi ko kanina Ka Francis parang concurrent job ko lang po ito .	like what I said earlier to Francis this is just my concurrent job .
<47>	(148.500-156.640)	ang main <hes> posisyon ko po or trabaho ko po ay <hes> -- although related din sa mga kaibigan natin sa media yung civil military operations .	my main position or job is -- although civil military operations is also related to our friends in the media .
<48>	(156.640-163.362)	so pakikipag- -- <hes> engage sa sibilyan sa ating mga partner stakeholders .	so --in engaging with the civilians with our partner stakeholders .
<49>	(163.362-164.940)	<no-speech>	<no-speech>
<50>	(164.940-171.290)	nasimulan ko naman po sa O_C_D sa Office of Civil Defense at <hes> tinuloy-tuloy na po natin .	I already started in O_C_D in the Office of Civil Defense and we're continuing this .
