query375 Q0 MATERIAL_BASE-1A_74271653 1 -7.01282 indri
query375 Q0 MATERIAL_BASE-1A_91324835 2 -7.33013 indri
query375 Q0 MATERIAL_BASE-1A_77261521 3 -7.38702 indri
query375 Q0 MATERIAL_BASE-1A_14600448 4 -7.39957 indri
query375 Q0 MATERIAL_BASE-1A_37809135 5 -7.51619 indri
query375 Q0 MATERIAL_BASE-1A_87549824 6 -7.60664 indri
query375 Q0 MATERIAL_BASE-1A_77539357 7 -7.61184 indri
query375 Q0 MATERIAL_BASE-1A_34172750 8 -7.63701 indri
query375 Q0 MATERIAL_BASE-1A_67137459 9 -7.65392 indri
query375 Q0 MATERIAL_BASE-1A_89722172 10 -7.65502 indri
query375 Q0 MATERIAL_BASE-1A_99423388 11 -7.69115 indri
