<1>	Sabado, Agosto 2, 2014	Saturday, August 2, 2014
<2>	Makatang Pablo Neruda, namatay sa kanser o pinaslang?	poet Pablo Neruda, died in cancer or murdered?
<3>	MAKATANG PABLO NERUDA, NAMATAY SA KANSER O PINASLANG? ni Gregorio V. Bituin Jr.	poet Pablo Neruda, died in cancer or murdered? by Gregorio V. Bituin Jr.
<4>	Apatnapung taong singkad nang namayapa sa kanyang himlayan ang makatang si Pablo Neruda (Hulyo 12, 1904 - Setyembre 23, 1973), ngunit malaking kontrobersya hinggil sa pagkamatay niya ang yumanig sa mundo.	exactly forty years when the poet Pablo Neruda (July 12, 1904 - September 23, 1973) rested in peace in his graveyard, but a big controversy about his death has shaken the world.
<5>	Hindi raw namatay sa kanser si Pablo Neruda kundi siya raw ay nilason.	Pablo Neruda had been said not to have died but he was poisoned.
<6>	Kilalang makata si Pablo Neruda, hindi lamang sa kanyang bansa, kundi sa iba't ibang panig ng daigdig.	Pablo Neruda is a famous poet, not only in his country, but also in the various parts of the world.
<7>	Katunayan, mas nakilala ko siya nang ilathala sa ating bansa ang aklat na "Pablo Neruda, Mga Piling Tula" noong 2004.	in fact, I have known him better when his book "Pablo Neruda, Selected Poems" is published last 2004 in our country.
<8>	Isa itong proyekto ng pagsasalin ng mga makatang Filipino sa ating wika ng mga tula ni Neruda.	this is a project of Filipino poets in translating the poems of Neruda to our language.
<9>	Sina national artist Virgilio S. Almario at si UP Prof. Romulo P.	among them are national artist Virgilio S. Almario and UP Prof. Romulo P.
<10>	Baquiran Jr. ang mga editor ng nasabing aklat.	Baquiran Jr. the editors of the said book.
<11>	Pablo Neruda ang sagisag-panulat ng Chilenong makatang si Neftali Ricardo Reyes Basoalto.	Pablo Neruda, the pen name of the Chilean poet Neftali Ricardo Reyes Basoalto.
<12>	Hinango umano niya ang sagisag-panulat niyang ito mula sa makatang Czech na si Jan Neruda.	said to have based this pen name from the Czech poet Jan Neruda.
<13>	kasapi siya ng Partido Komunista ng Chile.	he is a member of the Communist Party of Chile.
<14>	Si Pablo Neruda ay nagawaran ng Lenin Peace Prize noong 1953 at nagkamit ng Nobel Prize for Literature noong 1971.	Pablo Neruda was awarded a Lenin Peace Prize last 1953 and achieved a Nobel Prize for Literature last 1971.
<15>	Kaya ang balitang pinalang si Neruda at hindi namatay sa kanser ay nakakabigla, lalo na sa mga umiidolo sa kanya bilang makata ng daigdig.	so the news that Neruda was murdered and had not died in cancer was shocking, especially those who idolize him as a world poet.
<16>	Tinawag siyang "pinakadakilang makata ng ika-20 siglo sa anumang wika" ng namayapa nang nobelistang Colombianong si Gabriel Garcia Marquez.	he is hailed as "the greatest poet of the 20th century in any language" of the late Colombian novelist Gabriel Garcia Marquez.
<17>	Ayon kay Manuel Araya, na tsuper ni Neruda noon, pinaslang si Neruda.	according to Manuel Araya, driver of Neruda before, Neruda was murdered.
<18>	Inindyeksyunan umano ng lason ang makata habang nakaratay sa isang klinika.	the poet was said to have been injected with poison while he was lying on the clinic.
<19>	Ayon sa ilang ulat, isang misteryosong Mr. Price ang nag-indyeksyon, na sa ilang imbestigasyon ay sinasabing isang ahente ng CIA (Central Intelligence Agency).	according to the report, a mysterious Mr. Price had injected, which in some investigations identified him as an agent of the CIA (Central Intelligence Agency).
<20>	Namatay si Neruda labindalawang araw matapos magtagumpay ang kudeta ni Heneral Augusto Pinochet, at mapatalsik ang sosyalistang pangulong si Salvador Allende.	Neruda died twelve days after the successful coup d'état of General Augusto Pinochet, and ousted the socialist president Salvador Allende.
<21>	Ang makatang si Neruda ay isa sa matinding tumuligsa laban sa kudeta at kay Pinochet.	the poet Neruda is one of those who are severely criticizing against the coup d'état and Pinochet.
<22>	Wala pang dalawang linggo ay namatay na ang makata.	not more than two weeks, the poet died.
<23>	Plano pa naman umano niyang umalis ng bansa sa susunod na araw.	he was said to have been planning to leave the country the next day.
<24>	Dahil sa pagbubulgar na ito ni Araya, nagkainteres ang Partido Komunista ng Chile kaya't nanawagan ito ng muling pag-awtopsiya sa bangkay upang malaman ang totoo.	because of this revelation by Araya, the Communist Party of Chile is taking interest so it is calling for an autopsy again on the corpse in order to know the truth.
<25>	May ikatlong partido umano ang sangkot, ayon kay Atty. Eduardo Contreras, abogado ng Partido Komunista ng Chile.	there is said to have been a third party involved, according to Atty. Eduardo Contreras, lawyer of the Communist Party of Chile.
<26>	Kaya nag-atas si Hukom Mario Carroza ng pagsusuri sa bangkay noong Pebrero 2013.	that is why Judge Mario Carroza mandated for the examination of the corpse last February 2013.
<27>	Gayunpaman, ayaw ng pinuno ng Pablo Neruda Foundation, na si Juan Agustin Figueroa, na muling hukayin ang bangkay upang suriin, dahil pagyurak umano ito sa alaala ng makata.	nevertheless, the leader of the Pablo Neruda Foundation, who is Juan Agustin Figueroa, does not want to exhume the corpse for examination, because this is a spit on the memory of the poet.
<28>	Ang Pablo Neruda Foundation ay itinatag ng biyuda ni Pablo Neruda upang itaguyod at panatilihin ang pamana ng makata sa mga susunod na henerasyon.	the Pablo Neruda Foundation is founded by the widow of Pablo Neruda in order to support and retain the legacy of the poet to the next generation.
<29>	Apatnapung taon nang naililibing ang makata, at sa haba ng panahong iyon ay tiyak na naagnas na ang kanyang bangkay.	the poet has been buried for forty years, and at the length of that time, surely, the corpse has already disintegrated.
<30>	Kaya may agam-agam si Dr. Luis Ravanal na isang imbestigador mula sa Ombudsman ng Chile.	Dr. Luis Ravanal, an investigator from the Ombudsman of Chile, has doubts.
<31>	Ayon sa kanya, "Napakabigat na salik ang panahon, dahil isang salik itong maaaring bumura sa ebidensya.	according to him, "time is a heavy aspect, because this is an aspect which may erase the evidence.
<32>	Naaagnas ang laman, at sakali mang may gamiting lason sa pagkamatay ay maaaring wala na ring bakas."	the flesh is going to rot, and if there is a poison used in the murder, it is possible that there has been no traces."
<33>	Noong ika-8 ng Nobyembre 2013, matapos ang pitong buwan ng imbestigasyon ng 15-kataong bumubuo ng forensic team, ay inilabas nila ang resulta.	last 8th of November 2013, after seven months of investigation of the 15 members composing the forensic team, they released the result.
<34>	Ayon kay Patricio Bustos, pinuno ng medical legal service ng Chile, walang anumang bakas ng kemikal o lason na maiuugnay sa pagkamatay ni Neruda.	according to Patricio Bustos, head of the medical legal service of Chile, no trace of chemical or poison that can be related to the death of Neruda.
