<1>	10 factors that Coup d'etat stories in the Armed Forces of the Philippines are not true	10 factors that Coup d'état stories in the Armed Forces of the Philippines are not true
<2>	Napakarami na namang nailathalang istorya tungkol sa kudeta at marapatin kong ipamahagi ang mga factors na maging basehan na ang mga iyon ay hindi makatotohanan:	there are numerous stories published again about the Coup d'état and I consider it as worthy to share the factors as basis that those are unrealistic:
<3>	1\. Dalang-dala na ang mga sundalo sa pagsasama sa aktwal na kudeta o sa mga tangka na pataubin ang gobyerno.	1. the soldiers are too exhausted in joining an actual Coup d'état or in attempts to overthrow the government.
<4>	Hindi mabilang ang nasira ang buhay dahil sa kasasali dito.	the lives which are destroyed because of joining this could not be counted.
<5>	Ang pinakamasama ay yong namamatay sa madugong kudeta na walang benepisyong natatanggap.	the worst are those who are getting killed in bloody Coup d'état without receiving any benefits.
<6>	Merong nagkakahiwalay ang mag-asawa at nabulabog ang buong pamilya.	there are couples who got separated and the whole family is disrupted.
<7>	May isa akong kasama sa Basilan na naging tigabantay na lang ng palaisdaan.	I have a colleague in Basilan who just became a mere guard of a fish pond.
<8>	May isang Scout Ranger na nag-uuling sa Northern Luzon.	there is a Scout Ranger who makes charcoal in Northern Luzon.
<9>	Ang iilan sa mga iyon ay naglapit sa akin para magpahanap ng trabaho.	few of those approached me for me to find them a job.
<10>	Ang pinakamadali nilang mapasukan ay pagiging gwardya.	the easiest they can apply is being a guard.
<11>	Dating astig na sundalo, naging Security Guard na lang dahil sa kudeta.	once a masculine soldier just became a security guard because of Coup d'état.
<12>	Dahil nakakausap ko sila at kakilala ko ang pamilya nila, lalong naaawa ako sa kanila.	because I am able to talk to them and I know their families, I am pitying them more.
<13>	Mapapait ang karanasan ng mga sumali sa mga nakaraang kudeta.	the experience is bitter for those who have joined the previous Coup d'état.
<14>	Bakit kami magkudeta?	why should we do a Coup d'état?
<15>	2\. Napakarami na ang naisulong na modernisasyon sa AFP na syang nag-angat sa morale ng mga sundalo.	2. a lot of modernization has been pushed forward in the AFP which raised the morale of the soldiers.
<16>	Halimbawa, noong ako ay tenyente, wala kaming Combat Life Saver (CLS) Kit.	example, when I was a lieutenant, we did not have a Combat Life Saver (CLS) Kit.
<17>	Tinatalian lang namin ng pinunit na damit na may dahon ng bayabas ang sugat ng kasamang natatamaan sa mga bakbakan.	we are just tying the wounds of our colleagues who are hit in a firefight with tattered clothes with guava leaves.
<18>	Ngayon ay may squad level CLS kit na, may individual issue pa.	now there is already a squad level CLS kit, there is still an individual issue.
<19>	Kung dati ay pinaglumaang M14 Rifle at M16 Rifle, at may mga M203 40mm ammos na ayaw pumutok ang ginagamit, ngayon ay may mga M4 Carbine Rifles, K3 SAW na.	if before, old secondhand M14 Rifle and M16 Rifle and there were M203 40mm which would not fire were used, now there are already M4 Carbine Rifles, K3 SAW.
<20>	Maliban doon, dahan-dahang bumabalik ang tikas ng Air Force at Navy sa mga bagong kagamitang pakikidigma na nabili.	aside from that, the stature of the Air Force and Navy is slowly coming back in the new warfare equipment which is bought.
<21>	Hindi ko na banggitin ang marami pang ibang aspeto ng modernisasyon at nasisigurado ko ay, 'better than before!'.	I will not mention the many aspects of modernization anymore and what I am sure of is, "better than before!".
<22>	Mas kampante kasi ang mga sundalo na magtaya ng buhay sa pagsagawa ng misyon kung batid nya na lamang sila sa teknolohiya, kaalaman at sa support systems na naidudulot ng modernization program.	the soldiers are more confident to gamble their lives in implementing the mission if he is aware that they are better in technology, knowledge and in support systems being brought by the modernization program.
<23>	Bakit kami magkudeta?	why should we do a coup d'état?
<24>	3\. Sa kasalukuyang administrasyon, tumaas ang aming sweldo.	3. in the current administration, our salary increased.
<25>	Dahil dito, kaya na naming matustusan ang pangangailangan ng aming pamilya.	because of this, we are able to provide for the needs of our family.
<26>	Sa totoo lang, kung iwasan lang ang bisyo at planuhin ng mabuti ang pamilya, ang sweldo ng sundalo ay pwede nang pang-sustain sa pamilya.	in reality, if vices are just avoided and plan the family well, the salary of a soldier can sustain the family.
<27>	Of course, dagdag na diskarte ng sundalo ang pag-invest, pag-negosyo at pag-aral ng Financial Literacy 101.	of course, investing, having a business and studying Financial Literacy 101 are added strategies of a soldier.
<28>	Di ba't di pa rin magkasya yan kung asal milyonaryo kami?	truly, that won't still be sufficient if we act like a millionaire?
<29>	Kahit may nagsabing kulang pa ang aming sweldo, batid naming may magagawa rin kaming paraan para pagkasyahin ito.	even if someone said our salary is insufficient, we are aware that we can still make a way to make it fit.
<30>	Bakit kami magkudeta?	why should we do a coup d'état?
<31>	4\. Nadagdagan ang programang pabahay para sa mga sundalo.	4. the housing programs for the soldiers are increased.
<32>	Maliban sa on-base housing ng AFP, meron din ang kasalukuyang pamahalaan na programa ng off-base housing na wala noong unang panahon.	aside from the on-base housing of the AFP, the current government has also an off-base housing program which was not there before.
<33>	Napakarami na ng mga sundalo ang nakinabang sa pabahay na ito ng kasalukuyang administrasyon.	there are already a lot of soldiers who have benefited this housing program of the current administration.
