<1>	Introduksiyon sa ‘Pitong Sundang: Mga Tula at Awit’ ni Ericson Acosta	introduction to 'seven daggers: poems and songs' by Ericson Acosta
<2>	Malamang na di na kailangang ipakilala pa sa madla ang awtor ng librong ito, si Ericson Acosta (Ka Eric dito), ibinilanggong manunulat, kompositor, mang-aawit, peryodista, at aktibistang intelektuwal.	perhaps there is no need to introduce to the public the author of this book, Ericson Acosta (Ka Eric here), imprisoned writer, composer, singer, columnist, and activist intellectual.
<3>	Ngunit walang katiyakan sa buong mundo.	but there is no certainty in the entire world.
<4>	Sa kaharian ng Kapital lukob ang neokolonyang Pilipinas na (sa turing ni Ka Eric) isang malaking “penal colony,” lahat ng matatag (ang status quo) ay lumalambot, nalulusaw, nagsasabula.	neocolonial Philippines (that ComradeEric considers) one big "penal company" is protected in the kingdom of Kapital, all the stable ones (the status quo) soften, melt, disappear.
<5>	Walang permanenteng sitwasyon saanmang lugar.	there is no permanent situation anywhere.
<6>	Nagbabago, nag-iiba ang lahat–katawan, kulungan, gawi, institusyon, ikaw, ako, tayong lahat.	everything transforms, changes - body, prison, habit, institution, you, me, all of us.
<7>	Gayon ang nangyari kamakailan.	that is what happened recently.
<8>	Sa tulong ng mga kampanya ng SELDA, KARAPATAN at mga organisasyong internasyonal, pansumandaling nakalaya si Ka Eric, mahigit 23 buwang nakapiit, upang maikonsulta ang kalusugan.	with the help of the company SELDA, KARAPATAN and international organizations, ComradeEric, more than 23 months imprisoned, was temporarily released so he can get health consultation.
<9>	Nagkaroon siya ng malubhang sakit na bunga ng tortyur at matinding parusa na ipinataw ng rehimeng Aquino buhat hulihin siya noong Pebrero 13, 2011 nang walang warrant at ilagak sa Calbayog City jail, Samar.	he developed serious illnesses resulting from torture and grave punishment given by the Aquino regime when he was apprehended on February 13, 2011 without warrant and placed in Calbayog City jail, Samar.
<10>	Sakdal sa kanya: “illegal possession of explosives,” hinalang lihim na nakipagtalik sa kinumpiskang laptop kompyuter.	charges on him: "illegal possession of explosives," suspected to have sex using a confiscated laptop computer.
<11>	Hintay, mga awtoridad ng Estadong palalo, nagsasaliksik noon ang makata tungkol sa karapatang pantao at kondisyon ng pamumuhay sa San Jorge, Samar.	wait, authorities of the conceited State, the poet was researching then about human rights and living conditions in San Jorge, Samar.
<12>	Krimen ba ‘yon?	is that a crime?
<13>	Gamit ang kanyang mayamang karanasan at bihasang dunong bilang mamamahayag (UP Collegian; Manila Times; ABS-CBN, atbp), pinag-aaralan ni Ka Eric ang sitwasyon ng mga mamamayan kaakibat ng paglilingkod sa kolektibong pagsisikap umunlad.	using his rich experience and expert knowledge as a journalist (UP Collegian; Manila Times; ABS-CBN, etcetera), ComradeEric studies the situation of the people together with serving the collective effort for progress.
<14>	Ngunit tulad noong panahon ng panananakop ng tropang Amerikano sa Balangiga circa 1901 (tingnan ang tulang “Jacob 1901”), ang pulo’y arena ng madugong tunggalian ng mga uri.	but like the period of colonization of American troops in Balangiga circa 1901 (see the poem "Jacob 1901"), the island is an arena of bloody conflict of classes.
<15>	Napagitna ang makata; sa gipit at gulo dumagsa ang mga “ibong mandaragit”… Walang pakundangan sa batas, katuwiran, at karapatang pantao, ikinulong ang iskolar ng bayan at inabuso siya–hanggang sumiklab ang galit at protesta ng libulibong nakiramay, mula Amnesty sa London hanggang PEN International at United Nations, mga samahang inireklamo ang masahol at walang katarungang pagpaparusa sa taong walang sala kundi pag-alay ng kakayahan at talino sa ikabubuti ng bayan.	the poet was at the center; in the pressure and conflict "birds of prey" flocked... with no respect for the law, reason, human rights, the nation's scholar was jailed and abused - until the anger and protest of thousands of sympathizers ignited, from Amnesty in London up to PEN International and the United Nations, organizations complained of the cruel and unjust punishment on a person who has no other sin but offering his abilities and knowledge for the betterment of the nation.
<16>	Nagmamadali ang takbo ng globalisasyon, ngunit sadyang makupad ang andar ng makina ng hustisya sa ating bansa.	globalization is catching up, but the machinery of justice in our country is just too slow.
<17>	Pwede tayong maghintay bago arestohin ang sarili, siyasatin ang prehuwisyo’t haka-haka, bago tasahin at lasapin ang nakapaloob.	we can wait until we are arrested, examine the prejudiced rumors, before concluding and using what is within.
<18>	Itinatampok dito ang katotohanan ng danas ng isang tao sa piitan at sa iba’t ibang sitwasyon, bago makipagsapalaran sa Samar at laruin doon ng tadhana.	it features the real experience of one person in jail and in different situations, before going on an adventure in Samar and trying his luck there.
<19>	Testimonyong personal at pakikipagtalastasang tipikal kapwa ang naihulma dito.	personal testimony and typical discourse were both shaped here.
<20>	Tiyak na makakadaupang-palad natin ang manlilikha, ang protagonista, pati na ang kanyang kinakausap.	we will get to know the creator, the protagonist, as well as the person he is talking to.
<21>	Di na dapat magpalaboy pa, tuwiran nang sagupain at subuking alamin ang kariktan at gambala ng panitik.	there is no need to wander, directly attack and attempt to find out the beauty and effect of the style.
<22>	Ngunit may ilang habilin na baka makapagpatalas sa pag-unawa’t pagkilatis.	but there are some tips that may improve understanding and assessment.
