<1>	Palayain si Andrea Rosal at lahat ng bilanggong pulitikal!	free Andrea Rosal and all political prisoners!
<2>	Pangunahing lumalabag sa karapatang pantao na rehimeng BS Aquino, papanagutin!	leading violator of human rights which is the BS Aquino regime, will be held accountable!
<3>	Patnubay de Guia,National Democratic Front-Southern Tagalog	Patnubay de Guia, National Democratic Front - Southern Tagalog
<4>	May 24, 2014	May 24, 2014
<5>	Ipinaaabot ng National Democratic Front-Southern Tagalog (NDF-ST), kaisa ng rebolusyonaryong mamamayan sa rehiyon, ang taos-puso nitong pakikiramay kay Andrea Rosal at sa kanyang pamilya sa pagpanaw ng bagong silang nyang sanggol na si Diona Andrea.	the National Democratic Front - Southern Tagalog (NDF-ST), in unity with the revolutionary citizens of the region, sends the wholehearted condolence to Andrea Rosal and her family in the passing of the newborn infant who is
<6>	Sa gitna ng pagdadalamhati, mariing kinokondena ng NDF-ST ang iligal na detensyon at di-makataong pagtrato kay Andrea Rosal sa kamay ng rehimeng BS Aquino simula nang iligal itong arestuhin ng Intelligence Service of the Armed Forces of the Philippines (ISAFP) at National Bureau of Investigation (NBI) noong Marso.	in the midst of mourning, the NDF-ST emphatically condemns the illegal detention and inhumane treatment to Andrea Rosal in the hands of the BS Aquino regime since she was illegally arrested by the Intelligence Service of the Armed Forces of the Philippines (ISAFP) and National Bureau of Investigation (NBI) last March.
<7>	Hindi pa man isinisilang ay ipinagkait na ng reaksyunaryong rehimen kay Diona Andrea ang karapatan nitong maisilang nang malusog at matiwasay.	though not yet born, the reactionary regime has already denied from Diona Andrea the right to be born healthy and peaceful.
<8>	Walong-buwang nagdadalantao nang iligal na arestuhin, sapilitang dinala ang kanyang inang si Andrea sa ahensya ng National Bureau of Investigation (NBI) at nakaranas ng matinding interogasyon.	eight months pregnant when illegally arrested, her mother Andrea was forcibly taken to the agency of the National Bureau of Investigation (NBI) and experienced severe interrogation.
<9>	Nang magrehistro si Andrea ng matingding pananakit ng tiyan at dalhin sa klinika ng NBI, wala ni isang doktor na sumuri sa kanya at sa halip ay pinagsulat lamang sya ng pangalan at profile.	when Andrea registered a severe ache in her stomach and was brought to the clinic of NBI, there was not even one doctor who examined her and instead, she was only told to write her name and profile.
<10>	Ito ang ipinagmamalaki ng AFP na binigyan nila antemano ng karampatang atensyong medikal.	this is being prided by the AFP that they have given an attentive appropriate medical attention.
<11>	Nang ilipat sa Camp Bagong Diwa (CBD), nagpatuloy ang pasakit na dinanas ng maselang kundisyon ni Andrea.	when transferred to Camp Bagong Diwa (CBD), the torture experienced by the delicate condition of Andrea continues.
<12>	Walang pagsasaalang-alang sa kundisyon niya at isiniksik siya sa isang maliit at mainit na silid kasama ang 31 iba pang bilanggo, walang bentilasyon maliban sa isang maliit na bintana.	without consideration on her condition and she was just cramped in a small and hot room together with 31 other prisoners, no ventilation aside from a small window.
<13>	Hinayaan siya ng mga otoridad na matulog sa semento at maging ang mga kagamitan tulad ng banig, tubig at pagkain mula sa pamilya at kaibigan ay hindi pinahihintulutang makapasok o di kaya naman ay papatawan ng kung anu-ano pang pahirap bago maipasok sa piitan.	the authorities just let her sleep on the cement and even things like mat, water and food from her family and friends are not allowed to enter or else imposed with various difficulties before permitting to be entered to the prison cell.
