<1>	Ihalal sa konseho si Ding Santos sa Pasay	elect Ding Santos for councilor in Pasay
<2>	Posted by: Mario Alcala	posted by: Mario Alcala
<3>	on February 25, 2016	on February 25, 2016
<4>	in Opinion	in opinion
<5>	MULING binabalik-balikan ni retired police captain Ricardo “Ding-Taruc” Santos ang kanyang mga kaibigan, retired colleagues sa PNP at ang mga botante sa iba’t ibang barangay sa Pasay City partikular ang nasa may bahagi ng district 1.	retired police captain Ricardo "Ding-Taruc" Santos repeatedly goes back for his friends, retired colleagues in PNP and voters in different towns in Pasay city particularly those in the parts of district 1.
<6>	Inamin ni Santos na kulang siya sa fund resources pero ang pag-iikot niya o ang ‘house to house campaign’ ay makatutulong sa kanya nang malaki lalo’t papalapit na ang May 2016 elections.	Santos admitted that he is short in fund resources but his rounds or 'house to house campaign' will help greatly help him especially as the May 2016 elections slowly approaches.
<7>	“Ako naman ay ilang beses nang kumakandidato sa lungsod ng Pasay. Subukan naman nila akong ihalal na konsehal sa 1st district ng Pasay,” paliwanag ni Kuya Ding nang siya ay ma-interview natin kahapon.	"I have ran many times in the city of Pasay. they should try and elect me as councilor in the 1st district of Pasay," explained Brother Ding when he was interviewed yesterday.
<8>	Ayon kay Santos, nagdesisyon siyang kumandidatong konsehal sa paniniwala niyang muli siyang susuportahan ng mga botante sa Pasay sa darating na halalan.	according to Santos, he decided to run for council with the hope that he will be supported again by the voters of Pasay in the coming elections.
<9>	Si Santos ay nasa kampo ng Calixto Team 2016.	Santos is in the camp of Calixo team 2016.
<10>	Napag-alaman natin na sa kasalukuyan ay buong-buo ang Calixto Team 2016.	we have learned that Calixto team 2016 is completely whole as of the moment.
<11>	Walang kumakalas at nadaragdagan pa ang sumasama kay re-electionist Pasay City Mayor Tony Calixto.	no one is leaving and those who goes with re-electionist Pasay city Mayor Tony Calixto increases.
<12>	Cebu bagsakan ng basura ng Japan	Cebu dumpsite of Japan's garbage
<13>	NASAKSIHAN ko kung gaano karami ang pumapasadang second-hand na multicab sa iba’t ibang lugar sa Cebu City nang ako ay mag-travel sa naturang lalawigan.	I witnessed how many second-hand multi-cabs drive through the different places in Cebu city when I traveled in the said province.
<14>	Sa Cebu, madalang akong nakakita ng bus at ng mga pampasaherong jeep ‘di tulad sa Metro Manila.	in Cebu, I seldom see bus and transport jeepneys unlike Metro Manila.
<15>	He he he!!! Hindi yata tinatangkilik sa Central Visayas ang pampasaherong jeep, ang sasakyang gawa ng mga local manufacturers sa national capital region.	he he he!!! seems like transportation jeeps are not patronized in Central Visayas, the vehicle made by local manufacturers in the national capital region.
<16>	Iyan din ang napansin ko sa suburb ng Cebu at vice versa.	that is what I have also observed in the suburbs of Cebu and vice versa.
<17>	Kaya tiba-tiba ang importers, brokers, local dealers sa Cebu sa pagpaparating ng mga reconditioning na surplus na multicab na may brand na Zusuki at Daihatsu na matagal nang phaseout, naging basura sa bansang Japan.	that is why importers, brokers, local dealers in Cebu are earning a lot by bringing reconditioned surplus of multi-cabs with brands like Zusuki and Daihatsu that are long phased out and became garbage in Japan.
<18>	Ang side comment ng ilang nakausap kong driver, mas mura raw ang bentahan ng second-hand na multicab sa Cebu kung ikokompara sa brand new na pampasaherong jeep na nagkakahalaga mula sa P500,000.	side comments of the few drivers I talked to, second-hand multi-cabs is much cheaper if compared to a brand new transport jeep which costs starting from P500,000.
<19>	Padaplis lang po!	allow me to graze!
<20>	Matakaw na kapitan	greedy captain
<21>	ISANG kapitan daw sa Eastern Police District ang ubod nang takaw at malakas daw mambakal sa mga huli sa illegal na droga.	one captain in the Eastern Police District is allegedly very greedy and always takes the seized illegal drugs.
<22>	Mas lamang pa raw ang mga pinapakawalan kaysa kinakasuhan, ipinapakulong na suspects na nahuli sa paglabag sa 9165.	those who are released are much better off than whose who were charged, imprisoned suspects that were caught violating 9165.
<23>	Naku po!	my goodness!
<24>	Kung may katotohanan na palabigasan ni chief ang mga suspects na nahuhuli ng kanyang mga bata tungkol sa bawal na droga, baka ubod na nang yaman ng mama?	if there is truth that chief gets money from the suspects that were caught by his men regarding prohibited drugs, the man could possibly be filthy rich.
<25>	Iba’t ibang gimmick sa Titan Club	different gimmicks in titan club.
<26>	IBA’T iba raw ang gimmick sa Titan Club, isang nightclub na nasa Macapagal Boulevard, Pasay City.	they say there are different gimmicks in titan club, a nightclub located in Macapagal boulevard, Pasay city.
<27>	May gimmick sa stage, sa VIP room at ang tinatawag ng mga floor managers, bugaw na “oros” o barfine.	there's a gimmick on stage, in the VIP room and what the floor managers call, an "oros" pimp or bar fine.
<28>	Upang malito raw ang mga awtoridad, walang umaaktong general manager (GM) o officer-in charge (OIC) sa club na ang naka-front ay dalawang foreigner na sina Hero at Akiba.	to confuse the authorities, no one acts as general manager (gm) or officer-in-charge (oic) in the club who fronts two foreigners who are Hero and Akiba.
<29>	Dummy nila ang mga Filipino sa kanilang negosyong prosti.	they use Filipinos as dummies in their prostitution business.
<30>	Alam na alam nina Akiba at Hero kung ano ang mga gimmick sa TITAN Club.	Akiba and Hero knows very well what are the gimmicks in titan club.
<31>	Dapat itong alamin ng mga taga-NBI-IACAT, DOLE at DSWD.	the NBI-IACAT, DOLE and DSWS should investigate on this.
<32>	May follow up pa.	there's still a follow up.
<33>	GAMBLING TABLE SA PAMPANGA	gambling table in Pampanga
<34>	SA Barangay Dolores (intersection) at sa Barangay Maimpis sa San Fernando, Pampanga, largado pa rin ang pasugal na pa-color games at dropballs nina Boy Lim at Gordon.	in the town of Dolores (intersection) and in the town of Maimpis in San Fernando, Pamapanga, are still loaded with color-games and drop balls gambling by Boy Lim and Gordon.
<35>	Nasa limang mesa ang gambling tables.	the gambling tables has reached five tables.
<36>	Ang command ng PNP-Region 3 ay naka-based sa San Fernando City, Pampanga.	the command of PNP-region 3 is based in San Fernando City, Pampanga.
<37>	Wala kayang natatanaw na sugalan sa kalsada ang RD sa central Luzon?	are there no gambling sites sighted on the roads of RD in central Luzon?
