<1>	ENERO 2015: 700K MAMAMATAY SA 1.4M BIKTIMA NG EBOLA	January 2015: 700 thousand will die out of 1.4 million victims of Ebola
<2>	NAKAPANININDIG-BALAHIBO ang tantiya ng US Centers for Disease Control and Prevention ukol sa ebola virus disease.	the estimate of US Centers for Disease Control and Prevention on Ebola virus disease is terrifying.
<3>	Ayon sa USCDCP, lulundag sa 1.4-milyong katao ang magkakasakit ng ebola sa Enero 2015…kung hindi kikilos ang mundo nang todo laban dito.	according to USCDCP, the people who will get Ebola will jump to 1.4 million people this January, if the people will not take action against this.
<4>	At kung mangyari ngang aabot sa 1.4-milyon ang magiging biktima, anak ng tokwa, maaaring aabot din sa 700,000 ang mamamatay.	and if the victims will actually reach 1.4 million, it's possible that mortality will reach 700, 000.
<5>	Batay na rin ito, mga Bro, sa nangyayari na sa 8,399 na biktima habang tinitipa natin ito, umabot na sa 4,033 ang namatay.	brothers, this is based on the 8, 399 victims; while we're on this, mortality has reached 4,033.
<6>	Halos kalahati ang nadededbol.	almost half has died.
<7>	Sa totoo lang, sinisikmura tayo habang tinitipa natin ang sulating ito dahil na rin sa awa natin sa mga biktima at takot na rin na mapasok ang ating bansa ng nakamamatay na sakit.	honestly, we're in pain as we're typing this letter, also because of our sympathy to the victims and fear of the disease entering our country,
<8>	LUMULUNDAG ANG EBOLA	Ebola is leaping.
<9>	Lumulundag ang ebola sa iba’t ibang bansa.	Ebola is leaping to other countries.
<10>	Mula lamang sa mga bansang Liberia, Sierra Leone at Guinea nitong nakaraang Pebrero-Marso 2014, kumalat na ang sakit sa Nigeria at Senegal na pawang mga nasa Africa.	just from countries Liberia, Sierra Leone, and Guinea this February-March 2014, disease has spread to Nigeria and Senegal which are in Africa.
<11>	Lumundag na rin sa United States of America, Espanya, Brazil at Australia ang sakit.	disease has also leaped to United States of America, Brazil, and Australia.
<12>	Habang nagmamadali ang mga bansang ito, kasama na ang Canada at maraming bansa sa Europa, na pauwiin ang kanilang mga mamamayan sa Africa na sinasalakay ng sakit, tiyak na lalong kakalat ang sakit sa mundo.	while these countries are in a hurry, including Canada and many countries in Europe, to get their people home from Africa which is attacked by the disease, surely, the disease will spread around the world.
<13>	At diyan na magkandahawa-hawa ang lahat.	and from there, it will become contagious.
<14>	May namatay na sa USA habang dalawang misyonaryong paring Katoliko naman ang namatay na sa Espanya.	some already died in USA while two Catholic missionary priests have already died in Spain.
<15>	Namatay sina Fr. Miguel Pajares, galing sa Liberia at Fr. Manuel Garcia Viejo, galing sa Sierra Leone, sa isang ospital sa Madrid, Spain at habang nasawi si Thomas Eric Duncan, isang Liberian, sa isang ospital sa Texas, USA.	Father Miguel Pajares from Liberia and Father Manuel Garcia Viejo from Sierra Leone died in a hospital in Madrid, Spain while Thomas Eric Duncan, a Liberian, has died in a hospital in Texas, USA.
<16>	Namatay ang dalawang pari makaraang tumulong sa mga tinamaan ng sakit sa pinanggalingan nilang mga bansa habang tumakas lang sa ebola si Duncan ngunit inabot din ito ng pumapatay na sakit.	the two priests died after they helped those who were hit by the disease in the countries they came from; while Duncan escape the Ebola, the killer disease still caught him.
<17>	11,000 OFW May 4,000 overseas Filipino worker sa mga bansang Liberia, Sierra Leone at Guinea, kasama na ang mahigit na 100 sundalo at pulis na miyembro ng United Nations peacekeeping force sa Liberia, at may 7,000 sa Nigeria.	11,000 OFW there are 4,000 overseas Filipino workers in the countries Liberia, Sierra Leone, and Guinea, including more than 100 soldiers and police that are members of the United Nations peacekeeping force in Liberia and 7,000 in Nigeria.
<18>	Pero hindi lang simpleng OFW ang mga Pinoy sa nasabing mga bansa o asawa kaya ng mga Africano.	but the Filipinos in the said countries or husbands and wives of Africans are not just simple OFWs.
<19>	May mga doktor, pari, madre at iba pang kasama sa mga lumalaban sa ebola.	there are also doctors, priests, nuns, and others who fight against Ebola.
<20>	Paano ang balak na pagpapauwi ng ating gobyerno sa mga ito?	how about our government's plan to bring them home?
