<1>	TULOY ANG PDAF	PDAF continues
<2>	HINDI totoong nawala na ang pork barrel ng ating mga ulirang mambabatas dahil mas mukhang lumaki ito kumpara noong nakalipas na taon.	it was untrue how the pork barrel of our model legislators disappeared since it looks like it has increased compared to last year.
<3>	Malinaw sa nadiskubre ni Cong. Antonio Tinio ng partylist na Alliance of Concerned Teachers (ACT) na aabot sa P27-bilyon ang Priority Development Assistance Fund na itinago o inilagay sa 6 na ahensya ng pamahalaan.	it was clearly discovered by congressman Antonio Tinio of party-list Alliance of Concerned Teachers (ACT) that reaching P27-billion is the Priority Development Assistance Fund which was hidden or placed in the 6 agencies of the government.
<4>	Kitang-kita ring lumaki ang alokasyon ng PDAF sa infrastructure na inilagay sa DPWH na umaabot sa P18.4-bilyon dahil dito na lang kumukuha ng mahilab-hilab na SOP ang ating mga mambabatas.	it also shows the increased allocation of PDAF to infrastructure placed in DPWH reaching P18.4-billion because this is where the enlarged SOP of our legislators are taken.
<5>	Kung dati-rati ay sa NGO nakalagay ang bulto ng kanilang pondo mula sa pork barrel ay napilitan silang ilagay ito sa infra o pagawaing bayan dahil dito na lang sila nagkakaroon ng komisyon.	if previously the bulk of their funds from pork barrel are placed in NGO, they are forced to place it to infra or city work because this is only where they can have a commission.
<6>	Sa kasalukuyan kasing kalakaran ay ipinagbawal na ang pagbibigay ng pondo sa mga NGO dahil naging talamak dito ang korapsyon na naging sanhi pa nga ng pagkakakulong ng tatlong senador na sina Jinggoy Estrada, Juan Ponce Enrile at si Bong Revilla.	because in the current trend, giving funds to NGO is now prohibited due to the frequent corruption which caused the imprisonment of three of our senators namely Jinggoy Estrada, Juan Ponce Enrile, and Bong Revilla.
<7>	Ang kakulangan naman sa P27-bilyon ay inilagay o itinago ng Palasyo syempre sa pakikipagsabwatan ng mga mambabatas sa mga ahensyang kinabibilangan ng DSWD, CHED, DOLE, DOH at TESDA.	while the remainder from P27-billion was of course placed or hidden by the Palace from the conspiring legislators and agencies which includes the DSWD, CHED, DOLE, DOH, and TESDA.
<8>	Medyo mabibiyaaan na ang taumbayan sa bagong kalakaran dahil kung noo’y wala tayong nakikitang pagawaing bayan buhat sa ating mga mambabatas, lalo na ang mga senador, ay mukhang mayroon na tayong masisilayan dahil tinanggal na ang paglalagay ng pondo sa mga bogus na NGO na siyang ugat ng dambuhalang kurakutan sa lehislatura.	the people will somewhat be blessed from the new trend because if in the past we do not see city works made by our legislators, especially the senators, we might now see some because of the removal of placing funds to bogus NGO which was the root of the massive corruption in legislation.
<9>	Hindi pa rin sarado si Pangulong Noynoy sa paghahangad ng ikalawang termino.	President Noynoy is still not closing his desire for a second term.
<10>	Kapansin-pansin kasi sa mga pahayag nito sa media ngayong nasa abroad ito ang lahat ng indikasyon na hangad niya pang mag-stay sa Malakanyang nang matagal-tagal.	it is noticeable too from his statements to the media while presently abroad indicating his desire to continue staying at Malacañang for a while longer.
<11>	Sinabi nito ng kanyang mga boss na mag-stay siya sa Palasyo ay susundin niya ito at sisiw na lamang daw ang pag-aamyenda sa Saligang Batas ng bansa.	his bosses said that he stay at the Palace and he will follow it and it will be too easy to amend the Saligang Batas of the country.
<12>	Sana buhay pa sina Ninoy at Cory dahil kung nandirito pa ang dalawang matatanda na kanyang mga magulang ay tiyak na nadagukan siya nito para magising na mali ang kanyang mga pinaggagawa.	wishing that Ninoy and Cory were still alive because if the two elders, his parents, were here they would for sure get slapped awake for all the wrong that he is doing.
<13>	Sabi niya sa mga Pinoy sa abroad, kung gusto may paraan.	he said to Filipinos abroad, if there is a will, there is a way.
<14>	At walang puknat ang pagsasabi niyang patuloy siyang nakikinig sa kanyang mga ‘boss.’ ALINGAWNGAW/ALVIN FELICIANO	and he states without fail that he continues to listen to his 'bosses.' Alingawngaw/Alvin Feliciano
