<1>	Pagtuon ang Simula	focusing is the start
<2>	Anumang bagay na binibigyan natin ng atensiyon at ugali nang pagyamanin ang siyang may kapasiyahan sa ating mga pagkilos.	anything we pay with attention and make a habit of improving is the one that decides our actions.
<3>	Ang ating kaligayahan at kapighatian ay nakabatay sa kinagawiang ito.	our joy and grief are based on this habit.
<4>	Alinman sa dalawang ito ang piliin ay siyang magtatakda ng ating kapalaran.	whatever of these two is chosen will decide our fate.
<5>	Higit na mainam na magkaroon ng masayang kaisipan sa araw-araw.	it is much better to have a positive outlook every day.
<6>	Sanayin ang sarili na arugain at pagyamanin ang masayahing puso, panatilihin ang kasiglahan at maligayang pag-uugali, at ang iyong buhay ay walang hintong mga pagdiriwang at batbat ng kasaganaan.	teach yourself to care for and treasure a cheerful heart, maintain a bright and happy temperament, and your life is a non-stop celebration and full of prosperity.
<7>	Isang bagay lamang ang kailangang baguhin para sa atin; upang malaman at tamasahin ang kaligayahan sa ating buhay.	only one thing is needed to be changed in ourselves; to discover and enjoy happiness in our life.
<8>	Kung nasaan nakatuon ang ating atensiyon ito ang nagpapasaya sa atin.	what makes us happy is wherever our attention is focused on.
<9>	Dahil kung hindi ito, matagal na tayong huminto at ibinaling sa iba ang ating panahon.	because if not for it, we have long stopped and focused our time on others.
<10>	Hangga't patuloy tayo sa ating kinagawian o kinahumalingan, ito ang umaaliw at siya nating gagawin.	as long as we continue with our habits or likes, it is what entertains and what we do.
<11>	Ang kalagayan at pagkatao mo sa ngayon ay isang repleksiyon ng mga bagay na kinasanayan mo at patuloy na ginagawa.	your situation and personality now is a reflection of things you are accustomed to and continue to do.
<12>	Kung pagmamasdan mo ang iyong sarili sa salamin, at kikilatisin mong maigi ang taong nakaharap sa iyo; Ano ang mga pag-uugali mayroon ang taong ito?	if you observe yourself in the mirror, and examine deeply the person in front of you; what attitudes does this person have?
<13>	Nakakatulong ba o nakakapinsala?	are they helpful or destructive?
<14>	Solusyon ba o problema pa?	a solution or a problem?
<15>	Makasarili o may malasakit sa kapwa?	selfish or with concern for others?
<16>	Maligaya ba o malungkot?	happy or sad?
<17>	Ang mga kasagutan ay ikaw lamang ang nakakaalam.	only you know the answers.
<18>	Sapagkat anuman ang ginagawa mo sa ngayon; ito ang iyong mundo na nagpapagalaw sa iyo.	because whatever you are doing now; it is your world that makes you move.
<19>	Manatiling nakatuon sa lunggati upang magkaroon ng direksiyon ang iyong mga pagkilos.	remain focused on desires so your actions will have direction.
