<1>	ISPORT LANG!: Magandang pabaonBy Zaldy Perez	just sports! : a good send-off gift by Zaldy Perez
<2>	July 20, 2016 Maganda ang pabaon na ibinigay ni President Rod­rigo Duterte sa ating 2016 Rio Olympics-bound na mga atleta.	July 20, 2016 President Rodrigo Duterte gave a good send-off gift to our 2016 Rio Olympics-bound athletes.
<3>	Sa courtesy call ng pambansang atleta sa pangulo ng Malacañang kamakalawa, sinorpresa sila ni President Duterte nang ihayag na ang dating US$1,000 allowance nila ay gagawing $3,000.	in the courtesy call of the national athletes to the president in Malacañang two days ago, President Duterte surprised them by announcing that their former allowance of US$1,000 will become $3,000.
<4>	Pati nga ang mga opisyal ay nadamay din dahil mula sa $3,000 ay magiging $5,000 na ang kanilang allowance.	even officials were included because from $3,000 their allowance became $5,000.
<5>	Pero, sana binaliktad na lamang ni Pangulong Digong na $5,000 sa mga atleta at tinutuo niya ang biro na mayaman naman ang mga opisyal kaya P500 pesos na lamang sila.	but, wish President Duterte just switched it around so that athletes got $5,000 and he made real the joke that officials are rich so they only get P500 peso.
<6>	Gayunpaman, dahil sa ginawa ni Pangulong Digong, nagkaroon tuloy ng dagdag-inspirasyon ang mga atleta sa kanilang paglahok sa Olympics.	still, because of what President Digong did, the athletes had additional inspiration for their participation in the Olympics.
<7>	Sa 12 atleta na sasabak sa Olympics na sisimulan sa Aug.	in the 12 athletes that will participate in the Olympics that will start on August
<8>	5 at matatapos sa Aug. 21 ay anim lamang ang nakarating sa send off.	5 and end on August 21 only six were able to come to the send off.
<9>	Nakakatuwa na nasa isip din pala ng pangulo ng bansa ang kapakanan ng mga atleta.	it is gladdening that the president of the country also has the welfare of athletes in mind.
<10>	Inihayag din niya na susuportahan niya ang training ng mga national athletes at ang perang gagamitin ng kanyang administrasyon ay ang makoko­lekta mula sa mga tax evaders.	he also announced that he will support the training of national athletes and the money his administration will use will be the collection from tax evaders.
<11>	Pero mas maganda siguro kung isasama na lamang ni Pangulong Duterte sa 2017 national budget ang pondo na ipangsu-suporta sa ating mga pambansang atleta.	but it is probably better if President Duterte will just include the funds for supporting our national athletes into the 2017 national budget.
<12>	Sa pamamagitan nito, taun-taon ay nakakasiguro na ang mga national athletes ng pondo mula sa ating pamahalaan.	through this, our national athletes will be ensured of funds from our government every year.
