<1>	Linggo, Marso 18, 2012	Sunday, March 18, 2012
<2>	Ang Komyun ng Paris - Unang Gobyerno ng Manggagawa	the Paris Commune - first government of laborers
<3>	Komyun ng Paris (Marso 18 - Mayo 21, 1871)	Paris Commune (March 18 - May 21, 1871)
<4>	UNANG GOBYERNO NG URING MANGGAGAWA	first government of the working class
<5>	ni Greg Bituin Jr.	by Greg Bituin Junior
<6>	Dalawang buwan lamang ang itinagal ng Komyun ng Paris, ang itinuturing na unang gobyernong pinamahalaan ng mga manggagawa, ngunit ang kasaysayan nito'y hindi matatawaran.	the Paris Commune lasted only two months, considered as the first government managed by laborers, but its history is priceless.
<7>	Sa loob ng dalawang buwang iyon na pinangunahan ng mga manggagawang kababaihan ng Paris, pinamahalaan ng mga manggagawa ang bagong anyo ng lipunan, ang lipunan ng uring manggagawa.	within those two months led by the female laborers of Paris, laborers governed a new form of society, the society of the working class.
<8>	Ngunit nakabalik ang pwersa ng burgesya, at tatlumpung libong (30,000) manggagawa ang minasaker ng tropa ng gobyernong pinamamahalaan ni Adolpe Thiers.	but the force of the bourgeoisie was able to return, and thirty thousand (30,000) laborers were massacred by government troops led by Adolphe Thiers.
<9>	Nagbubo ng dugo ang mga manggagawa ng Paris ngunit ang kanilang ginawa'y nagmarka na sa kasaysayan ng uring manggagawa sa daigdig.	the laborers of Paris shed blood but what they did left a mark on the history of the working class in the world.
<10>	Sa akdang The Civil War in France (1871) ni Karl Marx, kanyang isinulat na ang Komyun ng Paris ang “the finally discovered political form under which the economic emancipation of labor could take place” (nadiskubre na ang isang pormang pulitikal kung saan ang pang-ekonomyang kaligtasan ng paggawa ay maaari nang maganap.)	in the piece The Civil War in France (1871) by Karl Marx, he wrote that the Paris Commune was "the finally discovered political form under which the economic emancipation of labor could take place" (the finally discovered political form under which the economic emancipation of labor could take place).
<11>	Kalagayan ng Pransya bago ang Komyun ng Paris	state of France before the Paris Commune
<12>	Nasa gitna ng digmaan ang Pransya laban sa bansang Prussia (na Germany ngayon) na pinamumunuan ni Otto von Bismarck.	France was in the middle of war against the country Prussia (Germany today) led by Otto von Bismarck.
<13>	Ang digmaang ito, na kilalang Franco- Prussian war ng 1870-71, ay digmaan sa pagitan ng Ikalawang Imperyong Pranses at ng Kaharian ng Prussia.	this war, known as the Franco-Prussian War of 1870-71, was a war between the Second French Empire and the Kingdom of Prussia.
<14>	Nasakop na ng Prussian Army ang Paris, ngunit hindi nakipagmabutihan ang mga manggagawa ng Paris sa mga sundalo ng Prusya.	the Prussian army had invaded Paris, but the laborers of Paris were not in good terms with the soldiers of Prussia.
<15>	Bumagsak ang Paris sa kamay ng Prussian Army noong Enero 28, 1871.	Paris fell into the hands of the Prussian army on January 28, 1871.
<16>	Nagkaroon ng halalan sa Pransya noong Pebrero 8, 1871, na di alam ng mayorya ng populasyon; Pebrero 12 nang maitayo ang bagong Pambansang Asambleya; Pebrero 16 nahalal si Adolphe Thiers bilang punong ehekutibo ng Pransya; Pebrero 26 nang nilagdaan sa Versailles nina Thiers at Jules Favre ng Pransya, at ni Otto von Bismarck ng Germany, ang isang preliminary peace treaty sa pagitan ng France at Germany.	an election was held in France on February 8, 1871, which the majority of the population were not aware of; February 12 was when the new national assembly was established; on February 16 Adolphe Thiers was elected as the chief executive of France; February 26 was when Thiers and Jules Favre of France, and Otto von Bismarck of Germany, signed a preliminary peace treaty between France and Germany.
<17>	Isinuko ng France ang Alsace at East Lorraine sa Germany, at nagbayad sila ng bayad- pinsalang nagkakahalaga ng 5Bilyong Francs.	France surrendered Alsace and East Lorraine to Germany, and they paid damages worth 5 billion francs.
<18>	Unti-unting aalis ang German army pag naibigay na ang kinakailangang bayad-pinsala.	the German army will gradually leave when their necessary damages are paid.
<19>	Mayo 10, 1871 nang nilagdaan ang final peace treaty sa Frankfort-on-Main.	it was May 10, 1871 when the final peace treaty was signed in Frankfort-on-Main.
<20>	Noong Marso 1871, kumalas na sa pamumuno ni Thiers ang Pambansang Gwardya at sumama na sa mga manggagawa ng Paris, at itinayo ang isang Komite Sentral.	on March 1871, the national guard broke ties with the leadership of Thiers and joined the laborers of Paris, and set up a central committee.
<21>	Inilagay naman ni Thiers kanyang pamahalaan sa Versailles noong Marso 20.	Thiers meanwhile placed his government in Versailles on March 20.
<22>	Ang Komyun ng Paris	the Paris Commune
<23>	Noong Marso 18, 1871, sa permiso ng Prussia, pinadala ni Thiers ang hukbong Pranses upang kumpiskahin ang mga nagkalat na armas sa Paris na hawak ng mga manggagawa upang tiyaking hindi na lalaban ang mga manggagawa ng Paris sa hukbo ng Prusya.	on March 18, 1871, with permission of Prussia, Thiers sent the French army to confiscate the weapons that had spread in Paris at the hands of the laborers to ensure that the laborers of Paris will not fight against the army of Prussia.
<24>	Balak dalhin ni Theirs ang mga makukumpiskang armas sa Versailles.	Theirs planned to bring back the confiscated weaponry to Versailles.
<25>	Ngunit tinanggihan ito ng mga manggagawa.	but the laborers refused it.
<26>	Pagdating pa lang ng umaga, hinarangan na ng mga manggagawang kababaihan ang pagdating ng hukbong Pranses na inatasan ni Thiers na nagtangkang kumpiskahin ang mga kanyon at iba pang armas.	by the break of dawn, female laborers had blocked the arrival of the French army ordered by Thiers who attempted to confiscate the cannons and other weapons.
<27>	Hanggang sa magdatingan na ang taumbayan at pinalayas ang hukbong Pranses.	until the people arrived and drove out the French army.
<28>	Kahit na inatasan ni Thiers, di sumunod ang mga sundalo sa atas nitong pagbabarilin ang mga tao.	even if ordered by Thiers, the soldiers didn't follow his instruction to shoot the people.
<29>	Sina Heneral Claude Martin Lecomte at Heneral Jacques Leonard Clement Thomas ay pinaslang ng kanilang sariling mga tauhan.	General Claude Martin Lecomte and General Jacques Leonard Clement Thomas were killed by their own subordinates.
<30>	Apat na ulit inatas ng araw na iyon ni Heneral Lecomte na pagbabarilin ang mga tao, at pinakita naman ni Heneral Thomas ang kanyang brutalidad at pagkareaksyunaryo, at nahuli pa siyang nag-eespiya sa barikadang itinirik ng mga tao.	on that day General Lecomte ordered four times to shoot the people, and General Thomas displayed his brutality and conservatism, and he was even caught spying on the barricades erected by the people.
<31>	Nag-alisan na rin ang maraming tropang sundalo habang may ilang natira sa Paris.	many troops of soldiers also left while some remained in Paris.
<32>	Dahil dito'y nagalit si Thiers, at nagsimula na ang Digmaang Sibil sa Pransya.	because of this Thiers was enraged, and civil war started in France.
<33>	Nang sumunod na araw, Marso 19, 1871, nagising ang mamamayan ng Paris sa kanilang kalayaan, at masaya nilang tinanggap ang natamong kalayaan.	on the next day, March 19, 1871, the citizens of Paris woke up to their freedom, and they happily accepted the attained freedom.
<34>	Ang tanging namamahala na rito ay ang Komite Sentral ng Pambansang Gwardya, na binubuo ng mga matatapat na tao, na hindi mga pulitiko, at ng mga manggagawa ng Paris.	the only ones governing here are the central committee of the national guard, composed of honest people, not politicians, and the laborers of Paris.
<35>	Marso 23, 1871, nagpahayag ang International Workingmen’s Association at Federal Council of Parisian Sections ng pagkakaisa at panawagang magkaroon ng halalan sa Marso 26, habang ipinapana-wagan ang ganap na paglaya ng mga manggagawa, at matiyak ang ganap na halaga ng kanilang lakas-paggawa.	March 23, 1871, the International Workingmen's Association and Federal Council of Parisian Sections declared unity and the appeal to have an election on March 26, while calling for the absolute release of the laborers, and ensure the true worth of their workforce.
<36>	Tinawag nila ang Komyun ng Paris na isang Rebolusyong Komyunal.	they called the Paris Commune a communal revolution.
<37>	Noong Marso 26, 1871, inihalal ng mamamayan ng Paris ang konsehong tinawag na nilang Komyun ng Paris, na binubuo ng mga manggagawa, kasama ang mga kasapi ng Unang Internasyunal.	on March 26, 1871, the citizens of Paris elected a council they called the Paris Commune, consisting of laborers, including the members of the First International.
<38>	Ipinroklama ang Komyun ng Paris noong Marso 28, 1871, kaya umani ang mga manggagawa ng Paris ng mabilis at malawak na suporta sa buong Pransya.	the Paris Commune was proclaimed on March 28, 1871, so the laborers of Paris gained quick and widespread support from the whole of France.
<39>	Direktang kalahok sa pag-aalsang manggagawa ang mga lider ng internasyunal na kilusang manggagawa.	directly involved in the laborer revolution were the leaders of the international movement of laborers.
<40>	Sa araw ding iyon ay umalis na sa pwesto ang Komite Sentral ng Pambansang Gwardya nang isinabatas nito ang paglalansag sa "Morality Police".	on that day as well the central committee of the National Guard resigned when they enacted the dissolution of the "Morality Police".
<41>	Marso 30 nang nilansag ng Komyun ang sapilitang pagpapalingkod sa hukbo at ang mismong hukbo; ang tanging armadong hukbo lamang ay ang Pambansang Gwardya.	March 30 was when the commune removed the compulsory service to the army and the army itself; the only armed troop was the National Guard.
<42>	Kinumpirma na rin ang pagkakahalal sa Komyun ng mga dayuhan, dahil "ang bandila ng Komyun ang bandila ng Daigdigang Republika".	the election of foreigners to the commune was also confirmed, because "the flag of the commune is the flag of the global republic".
<43>	Idineklara naman noong Abril 1 na lahat ng kasapi ng Komyun ay tatanggap lamang ng kaparehong sweldo ng manggagawa, maging ito'y nasa pamahalaan o karaniwang manggagawa.	on April 1 it was declared that all the members of the commune will receive just the same wages as the laborers, whether he is in the government or an ordinary worker.
<44>	Ipinahayag din ng Komyun ang paghihiwalay ng simbahan at ng gobyerno, at ang pagpawi ng lahat ng kabayaran ng gobyerno para sa layuning pangrelihiyon, pati na ang transpormasyon ng lahat ng pag-aari ng simbahan upang gawing pambansang pag-aari.	the Commune also declared the separation of the church and the state, and the elimination of all payments of the government for religious purposes, as well as the transformation of all church properties into public properties.
<45>	Idineklara ang relihiyon bilang pribadong bagay na lamang.	religion was declared as a private matter only.
<46>	Nagsagawa rin ang Komyun ng isang kautusan upang di barilin ng gobyernong Pranses ang mga kasapi ng Komyun.	the Commune also carried out an order so the French government will not shoot the members of the Commune.
<47>	Sa kautusang ito, lahat ng mga taong mapapatunayang nakikipag-ugnayan sa gobyernong Pranses ay ituturing na bihag o hostages.	in this order, all the people proven to liaise with the French government are considered hostages or hostages.
<48>	Ngunit di ito naisagawa.	but it was not carried out.
<49>	Isang guillotine, o pamarusahang pamugot ng ulo ng nasentensyahan ng kamatayan, ang inilabas ng ika-137 batalyon ng Pambansang Gwardya, at sinunog sa harap ng taumbayan, na ikinasiya ng marami.	a guillotine, or punishment to behead the sentenced with death, was released by the 137th battalion of the National Guard, and burned in front of the people, which pleased many.
<50>	Isa pang kautusang ipinatupad ng Komyun ang pagtanggal sa lahat ng paaralan ng lahat ng simbolong relihiyoso, litrato, dogma, dasal, at "lahat ng nasa ispero ng indibidwal na budhi".	one more order implemented by the Commune was the removal in all schools of all religious symbols, pictures, dogma, prayer, and "everything within the sphere of individual conscience".
<51>	Agad itong ipinatupad.	it was immediately implemented.
<52>	Upang madurog ang Komyun, nagpasaklolo si Thiers kay Bismark upang gamitin sa Versailles Army ang mga binihag na hukbong Pranses na sumuko sa Sedan at Metz.	to crush the Commune, Thiers asked helped from Bismark to use in the Versailles Army the captured French troops who surrendered in Sedan and Metz.
<53>	Kapalit ng 5Bilyong Francs na bayad-pinsala, sumang-ayon si Bismarck.	in exchange for 5 billion francs as damages, Bismarck agreed.
<54>	Kaya nilusob na ng hukbo ni Thiers ang Paris.	so the army of Thiers already attacked Paris.
<55>	Umatras ang mga umatakeng tropa ni Thiers sa katimugang Paris nang malagasan sila ng maraming tauhan.	the attacking troop of Thiers withdrew in southern Paris when they lost many men.
<56>	Abril 16, ipinahayag ng Komyun ang pagpapaliban sa lahat ng utang sa loob ng tatlong taon at pagpawi ng interes sa mga ito.	April 16, the Commune announced the suspension of all debts within three years and the eradication of their interests.
<57>	Nag-atas din ang Komyun ng pagtatala ng lahat ng mga pabrikang isinara ng mga kapitalista at nagsagawa sila ng plano kung paano ito patatakbuhin ng mga manggagawang dating nagtatrabaho sa mga ito, na kanilang oorganisahin sa mga kooperatibang samahan, at planong pag-oorganisa ng lahat ng kooperatibang ito sa iisang unyon.	the Commune also ordered the registration of all factories shut down by capitalists and they carried out a plan on how the laborers who formerly worked there can run it, that they will organize into cooperative associations, and planned organization of all those cooperatives into a single union.
<58>	Tinanggal ng Komyun ang panggabing trabaho ng mga panadero, pati na mga registration card ng manggagawa, na inisyu ng Ikalawang Imperyo.	the Commune removed all evening jobs for bakers, even the registration cards of laborers, which were issued by the Second Empire.
<59>	Itinatag ng Komyun ang walong-oras ng trabaho bawat araw.	the Commune established the eight-hour shift every day.
<60>	Binuksan nila ang mga nakasarang pabrika, nagsagawa ng bagong patakaran sa pasahod at kontrata, at nagtayo ng konseho ng manggagawa sa mga pabrika.	they opened closed factories, carried out new procedures on wages and contracts, and set up a council of factory workers.
<61>	Binigyan ng tamang pasahod ang mga manggagawang delikado ang trabaho.	laborers with dangerous jobs were given the right pay.
<62>	Tinanggal ang mga multa sa manggagawa na nagkakamali.	fines on laborers who committed mistakes were removed.
<63>	Abril 30, inatas ng Komyun ang pagsasara ng mga sanglaan (pawnshops) sa batayang ang mga ito'y pribadong pagsasamantala sa paggawa, na balintuna sa karapatan ng mga manggagawa sa kanilang kasangkapan sa paggawa.	April 30, the Commune ordered the shutdown of pawnshops (pawnshops) on the basis that they're private abuse of labor, against the rights of laborers to their own tools for work.
<64>	Mayo 10, 1871, nilagdaan ang Treaty of Frankfurt, isang tratadong pangkapayapaan bilang pagwawakas ng Franco-Prussian War.	May 10, 1871, the Treaty of Frankfurt was signed, a peace treaty for the ending of the Franco-Prussian War.
<65>	Mayo 17, 1871 ng gabi, ipinatawag ang pulong ng Central Committee of the Union of Women, upang organisahin ang mga delegadong dadalo sa pagtatayo ng isang “federal chamber of workingwomen”.	May 17, 1871 evening, a meeting of the Central Committee of the Union of Women was called, to organize the delegates attending the establishment of a "federal chamber of workingwomen".
<66>	Pagkadurog ng Komyun	destruction of the Commune
<67>	Mayo 21, 1871, nakapasok ang tropa ng Versailles sa Paris.	May 21, 1871, the troop of Versailles was able to enter Paris.
<68>	Ginugol ng French army ang walong araw hanggang Mayo 28 sa pagmasaker sa mga manggagawa, pinagbabaril ang mga sibilyang makita.	the French army spent eight days until May 28 on the massacre of laborers, shooting civilians they see.
<69>	Ang operasyong iyon ay pinangunahan ni Marchal MacMahon, na sa kalaunan ay naging pangulo ng Pransya.	that operation was led by Marchal MacMahon, who eventually became the president of France.
<70>	Tatlumpung librong Communards, manggagawa at mga walang armas na sibilyan at mga bata ang pinagpapatay; 38,000 ang ibinilanggo, at 7,000 ang sapilitang ipinatapon sa ibang bansa.	thirty Communard books, laborers and unarmed civilians and children were killed; 38,000 were imprisoned, and 7,000 were forcibly deported to other countries.
<71>	Saan nga ba nagkulang ang mga lumahok sa Komyun ng Paris?	where did those involved in the Paris Commune fall short?
<72>	Bakit ito nadurog sa loob ng dalawang buwan lamang?	why was it crushed within only two months?
<73>	Maraming mga ibinigay na rason ang mga nakasaksi noon.	the witnesses back then gave many reasons.
<74>	Una, may kakulangan sa paghahanda ang mga manggagawa upang depensahan ang Komyun kung sakaling magkaroon ng paglusob sa lungsod, bagamat may ilang mga barikadang naitayo.	first, there was inadequacy in the preparation of the laborers to defend the Commune in case there was an attack within the city, despite a few barricades set up.
<75>	Ikalawa, mas inuna nito ang pagtatatag ng mas maayos na hustisya sa buong Paris, imbes na durugin muna ang mga kaaway nito, lalo na ang tropa ni Thiers, upang di na muling makabalik sa kapangyarihan.	second, it prioritized the establishment of a better justice system in the whole of Paris, instead of crushing its enemies, especially the troop of Thiers, so that they could not return to power.
<76>	Dapat ay naglunsad na sila ng opensiba laban sa hukbo ni Thiers na nasa Versailles upang di na ito magkaroon pa ng panahong makabawi.	they should have also launched an offensive against the army of Thiers in Versailles so it would not have time to recover.
<77>	Ayon kay Marx, "Ang Komyun ng Paris, sa esensya, ay isang gobyerno ng uring manggagawa.	according to Marx, "the Paris Commune, in essence, is a government of the working class.
<78>	Ang hukbo ng gobyerno ay pinalitan ng armadong mamamayan, ang kapangyarihan ng lehislatibo at ehekutibo ay hinawakan ng mga kinatawan ng manggagawa, na hinalal, may pananagutan at maaaring tanggalin anumang oras, at ang sahod para sa lahat ng opisyal na gawain sa pamahalaan ay kapantay ng sahod ng karaniwang manggagawa."	the army of the government was replaced by armed citizens, the power of the legislative and executive were held by representatives of laborers, who were elected, had responsibility and may decline any time, and the wages for all official government activity was equal to the wages of the ordinary laborer."
<79>	Para kay Lenin, hindi nasyunalismo kundi internasyunalismo ang ipinakita ng Komyun ng Paris.	for Lenin, it was not nationalism but internationalism shown by the Paris Commune.
<80>	Ani Lenin, mahalaga ang paghihiwalay ng kaisipang nasyunalismo sa uring manggagawa: "Hayaan nyo ang burgesya sa pananagutan nito sa pambansang humilyasyon - ang tungkulin ng manggagawa ay pakikibaka para sa sosyalistang paglaya ng paggawa."	according to Lenin, the separation of the nationalist mentality is important in the working class: "leave the bourgeoisie to their responsibility of national humiliation - the role of the laborer is to fight for the socialist freedom of the laborer."
<81>	Idinagdag pa ni Lenin, "Ispontanyo ang pagkakatatag ng Komyun.	Lenin further added, "the establishment of the Commune was spontaneous.
<82>	Noong una, ito'y isang kilusang may kalituhan.	at first, it was a movement in confusion.
<83>	Ngunit nagkahiwa-hiwalay na ang mga uri sa takbo ng mga pangyayari.	but the classes separated amidst the events.
<84>	At tanging mga manggagawa lamang ang nanatiling matapat sa Komyun hanggang sa huli."	and only the laborers stayed loyal to the Commune until the end."
<85>	Mga Tampok na Isinagawa ng Komyun	features of the Commune
<86>	Ang Komyun ng Paris, bagamat sa loob lamang ng Pransya, ay hindi isang makabayang pakikibaka.	the Paris Commune, despite only within France, was not a patriotic protest.
<87>	Ito'y isang makauring pakikibaka ng manggagawa laban sa burgesya, laban sa kapitalismo, laban sa kapital.	it was a classist protest of laborers against the bourgeoisie, against capitalism, against the capital.
<88>	Ang Komyun ng Paris ay isang makasaysayang paglaban ng mga manggagawa ng Paris, isang pagsulong tungo sa pandaigdigang rebolusyon ng manggagawa, isang pagtatangkang wasakin ang burgis na makinarya ng gobyerno, at ito rin ang siyang dapat pumalit sa makinarya ng estado.	the Paris Commune was a historic fight by the laborers of Paris, a movement towards the worldwide revolution of laborers, an attempt to destroy the bourgeois that is the machinery of the government, and it should also replace the machinery of the state.
