<1>	LEYTE, KAILANGAN ANG TULONG NG NATIONAL GOVERNMENT	Leyte needs the help of the national government
<2>	HALOS limang buwan na ang nakalilipas magmula nang manalasa ang super bagyong si Yolanda sa Visayas region kung saan ay napuruhan nang husto ang Leyte, partikular na ang Tacloban City.	almost five months have passed since the super typhoon Yolanda destructed the Visayas Region where Leyte, particularly, Tacloban City is severely hit.
<3>	Sa rami ng mga nakausap ko ay wala ni isa man lang sa kanila ang nagsabing nabigyan sila ng tulong ng national government.	despite the number of people I talked to, not one of them said that the national government gave them aid.
<4>	Maging sa kanilang kuryente ay kailangang magbigay muna sila ng pera sa LEYECO bago sila makabitan ng kuryente.	even for their electricity, they still need to give money to LEYECO before the electricity will be connected for them.
<5>	Ang katwiran ng LEYECO, hindi raw kaya ng kanilang mga tao na kabitan ng kuryente ang buong Leyte kaya ang mga residente ang kailangang magpasan ng pambayad para sa kanilang kukuning kontraktor na magkakabit ng mga wire sa bawat bahay.	the justification of LEYECO, their staff does not have an ability to connect electricity to the whole Leyte so the residents have to carry the payment for the contractor that they are going to get to connect the wires to each house.
<6>	Grabe naman ang gobyernong ito.	this government is too much.
<7>	Ang laki ng tinanggap na mga donasyon mula sa iba’t ibang bansa sa buong mundo, pati ba naman pambayad sa mga kotraktor na magkakabit ng mga wire sa mga bahay-bahay ay kailangang iasa pa rin sa mga Yolanda survivors?	a huge donation is received from the different countries in the whole world, even the payment for the contractors to connect the wires to houses is needed to be depended on the Yolanda survivors?
<8>	Sa halos dalawang linggo akong nagpabalik-balik sa Tacloban at Ormoc City, halos iisa lang ang sinasabi ng mga tao, ang sana’y matulungan sila ng ating gobyerno.	in almost two weeks that I have been going back and forth to Tacloban and Ormoc City, the people are saying of almost one thing, hope they will be aided by our government.
<9>	Gustong-gusto nang bumangon at makaahon ng mga taga-Leyte pero papaano nila ito magagawa kung hindi sila tutulungan ng national government?	the residents of Leyte really want to rise and get up but how can they do this if they are not going to be helped by the national government?
<10>	Maging sa relief goods ay sinasabi rin ng ating mga nakausap na wala pa silang natatanggap na relief goods galing sa DSWD ni Sec. Dinky Soliman.	even with the relief goods, those whom we have talked to said that they have not been receiving any relief goods from the DSWD of Secretary Dinky Soliman.
<11>	Ayuda lang galing sa local government at sa mga dayuhang bansa.	only aide from the local government and foreign countries.
<12>	Ilang taga-Ormoc City ang nagsabing mga expired at bulok na raw ang relief goods na nakatambak sa isang warehouse sa Ormoc pero ayaw raw itong ipamigay sa hindi malamang kadahilanan.	some of the residents of Ormoc City said that the relief goods dumped in a warehouse in Ormoc are expired and rotten but would not like to distribute it for an unknown reason.
<13>	Saan na nga ba napunta ang bilyon-bilyong foreign aid na ipinagkaloob sa ating gobyerno noong kasagsagan ng bagyong Yolanda?	where did the billions of foreign aide granted to our government in the midst of the typhoon Yolanda have gone?
<14>	Ilan kaya sa mga taong gobyerno ang nakinabang at patuloy pang nakikinabang dito, at sino-sino kaya ang mga animal na ito?	how many of the people in the government have benefited and continuously benefitting here, and who are these animals?
<15>	Sa ngayon, puwede n’yo pang itago ‘yang mga ginagawa n’yo pero sa 2016 kaya, makalulusot pa kaya kayo kung iba na ang nakaupo?	for now, you can still hide what you are doing but on 2016, can you still pass through if someone different sits in?
<16>	Parang nakikinita ko na maraming makukulong pagkatapos ng national election sa 2016.	seems I can see now that many are going to jail after the national election in 2016.
<17>	Tablan naman kayo, mahiya kayo sa mga sarili n’yo.	let yourselves be hit, have shame on yourselves.
<18>	Ang perang hindi sa inyo ay huwag ninyong pakialamanan at huwag ninyong pag-iinteresan.	do not meddle with the money which is not for you and do not take interest in it.
<19>	Matakot kayo sa KARMA, alalahanin n’yo na kasimbilis ng hangin ng bagyong Yolanda kung dumating ngayon ang KARMA.	be afraid in karma, remember that karma now arrives as quick as the winds of typhoon Yolanda.
<20>	Sige, kayo rin.	oh, for your sake.
