<1>	SIKRETONG BOTOHAN PARA SA BBL, BANTAYAN	secret voting for BBL, guard
<2>	IPINAGPALIBAN ng Ad Hoc Committee ng Kamara ang botohan sa pag-apruba o hindi sa panukalang batas na Bangsamoro Basic Law o sa mga kontrobersiyal lamang na partes nito.	the Ad Hoc Committee of the Congress postponed the voting to approve or not the bill Bangsamoro Basic Law or only the controversial parts of it.
<3>	Sa ating pag-unawa, kung mga partes na lang ang pagbobotohan, pasado na ang BBL?	in our understanding, if only parts of it will be voted on, BBL is already passed?
<4>	Pero may dagdag pang kontrobersiya rito: Ang panukala ng ilang kongresman sa komite na gawing sikreto o executive session ang botohan.	but there added controversies: the proposal of some congressmen in the committee to make the voting a secret or an executive session.
<5>	Kinontra naman ito ng ilan kaya mananatiling bukas ang botohan sa media at mamamayan.	some opposed it so the voting will remain open to the media and the public.
<6>	Ano ba talaga ang magaganap sa susunod na Mayo 18-20 na araw ng botohan?	what will really happen on May 18-20, the election days?
<7>	MAY MALABO	something's unclear
<8>	Rason ng ibang kongresman, may malalabong usapin sa panukala kaya may kahilingan na mabigyan sila ng pagkakataon para marebisa o mapag-aralan ng husto ang mga ito.	the reason of some congressmen, the bill has unclear provisions so they requested to give them a chance to revise or carefully study these.
<9>	At sa tamang pagkakataon, mailalatag at maipapasok nila ang mga karampatang pagbabago.	and at the right opportunity, they can set and insert the needed changes.
<10>	Kung anoman ang mga iyon, hindi pa malinaw sa atin.	whatever those are, they are unclear to us.
<11>	Pero ang pagkakataong ito’y panahon din ng kampanya para makumbinse ang nakararami o lahat ng miyembro ng komite na bumoto.	but this opportunity is also a time to campaign to convince the majority or all members of the committee to vote.
<12>	May kapalit bang pakinabang sa mga kongresman na boboto ang impeachment style ni ex-Chief Justice Renato Corona?	is there a benefit to the congressmen who will vote impeachment style of former Chief Justice Renato Corona?
<13>	At ang mga nagsusulong ng executive session ay bahagi na ng sistemang pera-pera ang botohan na siyang mananaig sa huli?	and those who push for the executive session are part of the money system of voting that will prevail in the end?
<14>	Anak ng tokwa, pati ba naman Saligang Batas at kapakanan ng buong bayan ay ginagawang moro-moro o kristiyano-kristiyanuhan dahil sa pera?	son of a gun, even the Constitution and the welfare of the whole nation are being turned into an act of comedy or a masquerade because of money?
<15>	SINO SILA?	who are they?
<16>	Dapat na ilantad nang husto ng komite ang mga nagsusulong ng executive session at ang mga miyembro ng komite na payag dito.	the committee should expose those who are pushing for an executive session and the members of the committee amenable to it.
<17>	Ito’y para makilatis sila ng sambayanan at malaman ng mga mamamayan ang kanilang gagawin sa mga susunod na panahon, gaya ng halalang 2016.	this is for the people to scrutinize and know what they will do in the coming years like the 2016 election.
<18>	Dapat ding malantad ang ibang mga kamay na nagtutulak para sa sikretong botohan, halimbawa, kung kamay ng Malakanyang o mga dayuhan.	other hands that are pushing for a secret election should also be exposed, if it's the hand of Malacanang or foreigners, for instance.
<19>	Alalahanin na may halong maramihang patayan at kwestyon sa paghihiwalay o hindi sa Pilipinas ng sakop ng BBL na mga teritoryo ang pag-apruba o hindi sa BBL o mga partes nito.	remember that there are many deaths and questions on the separation or not from the Philippines of territories covered by BBL for approval or not of BBL or parts of it.
<20>	REBELDE	rebels
<21>	Walang palatandaan na lumambot na ang Moro Islamic Liberation Front sa paninindigan nitong isa pa rin itong “rebelde o rebolusyonaryong grupo.”	there are no indication that the Moro Islamic Liberation Front has yielded on its position that it is still a "rebels or a revolutionary group."
<22>	Bakit?	why?
