<1>	Ka Arman Albarillo: Rebolusyonaryong Lider, Magiting na Mandirigma, Bayaning Komunista!	ComradeArman Albarillo: revolutionary leader, brave fighter, communist hero!
<2>	Eduardo LabradorPambansang Katipunan ng mga Magbubukid-Southern TagalogJuly 6, 2012Nagpupugay ang Pambansang Katipunan ng mga Magbubukid (PKM) sa kabayanihan ni Kasamang Arman Albarillo at lahat ng rebolusyunaryong martir ng Bagong Hukbong Bayan sa San Narciso, Quezon na nag-alay ng buhay sa pagtatanggol sa kapakanan ng mga maralita sa kanayunan.	Eduardo Labrador National Alliance of Farmers - Southern Tagalog July 6, 2012 the National Alliance of Farmers (PKM) salute the heroism of companion Arman Albarillo and all the revolutionary martyrs of the New People's Army in San Narciso, Quezon who offered their lives in protecting the welfare of the poor in the barrio.
<3>	Kinikilala at dinadakila ng rebolusyonaryong kilusang magbubukid ang mga kumander at mandirigma na matapang na humarap sa mga kaaway ng mamamayan.	the revolutionary movement of farmers recognize and honor the commander and fighter who bravely faced the enemies of the people.
<4>	Dating pangkalahatang kalihim ng Bagong Alyansang Makabayan sa rehiyon si Ka Arman.	ComradeArman was former overall secretary of the New Patriotic Alliance in the region.
<5>	Taong 2009 nang magpasya siyang sumanib sa Bagong Hukbong Bayan.	year 2009 was when he decided to join the New People's Army.
<6>	Dahil sa gawa-gawang kaso laban sa kanya at sa 71 iba pa, pinili niyang lisanin ang lansangan at tumugon sa panawagan ng kanayunan upang maipagpatuloy ang kanyang paglilingkod.	because of the made-up case against him and 71 others, he chose to leave the streets and answer to the call of the barrio to continue his service.
<7>	Matagal niyang ipinaglaban ang hustisya para sa kanyang mga magulang na pinaslang ng rehimeng Arroyo noong 2002 kabilang ang marami pang biktima ng karahasan ng estado.	he has long fought for justice for his parents who were killed by the Arroyo regime in 2002 including many more victims of violence of the state.
<8>	Paulit-ulit siyang nabigo.	he repeatedly failed.
<9>	Sa Hukbong Bayan lamang niya nakita na mabibigyang katarungan ang kanyang pagkaulila.	only in the People's Army did he see that his orphanhood will be given justice.
<10>	Sa isang bansang itinuturing na krimen ang pagiging makabayan at terorismo ang paglilingkod sa sambayanan, karangalan ang mamatay nang lumalaban.	in a country where it is considered crime to be patriotic and serving the people is terrorism, it is an honor to die while fighting.
<11>	Nagpamalas siya ng di-matitinag na paninindigan para sa interes ng nakararami at kahandaang ibuwis ang kanyang buhay para sa prinsipyong kanyang pinaniniwalaan.	he also displayed unwavering resolve for the interest of many and readiness to sacrifice his life for the principle he believed.
<12>	Di-matatawaran ang kanyang dedikasyon sa pagsusulong ng pambansa demokratikong panawagan.	his dedication in pushing for a national democratic call cannot be discounted.
<13>	Malugod niyang tinanggap ang pakikibakang ipinamana ng kanyang mga magulang.	he happily accepted the fight passed on to him by his parents.
<14>	Niyakap niya ang sakripisyo at kahirapang kaakibat ng kanyang responsibilidad sa bayan.	he embraced the sacrifice and poverty that came with his responsibility to the nation.
<15>	Hanggang sa huling sandali, hindi niya tinalikuran ang uring magbubukid.	up to the final moment, he did not turn his back on the farmer class.
<16>	Katulad ng marami nang nabuwal na bayani ng uring anakpawis, magsisilbing tanglaw ang buhay at pakikibaka ni Ka Arman sa lahat ng mamamayan.	like many fallen heroes of the working class, the life and fight of ComradeArman will serve as a guide to all the people.
<17>	Mananatiling buhay si Ka Arman sa alaala ng masa sapagkat hindi dito nagwawakas ang kanilang kasaysayan.	ComradeArman will remain alive in the memory of the masses because their history does not stop here.
<18>	Nagtamo man ng pinsala, lalong napapanday ang mga maralita sa kanayunan sa buhay-at-kamatayang pakikibaka para sa demokratikong interes ng mayorya ng sambayanan.	despite sustaining damages, the poor in the barrios are further forged into the life-and-death struggle for the democratic interest of majority of the nation.
<19>	Kahit kailan, hindi isinuko ng mga magbubukid ang armadong rebolusyon.	no matter when, the farmers never gave up the armed revolution.
<20>	Hindi tatalikuran ng masang magbubukid ang kanyang tungkuling itaguyod ang Bagong Hukbong Bayan.	the farmer class will not turn his back on his responsibility to support the New People's Army.
<21>	Laging nakabukas ang pinto ng dampa ng mga magbubukid sa Bondoc Peninsula upang kupkupin ang hukbo, tulungan sila at kapit-bisig na gapiin ang mga sanggano at maton ng mga asyendero.	the hut of the farmers in Bondoc Peninsula is always open to take in the army, help them and arm-in-arm defeat the loafers and bullies of the plantation owners.
<22>	Buong giting na ipagtatanggol ng Hukbong Bayan at mamamayan ang mga inaning tagumpay sa rebolusyong agraryo.	the People's Army and people will protect wholeheartedly the success reaped by the agrarian revolution.
<23>	Kabiguan ang naghihintay sa konsentradong opensiba ng Oplan Bayanihan ng Rehimeng US-Aquino.	failure awaits the concentrated offensive of Oplan Bayanihan of the US-Aquino regime.
<24>	Hindi magtatagal, unti-unting mauubusan ng hangin ang walong batalyong golpe-de-gulat ng mga pasista habang nagkakamit ng solidong tagumpay ang Hukbong Bayan at mamamayan.	it won't be long, the eight battalion attack of the fascists will run out of steam while the People's Army and people obtain solid victory.
<25>	Mabuhay ang alaala ni Kasamang Arman!	long live the memory of companion Arman!
<26>	Mamamayan at Hukbong Bayan, Magkaisa!	people and People's Army, unite!
<27>	Biguin ang Oplan Bayanihan ng Rehimeng US-Aquino!	foil Oplan Bayanihan of the US-Aquino regime!
