<1>	Hinaing ng maralitang lungsod, dapat pakinggan	calls of the unfortunate province, should be heard.
<2>	by Darius Galang	by Darius Galang
<3>	December 2, 2016	December 2, 2016
<4>	Magsasagawa ng Lakbayan ang libu-libong maralitang tagalungsod ngayon.	the thousands of unfortunates in the province will conduct a Lakbayan now.
<5>	Kakatukin nila ang gobyernong Duterte na nangako ng pagbabago.	they will knock on the doors of the Duterte government who promised change.
<6>	Makatwiran ang maningil sa gobyerno.	it's only right to demand from the government.
<7>	Ito ang mensahe ng maralitang tagalungsod sa paglulunsad nila ng isang Lakbayan para irehistro ang kanilang mga hinaing sa kalagayan ng kanilang mga kabuhayan at pabahay.	this is the message of the unfortunates in launching a Lakbayan to register their calls for their livelihood and housing.
<8>	Ayon sa pananaliksik ng Kalipunan ng Damayang Mahihirap, ipinapakita ng 2014 datos mula sa National Statistics Coordinating Board na isang kapat (1/4) ng mga Pilipino ay nasa ilalim ng poverty line, 78 porsiyento pagtaas mula 2013.	according to the research of Kalipunan ng Damayang Mahihirap, the 2014 data from National Statistics Coordinating Board showed that quarter (1/4) of Filipinos is under the poverty line, 78 percent higher since 2013.
<9>	Dagdag pa, ipinapakita ng 2015 datos mula sa Philippine Statistics Authority na 8.1 porsiyento ng Pilipino ay nasa matindi o subsistence poverty, o isang-kahig-isang-tuka.	an addition to that, the 2015 data from Philippine Statistics Authority showed that 8.1 percent of Filipinos is in extreme or subsistence poverty, or living one day at a time.
<10>	Di maitatanggi, kalunus-lunos ang kalagayan ngayon ng mga maralitang tagalungsod.	it's undeniable, the situation of the unfortunates is tragic.
<11>	Sa gitna ng kanilang ambag sa iba’t ibang industriya, sila ang isa sa pinagsasamatalahang sektor.	in spite of their contribution to different industries, they are the one being abused by the sector.
<12>	Napakaliit na ng sahod nila, mataas pa ang kawalan ng trabaho at kabuhayan.	their incomes are already very low, and there's even a high rate of loss of jobs and livelihood.
<13>	Kung trabahador man, mas madalas ay kontraktuwal at hindi nabibigyan ng mga benepisyo.	and for the employees, it's usually contractual, and not given benefits.
<14>	Isasagad pa ng kawalan ng akses sa edukasyon at serbisyong pangkalusugan, maging ng kabi-kabilang demolisyon na umaayon lamang para sa mga pribadong entidad.	they're even pushing to lack of access to education and health services, amidst the back to back demolition that only benefits the private sectors.
<15>	Isang Lakbayan ang kanilang ikinasa upang mairehistro sa gobyernong Duterte ang kanilang mga panawagan.	they launched a Lakbayan so that their pleas to the Duterte government can be enlisted.
<16>	Pangunahin sa kanilang panawagan ang libre at pangmasang pabahay.	their primary call is free housing for the masses.
<17>	Mahabang panahon na ang binuno ng maralitang tagalungsod sa kabi-kabilang demolisyon sa kanilang mga komunidad, at patuloy ang panawagan nilang hindi demolisyon ang solusyon sa kanilang hinaing, bagkus para lamang ito sa interes ng mga mayayaman.	the unfortunates invested a long time in the back-to-back demolition in their community; and their call that demolition is not the solution to their complaints, but only for the interest of the rich, continues.
<18>	Kaakibat ng panawagan sa pabahay ang kanilang laban para sa regular na trabaho, at P750 National Minimum Wage.	in line with their call for housing is their fight for regular jobs, and P750 National Minimum Wage.
<19>	Malaki ang maiaambag nito sa kanilang kalunus-lunos na kabuhayan sa lungsod.	this will be a big help to their terrible livelihood in the province.
<20>	Mainit ang kanilang sigaw na itigil na ang pamamaslang sa ilalim ng giyera kontra droga, dahil ang malaking bilang ng mga nasawi rito’y nagmumula sa maralitang tagalungsod.	their calls to stop the the murder under the war against drugs is intensified, because majority of killed because of this is from the province.
<21>	Panawagan rin nila ang paglayas ng militar sa mga komunidad ng mahihirap.	they also call for the departure of military from the community of indigents.
<22>	Higit pa sa pabahay at regular na trabaho, malaki rin ang maitutulong ng tunay na reporma sa lupa, maging ang pambansang industriyalisasyon.	more than the housing and regular jobs, a legitimate land reform, even national industrialization will be a really big help.
<23>	Kalakhan naman ng tumungo sa kalunsuran ay nagmula sa kanayunan sa pag-asang mas mataas ang magiging kabuhayan nila sa lungsod.	majority of those who came to the city are from the countryside, in hopes of having a higher income in the city.
