<1>	Pagbabalik ng US Bases	return of US bases
<2>	by Yanni Fernan	by Yanni Fernan
<3>	March 30, 2016	March 30, 2016
<4>	Hindi nag-aksya ng panahon si Aquino at ang US para ipatupad ang EDCA. Sa ilalim nito, nagmimistulang base militar ng US ang buong bansa habang security guard naman ang mga sundalong Pilipino.	No time was wasted by Aquino and the US to implement EDCA. Under this, the whole country would seem to be US military base while the Filipino soldiers are security guards.
<5>	Taong 1991, sa kabila ng pagtutol ng noo’y pangulong Corazon Aquino, nagpasya ang Senado ng Pilipinas na tumugon sa malawakang protesta ng sambayanan at sarhan ang mga base militar ng US sa Pilipinas.	it was in the year 1991 in spite of the objection of then president Corazon Aquino, the Senate of the Philippines answered the widespread protest of the people and close the US military bases in the Philippines.
<6>	Nang sumunod na taon umalis ang mga puwersang militar ng US bitbit ang kanilang mga kagamitang pandigma.	the following year the US military force left bringing along their armament.
<7>	Sa kanilang pag-alis, iniwan nila ang Clark Air Base at Subic Naval Base, kasama pati ang Camp John Hay, Naval Air Station Cubi Point, Naval Station San Miguel at Naval Wallace Air Station.	on their departure, they left Clark Air Base and the Subic Naval Base, including Camp John Hay, Naval Air Station Cubi Point, Naval Station San Miguel and Naval Wallace Air Station.
<8>	Ngunit makalipas ang 25 taon, sa ilalim ng kanyang anak at kasalukuyang pangulong Noynoy Aquino, multong ibinabalik ang mga base militar ng US sa ilalim ng EDCA (Enhanced Development Cooperation Agreement).	but after 25 years under the her son and current president Noynoy Aquino, the US military bases are being reinstated under the EDCA (Enhanced Development Cooperation Agreement).
<9>	Pumarito pa sa Pilipinas noong 2014 si Pangulong Barack Obama ng US para pirmahan nila ni Aquino ang EDCA, na hindi dumaan sa Senado.	US President Barack Obama even came here in the Philippines in 2014 to sign the EDCA with Aquino which did not pass through the Senate.
<10>	Kinuwestyon ito ng maraming mamamayan, ngunit nitong Enero 2016, kinatigan ng Korte Suprema (sa desisyong 10-4) si Aquino at idineklarang hindi labag sa konstitusyon ang EDCA.	a lot of people questioned this but this January 2016, the Supreme Court sided (in a decision 10-4) with Aquino and declared that EDCA is not against the constitution.
<11>	Pinatupad ang EDCA: Base Militar ng US ang Buong Bansa	EDCA implemented: the whole country a US military base
<12>	Hindi nag-aksya ng panahon si Aquino at ang US para ipatupad ang EDCA bago pa man bumaba sa puwesto si Aquino sa Hunyo.	Aquino and the US did not waste any time to implement the EDCA before Aquino descends from his post in June.
<13>	Sampung taon ang itatagal ng EDCA, at dahil executive agreement ito at hindi tratado, nakasalalay sa mga susunod pang pangulo ang pagpapalawig sa buhay nito.	EDCA will last for ten years and because this is an executive agreement and not a treaty, it depends on the next presidents to extend its term.
<14>	Ngayong Marso rin ay ipinirme ang limang base militar ng US na itatayo sa Pilipinas.	the five US military bases to be built in the Philippines was set forth this March.
<15>	Ang kaibahan, nasa loob ito mismo ng mga kampo ng Armed Forces of the Philippines (AFP).	the difference, these are located inside the camps of the Armed Forces of the Philippines (AFP).
<16>	Higit pa rito, ayon sa EDCA, maaaring itayo ng US ang kanilang base militar kung saan may kampo-militar.	more than this, according to the EDCA, the US could build their military base where there is a military camp.
<17>	Sa gayon, magmimistulang base militar ng US ang buong bansa habang security guard naman ang mga sundalong Pilipino.	with this, the whole country would look like a US military base while the Filipino soldiers as security guards.
<18>	Magkakaroon ng mga pasilidad, kagamitang pandigma at rotational access ang libu-libong sundalong Amerikano sa loob ng mga sumusunod na base: (1) Antonio Bautista Air Base sa Palawan, (2) Basa Air Base sa Pampanga, (3) Fort Magsaysay sa Nueva Ecija, (4) Lumbia Air Base sa Cagayan de Oro, at (5) Mactan-Benito Ebuen Air Base sa Cebu.	thousands of American soldiers will have facilities, armaments, and rotational access inside the following bases: 1) Antonio Bautista Air Base in Palawan, (2) Basa Air Base in Pampanga, (3) Fort Magsaysay in Nueva Ecija, (4) Lumbia Air Base in Cagayan de Oro, and (5) Mactan-Benito Ebuen Air Base in Cebu.
<19>	Subalit hindi ito ang muling simula ng deployment ng mga tropang US sa Pilipinas.	but this is not the beginning of the deployment of US troops in the Philippines.
<20>	Bago ang EDCA ay mayroon nang VFA (Visiting Forces Agreement) sa pagitan ng US at Pilipinas, na inaprubahan ng Senado bilang tratado noong 1998.	before EDCA, there was the VFA (Visiting Forces Agreement) between the US and the Philippines, that was approved by the Senate as a treaty in 1998.
<21>	Sa ilalim ng VFA, wala nang permanenteng US bases pero pinayagan ang paglabas-pasok ng mga sundalong Amerikano sa alinmang lugar sa Pilipinas.	under the VFA, there are no permanent US bases but American soldiers are allowed to go inside and outside in any place in the Philippines.
<22>	Pinahintulutan rin ang pagsisilbi nila bilang advisors at trainors ng mga sundalong Pilipino, ang pagsasagawa ng military (“Balikatan”) exercises ng mga tropang US at Pilipino, at ang pagdaong ng mga barkong pandigma ng US (tulad ng USS Ohio nitong nakaraan) sa Pilipinas para sa repair at refueling. Sa katunayan, 600 sundalong Amerikano mula sa Navy SEALS at Special Action Forces ang itinalaga sa Mindanao sa tawag na US-Philippine Mission.	they are also allowed to serve as advisors and trainers of Filipino soldiers, conduct military ("Balikatan") exercises of US and Filipino troops, and the docking of US warships (like the USS Ohio earlier) in the Philippines for repair and refueling. in fact, 600 American soldiers from the Navy SEALS and Special Action Forces were assigned in Mindanao called the US-Philippine Mission.
