<1>	CamSur PESO muling naghahandog ng trabaho sa abroad	CamSur PESO once again offering jobs abroad
<2>	January 15, 2016 Danilo Abad	January 15, 2016 Danilo Abad
<3>	LUNGSOD NG NAGA, Enero 15 (PIA) -- Mahigit isanglibong manggagawa ang kailangan ngayon sa bansang Qatar at United Arab Emirates (UAE) sa pamagitan ng Camarines Sur Employment Center at Lead Resources Management.	City of Naga, January 15 (PIA) - more than one thousand laborers are needed today in the countries of Qatar and United Arab Emirates (UAE) through the Camarines Sur Employment Center and Lead Resources Management.
<4>	Ayon kay Sha Torallo, na siyang hepe ng Camarines Sur Public Employment Service Office (CamSur PESO) halos 280 lalaking service crew, 700 na babaeng service crew, 50 waitress, 50 car driver, 50 line cook, 30 receptionist, at 80 lalaking cashier ang madaliang kinakailangan ngayon sa naturang mga bansa.	according to Sha Torallo, chief of Camarines Sur Public Employment Service Office (CamSur PESO) almost 280 male service crew, 700 female service crew, 50 waitresses, 50 car drivers, 50 line cooks, 30 receptionists, and 80 male cashiers are immediately needed today in the said countries.
<5>	Sinabi ni Torallo na ang magaganap na Special Recruitment Activity ay isasagawa sa darating na Lunes at Martes, Enero 18-19, 2016 sa Capitol Main Building Lobby, Capitol Complex, Cadlan, Pili, Camarines Sur simula alas 8 ng umaga hanggang alas 4 ng hapon.	Torallo said that the special recruitment activity happening will be held this coming Monday and Tuesday, January 18-19, 2016 at Capitol Main Building Lobby, Capitol Complex, Cadlan, Pili, Camarines Sur starting 8 o'clock in the morning up to 4 o'clock in the afternoon.
<6>	Kailangan dalhin ng aplikante ang mga sumusunod: Comprehensive resume na may masusing paglalarawan ng trabaho, tig-dalawang piraso ng litratong 2x2 at 1x1.	the applicant needs to bring the following: comprehensive resume with a detailed description of jobs, two pieces each of a 2x2 and 1x1 picture.
<7>	Orihinal at photocopy ng school credentials gaya ng form 137, diploma at transcript of records. Balidong pasaporte at kung maari ay magdala ng Certificate of Employment bilang pagpapatunay na may kaalaman sa trabahong pinili.	original and photocopied school credentials like form 137, diploma and transcript of records. valid passport and if possible bring a certificate of employment as proof of knowledge of the job chosen.
<8>	Para sa mga karagdagang detalye ay bumisita lamang sa tanggapan ng Camarines Sur Employment Center sa kapitolyo probinsiyal o tumawag sa telepono numero 477-5858 , 477-7468 o 09198775952.	for additional details just visit the office of the Camarines Sur Employment Center in the provincial capitol or call telephone numbers 477-5858, 477-7468 or 09198775952.
<9>	Pwedeng rin mag-email o facebook account na camsur_peso@yahoo.com.	you can also email or Facebook account camsur_peso@yahoo.com.
<10>	Samantala, may malaking oportunidad din na inaalok ang CamSur PESO sa mga gustong magtrabaho sa loob ng probinsiya ng Camarines Sur at Lungsod ng Naga. Sa pamagitan ng Stretch Distribution Inc., na matatagpuan sa Obiedo Warehouse, kanto ng Almeda Highway, Lungsod ng Naga ay nagtatangap na magiging field supervisors, field sales pesonnel, office staff, accounting staff, drivers at delivery helpers.	meanwhile, there is a huge opportunity that CamSur PESO will also offer those who want to work within the province of Camarines Sur and City of Naga. through Stretch Distribution Incorporated, located at Obiedo Warehouse, corner of Almeda Highway, City of Naga future field supervisors, field sales personnel, office staff, accounting staff, drivers and delivery helpers are being accepted.
<11>	Ang iba pang kompanya na nangangailan ng mga tauhan ay ang Palino Lubes Trading (PLT) ng Zone 4, Concepcion Grande, Naga City at Topserve Manpower Solutions, Inc. na matatagpuan din sa Geronimo Bldg., Barlin St., Naga City.	the other companies looking for staff are Palino Lubes Trading (PLT) of Zone 4, Concepcion Grande, Naga City and Topserve Manpower Solutions, Incorporated also located at Geronimo Building, Barlin Street, Naga City.
<12>	Ang mahalagang anunsiyong ito ay bahagi ng paglilingkod ng gobyerno probinsiyal bilang priority development programs.	this important announcement is part of the service of the provincial government as priority development programs.
<13>	(MAL/DCA-PIA5/Camarines Sur)	(MAL/DCA-PIA5/Camarines Sur)
