<1>	Sundalo - Sa Aking Karanasan	soldier - my experience
<2>	Maliit pa lang kaming magkakapatid, isinasama na kami ng tatay kong sundalo sa paninirahan sa isang kampo sa Mindanao.	when my siblings and I were still young, my father who is a soldier brought us to live with him in a camp in Mindanao.
<3>	Nakakaawa kasi si tatay kung mag-isa lang siya sa kampo.	because it was a pity to see father alone in camp.
<4>	At mas iba talaga kapag buo ang pamilya.	and it really is different if the family is complete.
<5>	Marami din namang mga sundalo ang nagdadala ng pamilya sa kampo kaya nakisabay na rin siguro sa agos at nakapagdesisyon nang ganoon si nanay.	there are also many soldiers who bring their family to camp so maybe mother went along with the flow and decided that way.
<6>	Lumaki kami kasama ang mga sundalo.	we grew up together with the soldiers.
<7>	Kung saan sila madidestino, ay kasama din kaming mga pamilya.	wherever they are stationed, we the family also go along.
<8>	Natirhan namin ang South Cotabato, Davao del Sur, North Cotabato, at Maguindanao.	we have lived in South Cotabato, Davao del Sur, North Cotabato, and Maguindanao.
<9>	Kaya hindi na bago sa amin kung marami kaming paaralan at kahit kaming magkakapatid ay hindi pare-pareho ng ALMA MATER.	so it is not new to us if we have many schools and even us siblings do not have the same alma mater.
<10>	Lahat kaming mga bata sa kampo, iniidolo ang trabaho ng aming mga tatay.	all of us kids at camp, idolize the job of our fathers.
<11>	Bakit?	why?
<12>	Dahil ginagawa nila ang kanilang makakaya para ilihis ang mga taong nais manggulo at para hindi masaktan ang mga sibilyan.	because they do what they can to divert the people who want to cause trouble and so that civilians do not get hurt.
<13>	Mula sa mga rebelde, nagkaroon nang sagupaan ang mga sundalo sa Moro National Liberation Front (MNLF) sa probinsiya ng Maguindanao at ilang bayan sa North Cotabato.	from the rebels, the soldiers had an encounter with the Moro National Liberation Front (MNLF) in the province of Maguindanao and some towns of North Cotabato.
<14>	May pagkakataon pa nga na kaming mga kabataan ang nagdadala ng bala ng kanyon mula sa taguan nito para ibigay sa gunner na siyang hihila ng tali para ito paputukin.	there were even times when we children were the ones who brought the ammunition of the cannon from its storage to give to the gunner, who will pull the rope to make it explode.
<15>	Iyon ay dahil wala ang mga tatay namin at kakaunti ang mga sundalong naiwan sa kampo.	that is because our fathers were absent and the soldiers left at camp were few.
<16>	Noong naging integrated ang MNLF at nagkaroon ng Autonomous Region in Muslim Mindanao (ARMM), medyo mapayapa na.	when the MNLF became integrated and the Autonomous Region in Muslim Mindanao (ARMM) came to be, it was somewhat peaceful already.
<17>	Ngunit, ilang buwan lang ang itinagal nito dahil dumating ang isang sigalot kung saan ang mga Moro Islamic Liberation Front (MILF) ang naging katunggali ng pinagsanib na puwersa ng AFP at Integrated MNLF.	but, it lasted only a few months because a conflict arrived wherein the Moro Islamic Liberation Front (MILF) became the opponent of the joint force of the AFP and Integrated MNLF.
<18>	Taong 2000, kasagsagan ng mga giyera sa Maguindanao, napadaan kami sa isang eskuwelahan sa bandang Buldon.	year 2000, the peak of the fighting in Mindanao, we passed by a school near Buldon.
<19>	Kagagaling lang namin noon sa isang school press contest na idinaos sa Visayas at tanging ito lang ang daan (Marawi to Cotabato route) na malapit pauwi sa Parang, Maguindanao.	we were just coming from a school press contest held in Visayas and this was the only way (Marawi to Cotabato route) near the way home to Parang, Maguindanao.
<20>	Kahit ordinaryong eskuwelahan ito pero mararamdaman mo ang tensyon.	even if it was an ordinary school you could feel the tension.
<21>	Isa din kasi ito sa lugar na laging binobomba ng militar.	because it was also one of the places that was always bombed by the military.
<22>	Nakuha ng atensyon ko ang isang estudyante na may bitbit na baril.	one student carrying a gun caught my attention.
<23>	At animo'y galit sa akin nang malaman na ako'y anak ng sundalo.	and as if he was angry at me upon learning that I am the child of a soldier.
<24>	Ang mga kaklase niya ang pumigil at nagpatahan sa kanya.	his classmates were the ones who stopped and calmed him down.
<25>	Narinig ko sa kanila na "Hindi yan kasali, Inosente yan".	I heard from them that "he is not included, he is innocent".
<26>	Estudyante lang din siya katulad ko pero may ipinaglalaban na siya.	he was just a student like me but there was something he was already fighting for.
<27>	All-Out-War!	all-out-war!
<28>	Matindi ang bakbakan.	the fighting is intense.
<29>	Ang rutang minsan kong nadaanan ay hindi na ligtas.	the route I sometimes passed through is no longer safe.
<30>	Nag-aaral na ako sa kolehiyo nang nasugatan ang tatay ko sa isang engkuwentro.	I was studying in college when my father was wounded in an encounter.
<31>	At sa semestral break ng klase ay ang uga nang pagsabog ng kanyon ang bumulaga sa bakasyon ko.	and in my semester break from class the shaking from the firing of a cannon welcomed my vacation.
<32>	Marami ang namatay.	many died.
<33>	Ang ilan sa kanila, malapit na kaibigan ng tatay.	some of them, were close friends of dad.
<34>	Minsan hindi ko maipaliwanag ang giyera sa Maguindanao.	sometimes I cannot explain the war in Maguindanao.
<35>	May pagkakataon kasi na kahit malapit na ang grupo ng mga rebelde sa kampo ay wala namang bakbakan na naganap.	because there are times when the rebels are already near camp but no fighting that takes place.
<36>	Wika nga nila, "pag walang utos, walang giyera".	as they say "if there is no instruction, there is no war".
<37>	Hindi ko rin maunawaan kung bakit pa kailangang mag-away gayong puwede naman palang mamuhay nang tahimik at walang gulo.	I also cannot understand why there is a need to fight when it is possible to live peacefully and without conflict.
<38>	Ang Terorista at ang Bangsamoro Basic Law.	the terrorist and the Bangsamoro Basic Law.
<39>	Marami akong nakasalamuha na mga Muslim.	I have encountered many Muslims.
<40>	Karapat-dapat naman talaga sa kanila ang pagbabago at kapayapaan.	they are truly deserving of change and peace.
<41>	Malamang ang BBL ang maging susi nito.	the BBL will likely be the key to it.
<42>	Ganunpaman dahil ito ay isinusulong ng bandidong grupo, para sa akin, ito ay malabong mangyari.	still, because the bandit group is supporting it, for me, it is unlikely to happen.
<43>	Paano ba maitatayo ang bandila ng kapayapaan kung ngayon pa lang ay marami nang dahas ang nagagawa nila?	how can the flag of peace be erected if even now they are committing so much violence?
<44>	Huwag sanang kalimutan ang mga sibilyan na pinatay sa Lanao del Norte noon at maya't mayang pagsabog ng bomba na sibilyan ang puntirya sa ngayon.	hopefully the civilians killed in Lanao del Norte back then and the round-the-clock bomb explosives that target civilians today will not be forgotten.
<45>	Paano na kaya kung ang kanilang lakas militar ay maging lehitimo?	what if their military power becomes legitimate?
<46>	Paano na ang mga militar ng gobyerno?	what of the government militaries?
<47>	Kaya nga iisa lang ang tandang sa aming alagang manok dahil nagsasabong kapag dalawa sila.	which is why there is only one rooster in our pet chickens, because they fight if there are two of them.
<48>	Kung mula sa MNLF ay nabuo ang MILF, at dahil sa MILF ay may BIFF, hindi pa ba nadala ang gobyerno na mas lalong lumalaki ang problema?	if the MILF was made from the MNLF, and because of the MILF there is the BIFF, has the government not learned from the further increasing problem?
