<1>	Balat ng saging, amazing!	banana peel, amazing!
<2>	PAGKATAPOS kumain ng saging, huwag munang itapon ang balat.	after eating banana, don't throw the peel yet.
<3>	Dahil ang balat ng saging ay maari pa nating magamit.	because the peel can still be used.
<4>	Narito ang mga pwede nating gawin na talaga namang mapapasabi ka na ang balat ng saging ay AMAZING!	these are the things you can do that will really make you say that banana peel is amazing!
<5>	1\. Kapag mag-iihaw ng manok, balutin ito ng balat ng saging.	1. when roasting a chicken, wrap it with banana peel.
<6>	Ang balat ng saging ay mayroong enzymes na nagpapalambot sa karne.	banana peel has enzymes that will soften the meat.
<7>	Napapanatili rin nitong tender at juicy ang iihawing manok.	it also preserves the tenderness and juiciness of the roasted chicken.
<8>	2\. Ang balat ng saging ay mabisa ring pampakintab ng sapatos.	2. a banana peel is also effective in polishing a shoe.
<9>	Ipahid lang ang banana peel sa leather shoes at pagkatapos ay punasan ito ng tuyong basahan.	just apply banana peel to the leather shoes, and wipe it with dry rug.
<10>	3\. Maari rin itong maging lunas sa sakit sa balat gaya ng rashes at mga kati-kati.	3. it can also be a cure to skin diseases such as rashes and allergies.
<11>	Ayon sa mga eksperto, may katangian ang saging na tumutulong sa pagtanggal ng nararamdamang kati sa katawan.	according to experts, a banana has a property that helps remove itch felt on the body.
<12>	Ipahid lang sa apektadong bahagi ang balat ng saging 2 beses sa isang araw.	just wipe the banana peel on affected areas 2 times a day.
<13>	4\. Base sa mga pag-aaral, nakatutulong rin ang banana peel sa pag-alis ng mga pimples.	4. based on studies, banana peel also helps in removing pimples.
<14>	Mabisa rin itong pantanggal ng wrinkles.	it's also effective in getting rid of wrinkles.
<15>	Ipahid lang ang banana peel sa mukha at banlawan ito ng tubig pagkatapos.	just wipe the banana peel on face, and rinse with water after.
<16>	Gawin ito sa loob ng isang linggo.	do this within one week.
<17>	5\. Sagot din sa sakit ng ulo ang balat ng saging.	5. banana peel is also an answer to headache.
<18>	Nagtataglay ito ng natural na lamig na tumutulong sa pagpawi ng mainit at masakit na ulo.	it has a natural cool that helps in alleviating hot and throbbing head.
<19>	MARJORIE ANN DACORO	Marjorie Ann Dacoro
