<1>	Mumo sa pagitan ng mga daliri	crumbs in between fingers
<2>	By Jolau V. Ocampo, Winona S. Sadia - September 26, 2016	by Jolau V. Ocampo, Winona S. Sadia - September 26, 2016
<3>	BAHAGYANG tumalbog ang siksik na tiyan ni Mario nang tamad na tamad niya itong idinantay sa harapan ng lababo.	Mario's big belly slightly bounced as he lazily laid it in front of the sink.
<4>	Nahuli na naman siyang kumain.	he was again the last one to finish eating.
<5>	Dismayado ang kaniyang mukha habang nanlalambot na tinitigan ang patung-patong na pinagkainan ng buong pamilya.	his face was dismayed as he softly looked at the stack of dishes finished by the whole family.
<6>	Hindi hiniwalay ang mga buto ng manok, kutsara’t tinidor at mga masesebong pinggan na pinagkapitan na ng natuyong sabaw ng kaldereta.	chicken bones were not segregated, spoon and forks, and greasy plates with dried soup of casserole sticking.
<7>	Dinagdagan pa ng mga baso sa gawing kaliwa ng lababo, pitsel na may tira pang isang basong iced tea at dalawang bandehado kung saan natuyo na ang mga latak na kanin at sabaw.	added with glasses on the left side of the sink, pitcher with remaining one glass of iced tea, and two platters where rice and soup has dried.
<8>	Mabuti at ang kaniyang ate na lamang ang inutusang mag-impis ng rice cooker at kalderong pinaglutuan ng ulam.	fortunately, his elder sister was tasked to clean off the rice cooker and pots used in cooking the viand.
<9>	Pinaliliguan ng kaniyang nanay ang bunso niyang kapatid habang lumabas na ng bahay ang kaniyang tatay, batid niyang dadalawin ang mga kumpare nito.	his mother took their youngest sister to bath while his father went out of the house, probably to visit his friends.
<10>	Siya na lamang ang naiwan sa kusina habang binabanlawan at sinasalansan ang mga kubyertos.	only he was left at the kitchen, washing and filing the utensils.
<11>	Buong bakasiyon na niya itong paulit-ulit na ginagawa.	he has been doing this repeatedly the entire vacation.
<12>	Sawang-sawa na siya.	he's already fed up.
<13>	Hindi na niya rin lubos akalain na maging sa araw ng Linggo, hindi siya patatawarin sa gawaing-bahay.	he didn't think that even on Sunday, he won't be given a breath from the household chores.
<14>	Ilang sandali pa, pinunasan na niya ang lababo gamit ang basahang nangingitim na sa kalumaan.	moments after, he wiped the sink using the rug, dark from being old.
<15>	Iniwanan niyang bukas ang salaan na lalagyan ng mga pinagligpitan at tumakbo palabas ng bahay.	he left the rack of dishes open, and ran outside the house.
<16>	Basa nang kaunti ang laylayan ng kamiseta ni Mario dahil dito niya tinuyo ang kaniyang basang mga kamay bago lumabas sa tarangkahan.	the end of his shirt was a bit wet because he used it to dry his wet hands before he went out the gate.
