<1>	Panaginip mo, Interpret ko: Tindahan at artista (2)	Your dreams, I'll interpret: Shop and celebrity (2)
<2>	Posted by: hataw tabloid	Posted by: Hataw Tabloid
<3>	on July 4, 2016	on July 4, 2016
<4>	in Hataw Extras	in Hataw Extras
<5>	Kapag nanaginip ng wood o kahoy, ito ay maaaring nagsa-suggest na pakiwari mo ay wala kang pakiramdam at ikaw ay parang makina.	if you dream about wood or wood, this may suggest that you think you have no feelings and are like a machine.
<6>	Nagsasabi rin ito na hindi ka nag-iisip nang mabuti o nang kompleto.	this also suggests that you do not think well or completely.
<7>	Alternatively, maaaring ito ay isang ‘pun’ ng may kaugnayan sa sexual arousal.	Alternatively, this may be a pun relating to sexual arousal.
<8>	Kung natanggal o nawala ang kahoy sa panaginip mo, maaaring nagsasabi ito nang pagkabawas sa iyong sexual activities.	if the wood in your dream is removed or disappears, this may suggest a decrease in your sexual activities.
<9>	Ang tinapay naman na nakita sa panaginip ay may kaugnayan sa mga basic na pangangailangan sa buhay.	Bread that is seen in dreams relates to basic needs in life.
<10>	Ito ay maaaring nagsasaad din ng mga positive qualities at ng mga magagandang bagay na natutunan mo sa iyong paglalakbay sa buhay.	this may also suggest the positive qualities and the good things that you learn as you go through life.
<11>	Alternatively, ito ay maaaring paalala rin na dapat kang mas magsikap lalo na sa mga sitwasyon na kailangang-kailangan mo para sa iyong sariling kaunlaran at kinabukasan.	Alternatively, this may also be a reminder for you to work harder, especially in situations that you need for your own development and future.
<12>	Kapag ikaw ay nakakita ng gitara sa panaginip, ito ay nagre-represent ng ukol sa passion at emotion.	if you see a guitar in your dream, this represents about passion and emotion.
<13>	Ito ay maaaring may kaugnayan din sa sexual connotations at posibleng maging hudyat ng ukol sa erotic or sensual dream.	this may be also be related to sexual connotations and may possibly signal an erotic or sensual dream.
<14>	Kapag naman ang gitara ay sira o naalis ang strings, posibleng ito ay may kaugnayan sa disappointment sa pag-ibig.	if the guitar is broken or has its strings removed, this possibly relates to disappointment in romance.
<15>	Kapag naman nanaginip ng hinggil sa artista, ito ay posibleng nagre-represent ng nais na paghahanap sa kaligayahan at libangan o pleasure.	if you dream about a celebrity, this possibly represents a desire to find happiness and entertainment or pleasure.
<16>	Ang iyong paghanga sa ilang partikular na celebrity o mga artista ay maaaring magbunsod ng pagkakakuha ng ilan sa kanilang mga physical o personality traits.	Your admiration for a particular celebrity or artist may trigger getting some of their physical or personality traits.
<17>	Dapat ding tignan o ikonsidera ang mga artistang ito, lalo na ang mga characteristics nila na maaaring ma-associate mo sa iyong sariling personalidad.	these celebrities should be observed and evaluated, especially the characteristics of theirs that you may associate with your own personality.
<18>	Posible kasing ang mga characteristics na ito ay katulad ng mga bagay na dapat mong kilalanin o i-incorporate sa iyong sarili.	this is because it's possible that these characteristics may be similar to things that you should identify with or incorporate into yourself.
<19>	Maaaring may kaugnayan din sa iyo ang mga papel o role na ginagampanan ng mga artistang nakita mo sa iyong panaginip.	there may also be a relationship between you and the roles or role being played by the celebrities that you see in your dreams.
<20>	Kahit hindi mo kilala talaga ng personal ang mga sikat na artistang nakita sa panaginip mo, ang mga papel nilang ginagampanan na napapanood mo o ang pananaw at pagtingin mo sa kanilang pagkatao ay maaaring magbigay sa iyo ng clue o pang-unawa sa koneksiyon sa iyo ng bungang-tulog mo.	even though you don't personally know the famous celebrities you see in your dreams, the roles they take on that you watch or your view and perception of their character may give you a clue to or understanding your connection to your dreams.
<21>	Sa kabilang banda, maaaring bunga lang ng napanood mo sa TV o pelikula o kaya ay nabasa mong istorya sa mga artista sa tabloid o showbiz magazine kaya pumasok sila sa iyong panaginip.	on the other hand, this may just be the result of what you see on TV or movies or stories that you've read about celebrities in tabloids and showbiz magazines, causing them to show up in your dreams.
<22>	Kung ganito nga ang kaso, wala talagang significant na kahulugan sa iyo ang mga artistang ito at incidental lang ang pagkakapasok nila sa iyong bungang-tulog.	if that's the case, then these celebrities don't have any significant meaning to you and their entry into your dreams is purely incidental.
<23>	Señor H.	Señor H.
