<1>	Sining ng Pagbalikwas	art of turning down
<2>	Sheila Abarra	Sheila Abarra
<3>	Bitbit ng mga pambansang minorya ang kanilang musika at makukulay na kasuotan sa bawat sitwasyong kanilang kinahaharap—patunay na buhay pa rin ang kanilang pine-preserbang sining.	the country's minority carried their music and colorful clothing in every situation they face - proof that the art they're preserving is still alive.
<4>	Gayunman, para kay Nanay Liya Asinas, 58 anyos na bead-maker ng tribong Higaonon sa Bukidnon, malakas ang pangamba para sa kanilang natatanging sining at kultura.	nevertheless, for mother Liya Asinas, 58 year old bead-maker of the Higaonon tribe in Bukidnon, they strongly fear for their unique art and culture.
<5>	Malaking banta sa mga ito ang lumalalang karahasang dulot ng militarisasyon sa kanilang sariling lupain.	the largest threat for it is the worsening violence caused by the militarization in their own land.
<6>	Mahalaga ang mga ginagawang palamuti ng mga bead-maker na gaya ni Nanay Liya sa mga katutubo—bukod sa makukulay nilang mga kasuotan, malaki ang ambag ng mga palamuti sa kanilang pagkakakilanlan.	the crafted accessories made by the bead-makers like mother Liya are important for the natives-aside from their colorful clothing, these accessories hugely contribute to their identities.
<7>	Salay ang tawag sa mga ito na isinusuot sa tuwing may mga pagtitipon gaya ng Dumalondong.	these are called Salay which are worn during gatherings like Dumalondong.
<8>	Mayroon itong iba’t ibang uri: ang kumbong na isinusuot sa ulo at bakos na isinusuot ng mga mananayaw sa baywang.	these have different kinds: a veil worn in the head and a belt worn by dancers in their waist.
<9>	Labing-anim na taong gulang si Nanay Liya nang magsimulang gumawa ng mga palamuti.	Mother Liya was sixteen years old when she started making accessories.
<10>	Sa kabila ng mga paghihirap sa kanyang buhay, hindi niya pinabayaan ang kanyang sining.	despite the hardships in her life, she did not take her art for granted.
<11>	Tuloy pa rin siya sa paggawa sa kabila ng pagkawala ng kanyang asawa at mga anak—apat na beses nang nakunan si Nanay Liya at hindi na nabiyayaan ng anak dahil pumanaw na rin ang kaniyang asawa noong 2011 dahil sa sakit.	she continued to make these despite losing her husband and children-four times, mother Liya suffered miscarriage and was not blessed with a child after because her husband passed away in 2011 due to illness.
<12>	Bukod sa likha niyang sining, nagsisilbi rin siya sa kanyang komunidad sa ibang paraan.	aside from creating her art, she serves in her community in other ways.
<13>	Dati siyang guro sa paaralan ng mga Higaonon na Rural Missionaries of the Philippines.	she was formerly a teacher in a school for Higaonon, the Rural Missionaries of the Philippines.
<14>	Nang tumanda na siya at hindi na kayang umakyat sa bundok patungong paaralan, sumapi siya sa Health-Bukidnon, isang grupo ng mga community health workers ng Bukidnon.	when she grew old and could no longer climb the mountain going to the school, she joined Health-Bukidnon, a group of community health workers of Bukidnon.
<15>	Ngunit lubos na nagbago ang buhay ni Nanay Liya nang dumating ang mga militar.	the life of mother Liya completely changed when the military came.
<16>	Sinasaktan at hinunuli ng mga militar ang mga katutubo sa tuwing isinusuot ng mga ito ang kanilang mga makukulay na damit at palamuting tanda ng kanilang pagiging Higaonon.	the military hurt and arrest the natives whenever they wear their colorful clothing and accessories as a symbol of them being Higaonon.
<17>	Dahil sa panggigipit at pandarahas na ito, nagkaroon ng kakabit na takot ang dating simpleng sagisag lamang ng kanilang pagkakakilanlan.	because of these pressure and violence, fear got associated in wearing the previously simple symbol of their identities.
<18>	Binabastos at dinarahas ng mga militar maging ang kanilang mga paaralan.	the military disrespect and commit violence even in their schools.
<19>	Binabansagan ang mga ito bilang “paaralan ng mga NPA,” samantalang puro kabataang katutubo ang nag-aaral doon.	they labeled them as "school of the NPA," when only native children studying there.
<20>	Sanhi ng panggigipit ng mga militar, naipasara ang mga paaralang muli lamang nabuksan nang makipagdayalogo ang mga katutubo sa lokal na pamahalaan.	due to the pressure from the military, schools were closed down and were only opened back when the natives had a dialogue with the local government.
<21>	Gayunman, nananatili pa rin ang takot hatid ng banta ng militarisasyon.	nevertheless, the fear delivered by the threat of militarization stays
<22>	Sa kabila ng lahat ng ito, nagsisikap pa rin ang mga bead-maker na gaya ni Nanay Liya na panatilihin ang kanilang sining.	despite all of these, the bead-makers like mother Liya still work hard to preserve their art.
<23>	Marami pa ring Lumad ang gumagawa ng mga palamuti.	there are still many Lumad who make accessories.
<24>	Hindi lamang ito sagisag ng kanilang pagkakakilanlan—pinaniniwalaang may mga pang-medisinal ding gamit ang mga ito.	these are not only symbols of their identities - it is believed that these have medicinal uses too.
<25>	Pinagsusuot nila ang mga katutubo ng mga palamuting ito sa parte ng katawang may bali o pilay upang maisaayos ang pagdaloy ng dugo at maibsan ang sakit.	they make the natives wear the accessories in the parts of their bodies that have fractures or sprain to correct the flow of blood and ease the pain.
<26>	Ang mga pambansang minorya ang nakapagpanatili ng kulturang Pilipino sa kabila ng mga impluwensyang kolonyal na kinaharap ng bansa sa kamay ng mga dayuhan.	the country's minority are the ones who preserve the Filipino culture despite the colonial influences faced by the country in the hands of foreigners.
<27>	Malaking kawalan kung magpapatuloy ang pandarahas at pagpapaalis sa kanila sa kanilang lupang ninuno.	it will be a big loss if they will be continuously violated and displaced from their ancestral lands.
<28>	Ani Nanay Liya.	said mother Liya.
<29>	“Tumanda na ako sa pagiging bead-maker at tulad ng pag-protect namin dito [bead-making], dapat lang na protektahan din ang aming mga karapatan.”	"I've grown old being a bead-maker and like how we protected it (bead-making), it is fitting that we also protect our rights."
