<1>	Pagbangon at paglaban ng mga biktima ni Yolanda	rising and fighting of the victims of Yolanda
<2>	Sariwa pa sa alaala ni Anna Patricia Monteroso, 23, ng Sta. Rita, Samar ang takot sa bagsik ng bagyong Yolanda nang kanyang ibahagi ang karanasan niya mahigit dalawang buwan na ang nakararaan.	it is still fresh in the memory of Anna Patricia Monteroso, 23, of Santa Rita, Samar the fear from the ferocity of typhoon Yolanda when she shared her experience over two months ago.
<3>	Hindi rin niya malaman kung paano magsisimula at bubuhayin ang pamilya matapos wasakin ng bagyo ang kanilang kabuhayan.	she also does not how to begin and how to take care of her family after the typhoon destroyed their livelihood.
<4>	“Walang dumating na relief goods kahit isa.	"no relief goods came at all, even one."
<5>	Nakakalungkot na imbes na magtulungan nagtaasan pa ang presyo ng bigas.	it is saddening that instead of helping each other, the price of rice increased.
<6>	Isang kilo P60, eh wala kaming pera.	60 pesos a kilo, we don't have money.
<7>	Ang bumuhay lang sa amin yung tanim naming saging at kamote sa loob ng isang lingo,” ayon kay Anna.	"what sustained us in one week were the banana and sweet potatoes we planted," according to Anna.
<8>	Dagdag ni Anna, kahit humingi na ng tulong ang kanilang barangay pero wala pa rin silang nakukuhang relief goods mula sa gobyerno.	Anna added they still did not get any relief goods from the government even when their barangay asked for help.
<9>	At hanggang ngayon, wala pa rin silang nakukuhang anumang tulong mula sa gobyerno.	and until now, they still have not gotten any help from the government.
<10>	Hirap din ang asawa na makapasok sa trabaho sa Maynila (kung saan sila naroon ngayon) para bumuhay sa kanilang pamilya.	it is difficult for her husband to get a job in Manila (where they are now) to raise their family.
<11>	Ilan lamang si Anna sa mga biktima na nagbahagi ng kani-kanilang karanasan sa ginanap na pagtitipon ng mga biktima, kaanak, kaibigan, at taga-suporta ng bagyong Yolanda na tinawag na Day of Solidarity sa pangunguna ng Tindog People’s Network (Tindog) at Task Force on Urban Conscientization (TFUC) sa Lungsod ng Quezon.	Anna is just one of the victims who shared their own experiences at the gathering of victims, relatives, friends and supporters of typhoon Yolanda which was called Day of Solidarity led by Tindog People's Network (Tindog) and Task Force on Urban Conscientization (TFUC) which was held in Quezon City.
<12>	Administrasyong Aquino, hindi handa at naging pabaya	Aquino administration, not prepared and was negligent
<13>	Sa nasabing pagtitipon, ibinahagi ng mga biktima ang anila’y mabagal, kung mayroon man, na pagdating ng tulong mula sa administrasyong Aquino sa kabila ng sinasabi nitong kahandaan bago dumating ang bagyo.	at the said gathering, the victims shared what they said was slow, if there were any, help from the Aquino administration despite claiming readiness before the storm came.
<14>	Bago dumating ang bagyo, inanunsiyo mismo ni Pangulong Aquino na handa ang pamahalaan sa pagdating ni Yolanda.	before the typhoon hit, President Aquino himself announced that the government is ready for Yolanda's arrival.
<15>	Mayroong 32 na eroplano at helicopters daw mula sa (Phillipine) Air Force at nasa 20 navy ships mula sa Philippine Navy ang nakaposisyon sa Cebu, Bikol, Cavite, at Zamboanga City.	there were allegedly 32 airplanes and helicopters from the (Philippine) Air Force and 20 navy ships from the Philippine Navy positioned in Cebu, Bicol, Cavite and Zambaonga City.
<16>	Nakahanda rin daw ang relief goods sa maraming lugar na tatamaan ng bagyo.	the relief goods were ready in places where the typhoon will hit.
<17>	Pero iba ang naging mukha ng kahandaang sinasabi ng Malakanyang, ayon kay Bro. Philip Michael Benavide, Nicodamus, kasapi ng TFUC.	but countenance of Malacañang's readiness was different, according to Brother Philip Michael Benavide, Nicodamus, member of TFUC.
<18>	“Bagamat nagpakalat ng impormasyon ang gobyerno sa internet, nagkulang pa rin ito ng paliwanag sa kung gaano kalaki ang magiging epekto ng bagyo.	although the government spread information through the internet, it failed to explain how big the effect of the typhoon will be.
<19>	Hindi nga alam ng mga tao kung ano ang storm surge,” ayon kay Benavide.	"the people do not even know what storm surge is," according to Benavide.
<20>	Sa presentasyon ni Benavide, wala raw isinagawang search-and-rescue operations ang gobyerno sa krusyal na mga araw matapos ang bagyo.	in Benavide's presentation, there were no search-and-rescue operations made by the government in the crucial days following the typhoon.
