<1>	Sabado, Mayo 9, 2015	Saturday, May 9, 2015
<2>	MAY FOREVER!: Reflection for 6th Sunday of Easter Year B - May 10, 2015 - YEAR OF THE POOR	there is forever!: reflection for 6th Sunday of Easter year b - May 10, 2015 - year of the poor
<3>	Naniniwala ka bang "walang forever?"	do you believe that "there is no forever"?
<4>	Kung isa ka sa mga miyembro ng W.F.T. (Wala Talagang Forever) ay isa ka sa mga taong "bitter"... kasimpait ng ampalaya ang iyong buhay!	if you are a member of W.F.T. (there really is no forever) then you are on of those "bitter" people your life is as bitter as bitter melon!
<5>	Ipinagpalit lang ng boyfriend sa iba wala na agad forever... bitter ka lang te!	only because his boyfriend replaced her with another there is no forever already you are only bitter sister!
<6>	Sa halip na maging bitter dapat siguro mas maging "better" ang ating pagtingin sa buhay... may forever!	instead of being bitter maybe our view in life should become more "better" there is forever!
<7>	Lalo na sa ating mga Kristiyano ay dapat maniwala tayong MAY FOREVER!	more so on us Christians we should believe there is forever!
<8>	May forever sapagkat ang ating Diyos ay PAG-IBIG tulad ng sabi ni San Juan sa kanyang unang sulat at ang Kanyang pagmamahal sa atin ay... FOREVER!	there is forever because our god is love like what saint john said in his first writing and his love for us is forever!
<9>	Ito rin ang binigyang diin ni Jesus nang sinabi niyang "Kung paanong iniibig ako ng Ama, gayon din naman, iniibig ko kayo, manatili kayo sa aking pag-ibig!"	this is also what Jesus emphasized when he said "the way my father loves me, I also love you, remain in my love!
<10>	Manatili magpakailanman, magpasawalanghanggan... FOREVER!	remain forever, never ending forever!
<11>	Ano ang katangian ng pag-ibig na ito?	what is the attribute of this love?
<12>	Ang unang katangian ng pag-ibig ay ang kakayahang magsakripisyo alang-alang sa kapakanan ng iba.	the first attribute of love is the capability to sacrifice for the sake of the welfare of others.
<13>	"Walang pag-ibig na hihigit pa sa pag-ibig ng isang taong nag-aalay ng kanyang buhay para sa kanyang mga kaibigan."	"there is no love that can surpass the love of one person who offers his life for his friend."
<14>	May isang lugar sa Chicago na ang tawag ay Oliver Milton's Park.	there is one place in Chicago that is called Oliver Milton's park.
<15>	Ito ay ipinangalan sa isang sundalo na dinapaan ang isang granada upang mailigtas ang kanyang mga kasama sa tiyak na kamatayan.	this was named after one soldier who knelt on a grenade to save his companions from death.
<16>	Ang tunay na nagmamahal ay inuuna ang kapakanan ng iba bago ang sarili.	a person who truly loves puts the welfare of others first before his.
