<1>	Walang saya para sa mga obrero ng Coca-cola	no joy for employees of Coca-Cola
<2>	by Macky Macaspac	by Macky Macaspac
<3>	March 19, 2012	March 19, 2012
<4>	Happiness for Coke Workers in the Philippines from mayday multimedia philippines on Vimeo.	happiness for Coke workers in the Philippines from mayday multimedia Philippines on Vimeo.
<5>	Taliwas sa ipinagmamalaking islogang “100 Years of Spreading Happiness” ng Coca-cola, malungkot, at hindi masaya, ang mga manggagawang Pilipino ng multinasyunal na kompanya ng softdrinks.	contrary to the slogan "100 years of spreading happiness" Coca-Cola is proud of, Filipino employees of the multinational soft drinks company are sad, and hot happy.
<6>	Tumatanggi ang Coca-cola Philippines Inc. na magbigay ng dagdag sahod at iba pang benepisyo sa pamamagitan ng pag-atake sa karapatan ng mga manggagawa sa Collective Bargaining Agreement (CBA) at pagtungo sa kontraktuwalisasyon, paglalahad ng mga unyon ng manggagawa ng Coca-cola sa isang press conference kamakailan.	Coca-Cola Philippines Incorporated denies to give additional wages and other benefits by attacking the employees' rights through the collective bargaining agreement (CBA) and heading to contractualization, reveals the union of employees of Coca-Cola in a press conference recently.
<7>	Sa kanilang CBA, ipinipilit umano ng manedsment ng Coca-cola ang bagong iskema na tinaguriang 3P.	in their CBA, the management of Coca-Cola allegedly insists on the new scheme called 3P.
<8>	Sa ilalim ng 3P, dadaan sa appraisal o ebalwasyon ang bawat manggagawa kada dalawang buwan batay sa kanilang presence, performance at participation.	under the 3P, each employee goes through appraisal or evaluation every two months based on their presence, performance and participation.
<9>	Ang ebalwasyon na ito ang magiging batayan ng anumang dagdag sahod at mga benepisyo na kanilang matatanggap.	this evaluation will be the basis for any salary increase and benefits they will receive.
<10>	Gayundin, maaaring matanggal ang sinumang manggagawa na hindi pumasa sa 3P.	furthermore, any employee who does not pass the 3P may be fired.
<11>	Walang saya sa Coca-cola?	no joy in Coca-Cola?
<12>	Tinututulan ng mga manggagawa ng Coca-Cola ang kontraktuwalisasyon, pagbarat sa sahod at pagdurog sa unyon sa bagong iskema ng manedsment na 3P.	the employees of Coca-Cola oppose contractualization, bargaining their salary and destroying the union in the new scheme by the management, 3P.
<13>	(Macky Macaspac)	(Macky Macaspac)
<14>	“Mahigpit naming tinutulan at kinukondena itong iskema ng individual performance-based appraisal na ipinipilit sa amin ng Coca-cola Philippines Inc.,” sabi ni Alfredo Maranon, tagapangulo ng San Fernando Coca-cola Rank and File Union (Sacoru).	"we strongly oppose and condemn this scheme of individual performance-based appraisal forced on us by Coca-Cola Philippines Incorporated," said Alfredo Maranon, head of San Fernando Coca-Cola Rank and File Union (Sacoru).
<15>	Ayon kay Maranon, magdudulot ang 3P ng kawalang seguridad sa trabaho, pagbarat sa sahod, at pagbuwag sa kanilang mga unyon.	according to Maranon, 3P will cause job insecurity, bargaining of wages, and dissolution of their unions.
<16>	“Paraan ito ng kompanya upang maisagawa ang malawakang tanggalan sa hanay namin at pagdurog sa aming mga unyon,” ayon sa lider-manggagawa.	"it is the company's way to conduct mass firing in our ranks and crush our unions," said the labor leader.
<17>	Inilahad ng Sacoru na tinanggal na ang dalawang pangulo ng magkahiwalay na unyon sa planta ng Coca-cola sa Meycauyan at Ilocos matapos pumayag sa iskemang 3P.	Sacoru shared that the head of two separate unions of Coca-Cola in Meycauyan and Ilocos have been fired after agreeing to the 3P scheme.
<18>	“Paano na ang mga manggagawa sa mga plantang ito? Parang wala na rin ang unyon dahil inalis ang pangulo nila,” sabi ni Maranon.	"what will happen to the employees in these plants? it's like there is no longer a union because their head was removed," Maranon said.
<19>	Mayroong 45 na unyon sa loob ng mga planta ng Coca-cola na nakakalat sa buong Pilipinas.	there are 45 unions inside the Coca-Cola plants spread through the entire Philippines.
<20>	“Kung tatanggapin namin itong 3P sa aming CBA, maaring ito na ang huli naming CBA,” ayon naman kay Faustino Aguillon Jr., tagapangulo ng United Coca-Cola Workers Union (UCCWU) sa planta ng Coca-cola sa Imus, Cavite.	"if we well accept this 3P in our CBA, it may be our last CBA," according to Faustino Aguillon Junior, head of United Coca-Cola Workers Union (UCCWU) in the Coca-Cola plant in Imus, Cavite.
<21>	Paglalahad ni Aguillon, isa-isang kinakausap ng manedsment ng kompanya ang mga manggagawa at hinihikayat na tanggapin ang alok na 3P.	Aguillon reveals, the management of the company talked to the employees one by one and encouraged them to accept the 3P offer.
<22>	“Tinatakot nila ang mga lider at manggagawa. Kung hindi raw namin tanggapin ang 3P, magreresulta ito sa pagkalugi at pagsasara ng kompanya,” aniya.	"they threaten the leaders and employees. supposedly if we do not accept the 3P, it will result in the loss and closure of the company," he said.
<23>	Sinasabi rin umano ng manedsment na kapag tinanggap nila ang 3P, lalago at uunlad ang kompanya.	the management supposedly also says that if they accept the 3P, the company will grow and advance.
