<1>	31,000 trabaho, iaalok sa Labor Day Job Fairs sa Gitnang Luzon	31,000 jobs, to be offered on the Labor Day Job Fairs in Central Luzon
<2>	April 23, 2016	April 23, 2016
<3>	Carlo Lorenzo J. Datu	Carlo Lorenzo J. Datu
<4>	LUNGSOD NG SAN FERNANDO, Pampanga, Abril 23 (PIA) -- Humigit kumulang 31,000 trabahong lokal at pang ibayong dagat ang iaalok sa mga Labor Day Job Fairs sa Gitnang Luzon ngayong taon.	City of San Fernando, Pampanga, April 23 (PIA) - more or less 31,000 local and overseas jobs will be offered on the Labor Day Job Fairs in Central Luzon this year.
<5>	Ayon kay Department of Labor and Employment Regional Director Ana Dione, nasa 24,870 lokal na trabaho ang iaalok ng may 265 na kumpanya habang 6,104 na bakanteng trabaho sa ibayong dagat ang nais punan ng may 28 na recruitment agencies.	according to Department of Labor and Employment regional director Ana Dione, around 24,870 local jobs will be offered by around 265 companies while 28 recruitment agencies want to fill up 6,104 vacant positions overseas.
<6>	Kabilang sa mga bakanteng trabahong lokal ang Customer Care Representatives, Call Center Agents, Production Operators, Production Workers, Sewers, Sales Clerks, Welders, Masons, at Sales Associates.	included in the vacant local positions are customer care representatives, call center agents, production operators, production workers, sewers, sales clerks, welders, masons, and sales associates.
<7>	Sa kabilang banda, hinahanap sa ibayong dagay ang mga Electrical/Mechanical Engineers, Production Operators, Factory Workers, Nurses, Staff Nurses, House Keepers, Helpers, and Service Crews.	on the other hand, electrical/mechanical engineers, production operators, factory workers, nurses, staff nurses, house keepers, helpers, and service crews are wanted overseas.
<8>	Sabayang idaraos ang mga May 1 Job Fairs sa mga SM malls in Baliuag, Pampanga, Clark, San Fernando Downtown, Cabanatuan, at Tarlac.	the May 1 Job Fairs will simultaneously be held in SM malls in Baliuag, Pampanga, Clark, San Fernando Downtown, Cabanatuan, and Tarlac.
<9>	Meron din sa KB gymnasium, Capitol compound sa lungsod ng Malolos, at municipal gym ng Masinloc, Zambales.	KB Gymnasium, Capitol Compound in the City of Malolos, and the municipal gym of Masinloc, Zambales will have it too.
<10>	Bukod dito, may kahalintulad na aktibidad rin sa Mayo 3 sa New Municipal Building sa Marilao, Bulacan at Freedom Park Capitol Grounds sa lungsod ng Cabanatuan.	aside from these, there are also similar activities on May 3 in the New Municipal Building in Marilao, Bulacan and Freedom Park Capitol Grounds in the city of Cabanatuan.
<11>	May nakatakda rin sa Mayo 6 sa People’s Center, Provincial Capitol Compound sa lungsod ng Balanga at Rizal Triangle sa lungsod ng Olongapo.	the People's Center, Provincial Capitol Compound of the city of Balanga and Rizal Triangle in the city of Olongapo are set to have it too on May 6.
<12>	Naka-angkla ang ika-114 selebrasyon ng Philippine Labor Day sa temang “Kinabukasan Sigurado sa Disenteng Trabaho.” (CLJD-PIA 3)	the 114th celebration of Philippine Labor Day is anchored on the theme "sure future in a decent job". (CLJD-PIA 3)
