<1>	Ang Bitukang Manok sa Pasig, Atimonan, Daet at sa Kasaysayan ng Katipunan	Bitukang Manok in Pasig, Atimonan, Daet and the history of the Katipunan
<2>	ANG BITUKANG MANOK SA PASIG, ATIMONAN, DAET AT SA KASAYSAYAN NG KATIPUNAN ni Gregorio V. Bituin Jr.	Bitukang Manok in Pasig, Atimonan, Daet and the history of the Katipunan by Gregorio V. Bituin Junior
<3>	Noong Oktubre 9, 2014, kami sa Climate Walk ay tumahak sa tinatawag na Bitukang Manok sa Atimonan, Quezon.	on October 9, 2014, we at Climate Walk traveled to what is called Bitukang Manok in Atimonan, Quezon.
<4>	Iyon ang ikalawang Bitukang Manok na nalaman ko.	that is the second Bitukang Manok I am aware of.
<5>	Dahil ang alam kong Bitukang Manok ay nasa Lungsod ng Pasig, na kadalasang tinatalakay namin sa usaping kasaysayan, lalo na sa Katipunan ni Gat Andres Bonifacio.	because the Bitukang Manok I know is located in Pasig City, that we usually talk about in historical discussions, especially on the Katipunan of Gat Andres Bonifacio.
<6>	Mahalaga ang Bitukang Manok sa kasaysayan ng pakikibaka ng Katipunan dahil pinagpulungan iyon ng mga Katipunero sa pangunguna ni Bonifacio.	Bitukang Manok is important in the history of the fight of the Katipunan because the Katipuneros held meetings there led by Bonifacio.
<7>	Tatlong historyador ang nagbanggit nito.	three historians mentioned it.
<8>	Ang dalawa ay kaibigan ko at kasama sa grupong Kamalaysayan (Kaisahan sa Kamalayan sa Kasaysayan, na dating Kampanya para sa Kamalayan sa Kasaysayan).	two are my friends and co-members in the group Kamalaysayan (Kaisahan sa Kamalayan sa Kasaysayan, formerly Kampanya para sa Kamalayan sa Kasaysayan).
<9>	Ang Climate Walk ay isang kampanya para sa Katarungang Pangklima o Climate Justice, at isang mahabang lakbayan, o lakaran mula sa Luneta (Kilometer Zero) hanggang sa Tacloban (Ground Zero) na aming isinagawa mula Oktubre 2, na Pandaigdigang Araw ng Hindi Paggamit ng Dahas (International Day on Non- Violence), hanggang Nobyembre 8, 2014, ang unang anibersaryo ng matinding bagyong Yolanda.	Climate Walk is a campaign for Katarungang Pangklima or Climate Justice, and a long journey, or walk from Luneta (kilometer zero) to Tacloban (ground zero) that we held from October 2, the International Day on Non-Violence (International Day on Non-Violence), to November 8, 2014, the anniversary of the strong typhoon Yolanda.
<10>	Ang ikalawang Bitukang Manok na nalaman ko ay hindi isang ilog, kundi isang paliku-likong daan.	the second Bitukang Manok I discovered is not a river, but a winding path.
<11>	Tinawag na Bitukang Manok dahil animo'y bituka ng manok na paliku-liko ang daraanan.	called Bitukang Minok due to the winding path that resembles the intestine of a chicken.
<12>	Dito nga kami sa Climate walk tumahak, at habang naglalakad dito'y nagsulat ako ng tula sa aking maliit na kwaderno.	it was here in Climate Walk we explored, and while walking here I wrote a poem on my small notebook.
<13>	Nakita ni kasamang Albert Lozada ng Greenpeace ang pagsulat ko ng tula, kaya ipinatipa niya iyon sa akin sa kanyang cellphone, na siya naman niyang ipinadala sa tanggapan ng Greenpeace upang i-upload sa kanilang website.	companion Albert Lozada of Greenpeace saw me writing the poem, so he asked me to type it on his cellphone, which was then sent to the office of Greenpeace to be uploaded on their website.
<14>	Narito ang tula:	here is the poem:
<15>	PAGTAHAK SA BITUKANG MANOK 11 pantig bawat taludtod	exploring Bitukang Manok 11 syllables each line
<16>	Tinahak namin ang Bitukang Manok Na bahagi ng mahabang Climate Walk Kaysasaya naming mga kalahok Nag-aawitan, di nakakaantok	we explored Bitukang Manok that was part of the long Climate Walk we participants were really happy singing, not drowsy
<17>	Napakahaba man nitong lakaran Ay makararating din sa Tacloban Lalo't kaysaya ng pagsasamahan Ang pagod ay tila 'di namin ramdam	the path may be very long but it will still end up in Tacloban especially when the company is enjoyable we can't seem to feel fatigue
<18>	Sariwang hangin, walang mga usok Dito'y gubat na gubat pa ang bundok Kay sarap dito sa Bitukang Manok Kahit 'di namin narating ang tuktok.	fresh air, no smog here the mountains are all forests how nice it is here in Bitukang Manok even if we didn't reach the top.
<19>	\- Bitukang Manok, Atimonan, Quezon, Octubre 9, 2014	- Bitukang Manok, Atimonan, Quezon, October 9, 2014
<20>	Ang tulang ito'y nalathala sa website ng GreenPeace na in-upload doon ni Jenny Tuazon.	this poem was published on the website of GreenPeace which was uploaded there by Jenny Tuazon.
<21>	Maraming salamat sa inyo, Greenpeace!	thanks to you, Greenpeace!
<22>	Mabuhay kayo!	more power to you!
<23>	Ang ikatlong Bitukang Manok ay nahanap ko sa internet.	the third Bitukang Manok, I found through the internet.
<24>	At ito'y nasa rehiyon ng Bikol, nasa Daet, Camarines Norte.	and it is in the Bicol region, in Daet, Camarines Norte.
<25>	Ito'y nasa kahabaan ng national highway malapit sa hangganan ng Camarines Sur at Camarines Norte, at nasasakupan ng Bicol National Park.	it's along the national highway near the boundary of Camarines Sur and Camarines Norte, and under Bicol National Park.
<26>	Ang unang Bitukang Manok na alam ko, bago naging bahagi ng kasaysayan ng Katipunan, ay isang kaharian sa panahon ni Dayang Kalangitan (na isinilang ng 1450 at namatay ng taon 1515).	the first Bitukang Manok I know, before becoming a part of the history of the Katipunan, is a kingdom during the time of Dayang Kalangitan (who was born in 1450 and died in the year 1515).
<27>	Siya ang tanging reynang namuno sa Kaharian ng Tondo, at nagtatag din ng maliit na kaharian sa makasaysayang Bitukang Manok, na nasasakop ng Pasig.	she is the only queen to have ruled the Kingdom of Tondo, and also established a smaller kingdom in the historic Bitukang Manok, a part of Pasig.
<28>	Si Dayang Kalangitan ang panganay na anak ni Raha Gambang na itinuturing na isa sa pinakamakapangyarihang pinuno ng kaharian.	Dayang Kalangitan was the eldest child of Raha Gambang who was considered one of the most powerful leaders of the kingdom.
<29>	Noong araw, nang hindi pa nasasakop ng mga Kastila ang bansa, nasasakop ng Tondo ang malaking bahagi ng lupain, kasama na ang Pasig.	back in the day, when the Spanish had not yet conquered the country, Tondo covered a large part of the land, including Pasig.
<30>	Nang mamatay ang kanyang ama, si Dayang Kalangitan ang humalili.	when her father died, it was Dayang Kalangitan who took over.
<31>	Napangasawa niya si Gat Lontok, na nang lumaon ay naging Raha Lontok, na hari ng Tondo.	she married Gat Lontok, who eventually became Raha Lontok, the king of Tondo.
<32>	Sinasabing ang pamumuno ni Dayang Kalangitan ay katulad ng pamumuno ni Prinsesa Urduja ng Pangasinan.	it is said that the leadership of Dayang Kalangitan was similar to the leadership of Princess Urduja of Pangasinan.
<33>	Napangasawa ng anak niyang babaeng si Dayang Panginoon si Prinsipe Balagtas ng Namayan, at anak ni Emperatris Sasaban.	her daughter Dayang Panginoon married Prince Balagtas of Namayan, and offspring of Empress Sasaban.
<34>	Ang anak ni Dayang Kalangitan na si Salalila ang humalili sa kanya, at nang nagpasakop na si Salalila sa Islam, napalitan na ang kanyang pangalan ng Sulaiman, na sa kalaunan ay naging ang makasaysayang si Raha Sulaiman na siyang hari ng Tondo.	the child of Dayang Kalangitan Salalila was the one who replaced her, and when Salalila surrendered to Islam, his name was changed to Sulaiman, eventually becoming the historic Raha Sulaiman who was the king of Tondo.
