<1>	Hapagkainan	dining table
<2>	ni Emmanuel Jerome Tagaro	by Emmanuel Jerome Tagaro
<3>	Dati ko nang ugali ang maging mapagmasid sa daan, lalong-lalo na tuwing pupunta sa mga kainan. Laging may dalang ligaya ang dala sa akin ng pagmamasid tuwing napapansin ko ang bawat galaw ng mga nasa paligid ko. Para sa akin, isa itong pagtakas mula sa araw-araw kong pagkasuya sa buhay.	it has long been my habit to observe on the road, most especially when I go to eateries. observing always brings me joy when I notice each move of those around me. for me, it is an escape from my everyday boredom in life.
<4>	Ngayon, nakaupo na naman ako sa isang kainan, at pansin na pansin ko ang bawat pitik ng mga kamay sa kabilang mesa, ‘yung pa-simpleng sulyap ng lalaki sa kasama niya sa tuwing nakatingin ito sa malayo, o kahit ‘yung gusot sa damit ng babaeng nasa dulong mesa.	today, I am seated at a restaurant again, and I really notice each flick of the hand in the opposite table, the simple glances of the man to his companion every time he looks in the distance, or even the creases in the dress of the woman in the farthest table.
<5>	Kakilala ko man o hindi ang mga customer sa kahit saan na kainan, laging may mga natatanging tauhan sa mumunting espasyong ito.	whether I personally know or not the customers wherever I eat, there are always notable characters in these small spaces.
<6>	Security guard	security guard
<7>	Unang-una na bubungad pagpasok pa lamang sa isang kainan ang bruskong security guard. Madalas siyang mag-isa, minsan nagmamasid-masid sa paligid o babati ng “Welcome po!” Baton lamang ang hawak niya at isang baril na walang lamang bala. Maaaring ito lamang ang kailangan sa mga kainan, dahil kapag may dumating na mga masasamang loob, madali lang namang humingi ng tulong. Sana lang hindi sila ganoon kadami para hindi siya mabuyo bago dumating ang back-up niya.	the very first to welcome you upon entering a restaurant is the muscly security guard. he is often alone, sometimes observing the place or greeting "welcome po!" he holds a baton and a gun without bullets. they may be the only ones needed in restaurants, because if some evildoers arrive, it is easy to ask for help. hopefully they won't be that many so that he will not be plowed before his backup arrives.
<8>	Crew	crew
<9>	Susunod na sasalubong ang masisipag na crew. Lagi silang may ngiti sa mukha, handang-handa nang kunin ang order ng mga customer.	next to welcome you are the hardworking crew. they always have smiles on the face, ready to get the order of customers.
<10>	Madalas man silang contractual at mababa ang sahod, patuloy silang kumakayod upang mayroong maipakain sa pamilya.	they may be often contractual and with low pay, but they continue to work hard to have something to feed their family.
<11>	Chef	chef
<12>	Lagi man siyang natatago at ’di man siya nakikita madalas, ang taga-luto pa rin ang susunod na magbibigay serbisyo.	he may always be hidden and not always seen, it is still the cook who next offers service.
<13>	Buong araw siyang nagluluto ng pagkaing hindi niya naman nakakain, at nakaharap sa kusinang hindi niya naman pag-aari.	he cooks food he cannot eat the whole day, and facing the kitchen he does not own.
<14>	Hindi ko rin alam kung nakakain na ba siya, o kung kaya niya man lang bilhin ang niluluto niya, pero siya ang gumagawa noon para sa mga customer at para sa pamilya niya.	I also do not know if he has eaten, or if he can even afford what he cooks, but he is the one who makes it for the customer and for his family too.
<15>	Dapat siyang pasalamatan.	he should be thanked.
<16>	Manager	manager
<17>	Napakaraming manager na ang nagdaan sa itinagal ng kainan, at bawat isa sa kanila ay magkakaiba ng palakad.	for the long run of the restaurant it has undergone so many managers, and each one of them has a different style.
<18>	Mayroong mga tutulog-tulog, mahigpit sa oras, o tutok sa trabaho, pero may isang katangian ang hawak ng karamihan sa kanila — at ‘yun ay unahin ang interes ng kainan, na tiyaking marami pa rin ang kita, higit pa sa kapakanan ng mga customer.	there are the sleepy ones, strict with time, or focused on work, but many of them possess one characteristic - and that is putting the interest of the restaurant first, ensuring that the revenue is still high, more than the welfare of the customers.
<19>	Customer	customer
<20>	Walang nakakaalam kung magiging sino at ano ang bawat customer na lalabas sa kainan, pero nasa pangangalaga sila ngayon ng kainan.	no one knows who and what each customer that will come out of the restaurant be, but they are now in the care of the restaurant.
<21>	Binabayaran man ng bawat customer ang pagkain nila, nananatiling may maliit na kalayaan sa loob ng kainan.	each customer may pay for their food, but they continue to have little freedom inside the restaurant.
<22>	Dapat laging may pagkilala na ang bawat isang butil ng bigas na inihahain ay pawis at dugo ng mga taong nagtatrabaho rito.	there should be acknowledgement that each grain of rice served is the sweat and blood of the people working here.
<23>	Madalas napapangiti na lang ako sa tuwing nahuhuli ko ang sarili kong pinag-iisipan ito sa bawat kainang nasusubukan ko.	often I end up smiling when I catch myself thinking about this in each restaurant I try.
<24>	Ngunit siguro ay maigi lamang na maibahagi ko sa mga makababasa nito na ang lahat ng ito ay sumasalamin sa mas masalimuot pang negosyo sa lipunan.	but maybe it is just better for me to share to those reading that all of this reflects the complicated business of society.
