<1>	Dragon boat race, hudyat sa pasimula ng anibersaryo at cityhood ng Tanuan	dragon boat race, starting signal of the anniversary and cityhood of Tanuan
<2>	February 24, 2016	February 24, 2016
<3>	LUNGSOD NG TANAUAN, Batangas, Pebrero 24 (PIA) –Isa na namang kapanapanabik at makapigil hiningang kumpetisyon ang matutunghayan sa darating na Marso 5, 2016 sa pag-arangkada ng 3rd Tanauan City Dragonboat Race bilang hudyat sa pag- uumpisa ng isang linggong pagdiriwang ng lungsod na ito ng ika-444 taong anibersaryo at ika-15 “cityhood”.	City of Tanauan, Batangas, February 24 (PIA) -another exciting and breathtaking competition will be witnessed this coming March 5, 2016 on the start of the 3rd Tanauan City Dragonboat Race as starting signal of the week-long celebration of the city of its 444th-year anniversary and 15th year of "cityhood".
<4>	Sa pangkalahatang pangangasiwang City Sports Development Office ng Pamahalaang Lungsod, pangungunahan ng Solar Sports (ang “cable sports channel” ng Solar Entertainment Corporation), ang isang araw na kompetisyon na siyang magsisilbing ikatlong yugto (3rdLeg) ng prestihiyosong “Solar Sports Paddles Up - Philippine Dragon Boat Tour” na unang sumipa sa Manila Bay noong nakaraang Nobyembre.	in an overall supervision by the City Sports Development Office of the city government, Solar Sports (the "cable sports channel" of Solar Entertainment Corporation) will head the one-day competition that will serve as the third chapter (3rd leg) of the prestigious "Solar Sports Paddles Up - Philippine Dragon Boat Tour" that first kicked off in Manila Bay last November.
<5>	Lalahukan ng mga batikan at premyadong mananagwan mula pa sa ibat-ibang panig ng bansa ang nasabing karera na gaganapin sa Lawa ngTaal na nasasakupan ng mga barangay ng Wawa at Boot sa lungsod na ito.	veteran and premier rowers from different parts of the country will participate in the said race that will take place in Taal Lake that is covered by barangays Wawa and Boot of this city.
<6>	Ang dragon boat racing ay isasa mga pangunahing programang pang-isports at pang-turismo sa lungsod na aktibong isinusulong ni Tanauan City mayor Antonio C. Halili upang ilayo ang mga mamamayan, lalo’t higit ang mga kabataan, sa banta ng hated ng salot na droga.	dragon boat racing is one of the main sports and tourism programs of the city that is actively supported by Tanauan City mayor Antonio C. Halili to steer the residents, most especially the youth, away from the temptation of destructive drugs.
<7>	Ipagdiriwang ng lungsod ang anibersaryo at cityhood nito sa darating na Marso 10 na kapapalooban din ngi sang “royal enthronement” ng Royal Houses of the Sultanate of Batangas.	the city is celebrating its anniversary and cityhood this coming March 10 which also includes a "royal enthronement" of the Royal Houses of the Sultanate of Batangas.
<8>	At sa huling araw ng pagdiriwang sa Marso 12, muli na namang masasaksihan ng buong sambayanan ang pinaka-aabangan at dinarayong “Tanauan City Parade of Lights”, na pasisimulan ng isang“Tiburin Harness Race”.	and on the last day of festivities on March 12, the whole nation will again witness the most anticipated and visited "Tanauan City Parade of Lights", that will start with a "Tiburin Harness Race".
<9>	Ang Lungsod ng Tanauan, ang bayang sinilangan ng pambansang bayaning si Gat Apolinario Mabini at ng dating pangulo, Jose P. Laurel, ay itinatag ng mga misyonerong Agustino noong taong 1752.	the city of Tanauan, the birthplace of national hero Gat Apolinario Mabini and former president, Jose P. Laurel, was founded by Augustinian missionaries in the year 1752.
<10>	Ito ay ganap na naging isang lungsod sa bisa ng Republic Act No. 9005, o mas kilala bilang “An Act of Converting the Municipality of Tanauan Into a Component City to be known as the City of Tanauan,” na naratipikahan sa pamamagitan ng isang plebisito noong Marso 10, 2001.	it became a full city as a result of Republic Act Number 9005, or more commonly known as "An Act of Converting the Municipality of Tanauan Into a Component City to be known as the City of Tanauan," that was ratified through a plebiscite on March 10, 2001.
<11>	(Gerard Laremsa-CIO tanauan/PIA Batangas)	(Gerard Laremsa-CIO Tanauan/PIA Batangas)
