<1>	GANG RAPE SA KALYE By Cherk Balagtas	gang rape on the street by Cherk Balagtas
<2>	August 19, 2016	August 19, 2016
<3>	Kalunos-lunos ang naging kapalaran ng babaeng pipi at bingi nang pagtulungan itong halayin sa kalye ng tatlong lalaking kapitbahay sa Caloocan City kahapon ng madaling-araw.	a female deaf and mute was met with tragic fortune when she was gang raped on the street by three male neighbors at Caloocan City yesterday at dawn.
<4>	Sa ulat ng Caloocan City Police – Women and Children Protection Desk (WCPD), ganap umanong ala-una ng madaling-araw nang mangyari ang insidente sa gilid ng kalsada na tapat lamang mismo ng bahay ng isa sa mga suspek na si Mark Gonzaga, 29, walang hanapbuhay at residente ng Big­lang Awa, Barangay 95 ng nasabing lungsod.	news from Caloocan City Police - Women and Children Protection Desk (WCPD), stated that at around one am at early morning that the incident happened in a corner of a street just in front of one of the suspects' house, Mark Gonzaga, 29, unemployed and a resident of Biglang Awa, barangay 95 of the said city.
<5>	Bago ang insidente, nagkikipag-inuman umano si Gonzaga sa dalawa pa nitong kabarkada na inaalam pa ang pagkaka­kilanlan nang ilang sandali lang ay napadaan umano ang biktima na itinago sa pangalang Dominique, 19, pipi at bingi.	before the incident, Gonzaga was said to be drinking with two of his friends, whose identity are still unknown, when the victim, alias Dominique, 19, deaf and mute, happened to pass by.
<6>	Nang makita umano ito ng mga nag-iinuman ay agad niyaya na makipaginuman sa kanila.	when the drunkards saw her, they invited her to join them.
<7>	Noong una ay ayaw pa sana ng biktima, subalit napilit din siya ni Gonzaga hanggang sa magkalasi­ngan na nga at doon nila inumpisahang molestiyahin ang kawawang biktima.	the victim refused at first, but Gonzaga managed to convince her until they all got drunk and by then, they started to molest the poor victim.
<8>	Pinaghihipuan umano ng mga suspek sa maseselang bahagi ng katawan ang dalaga saka sapilitang pinasubo rito ang kani-kanilang mga ari.	the suspects started to touch the teen victim's private body parts before they forcefully shoved into her mouth their private parts.
<9>	Mabuti na lamang at isang kapitbahay nila ang mayroong CCTV sa harap ng bahay nito na saktong tumingin sa kanyang monitor.	fortunately, one neighbor, who has CCTV installed in front of their house, viewed their monitor
<10>	Doon nito nakita ang malaswang pinaggagagawa ng magbabarkada sa biktima, dahilan upang mabilis niyang ipaalam ito sa tiyahin ng biktima na mabilis namang nagtungo sa lugar at nang makita siya ng mga barkada ni Gonzaga ay mabilis ang mga itong nagsitakas.	in there, he saw the indecent doings of the group of friends to the victim, prompting him to immediately inform the victim's aunt who quickly went to the place and when she was seen by Gonzaga's friends, they hastily fled.
<11>	Agad ding nakahingi ng saklolo ang pamil­ya ng biktima sa himpilan ng Caloocan PCP I na nauwi sa agarang magkakahuli kay Gonzaga na sinampahan agad ng kasong paglabag sa RA 8353 o Anti-rape law.	the victim's family was able to call for help at the station of Caloocan PCP I which led to the immediate apprehension of Gonzaga who got filed a case against violating RA 8353 or anti-rape law.
<12>	Patuloy pa ring pinaghahanap ang mga kasamahan ni Gonzaga na tikom ang bibig na sabihin sa awtoridad ang pagkakakilanlan ng mga ito.	the continued search is ongoing for the companions of Gonzaga who would not speak a word to the authorities regarding their identities.
