<1>	Ang 'porma' ng warrior sa Maguindanao (Central Mindanao adventures Part 1)	the 'form' of the warrior in Maguindanao (Central Mindanao adventures part 1)
<2>	Bahagi ng taunang tradisyon ng Philippine Military Academy "Bantay-Laya" Class of 1994, binibisita namin ang himlayan ng aming mga nasawing mistahs sa Libingan ng mga Bayani sa Fort Bonifacio.	part of the annual tradition of the Philippine Military Academy "Bantay-Laya" class of 1994, we visit the grave of our dead squad members in the Libingan ng mga Bayani in Fort Bonifacio.
<3>	Ang tradisyon na ito ay ginagawa namin tuwing 1st week ng Marso, jibed sa aming graduation day anniversary na nagaganap naman tuwing ika-6 ng Marso.	we do this tradition every 1st week of March, jibed to our graduation day anniversary that happens every 6th of March.
<4>	By the way, ito na ang aming ika-20th year sa active service.	by the way, this is already our 20th year in active service.
<5>	Most importantly, ang tradisyong ito ay ginagawa namin para gunitain ang mga magagandang alaala ng aming mga mistahs noong nabubuhay pa sila.	most importantly, we do this tradition to remember the good memories of our squad members when they were still alive.
<6>	Dahil nasa Maynila lang ako nakadestino, minabuti kong sumama para muling mapadama sa aking mga namatay na mistah na hindi ko sila nakakalimutan.	because I was destined only in Manila, I preferred to join to again express to my dead squad members that I have not forgotten them.
<7>	Bawat isa sa aking mga mistahs ay merong halaga sa akin. Ngunit, merong iilan na may fond memories na nakaukit na sa aking puso't isipan.	each one of my squad members has value to me. but, there are some with fond memories carved to my heart and mind.
<8>	Nang nakita ko ang puntod ni Lt Col Ronaldo Sacatani ng Philippine Air Force, bigla kong naalala ang aming pinagsamahan sa Maguindanao noong 1997.	when I saw the grave of Lieutenant Colonel Ronaldo Sacatani of the Philippine Air Force, I instantly remembered our companionship in Maguindanao in 1997.
<9>	Allow me to share my memorable experience sa aking assignment sa balwarte ng mga Moro Islamic Liberation Front sa Central Mindanao nang malipat dito ang aking kumpanya, ang 7th Scout Ranger Company, noong January 1997.	allow me to share my memorable experience in my assignment to the fort of the Moro Islamic Liberation Front in Central Mindanao when my company was transferred there, the 7th scout ranger company, in January 1997.
<10>	Maguindanao adventures	Maguindanao adventures
<11>	Dumating ako sa Maguindanao noong ika-3 ng February 1997.	I arrived in Maguindanao on the 3rd of February 1997.
<12>	Nahuli akong dumating dito dahil sa ako ang nag-transport ng aming Kennedy Type Jeep lulan ng barko mula Maynila.	I was late to arrive there because I was the one who transported our Kennedy type jeep aboard a ship from Manila.
<13>	Nang ako ay dumating, kakatapos lang ng aking kubo-kubo.	when I arrived, my hut was just finished.
