<1>	SISTEMANG “BAHALA NA” SA PAG-AASAWA	a system of "whatever comes" in marriage
<2>	“ANG pag-aasawa ay hindi parang kaning isusubo at kapag napaso ay puwedeng iluwa,” wika ng mga nakatatanda.	"marriage is not like a rice that you feed in, and when you get burned, you can spit it out," the old ones said.
<3>	Hindi lamang iilan kundi napakarami nang mga kabataan ang nahuhulog sa pagkapahamak, sa pakikipaghiwalay sa kanilang mga katuwang sa buhay o asawa, dahil sa mga suliraning pampamilya na kanilang nararanasan sapagkat sila ay hindi pa hinog para lumusong sa buhay may-asawa.	not only to some but many young people have fallen to danger, to separation from their support in life or spouse, because of familial problems that they are experiencing because they are not ripe to wade through a married life.
<4>	Nagdurusa ang kanilang mga anak, nawawalan ng tunay na ama at ina upang gumabay sa kanila, kapag hindi na nakatiis ang bawat isa, sa hirap ng pagdadala ng buhay may-asawa.	their children are suffering, losing a real father and mother to guide them, but when they cannot endure each other, in the difficulty of carrying out the married life.
<5>	Sa obserbasyon natin sa kasalukuyang panahon, pabata nang pabata ang mga nagsisipag-asawa.	in our observation of the current times, those who are getting married are becoming younger and younger.
<6>	Mga katanungan ng inyong lingkod sa mga nag-iibigan.	the one in your service has a question to lovers.
<7>	May sapat na ba kayong edad at kakayahan na bumuhay ng pamilya?	do you have a sufficient age and ability to raise a family?
<8>	Kayo ba ay tapos na sa pag-aaral at may matatag nang hanapbuhay?	have you finished your studies and have a stable livelihood?
<9>	O, ang pahihirapan ninyo ay ang inyong mga magulang dahil sila ang bubuhay sa inyong bagong pamilya, at kayo ay makikitira sa kanila?	or, you are giving difficulty to your parents because they are going to raise your new family, and you are going to live with them?
<10>	Paano na iyan, kapag kapos na kayo sa pera, dahil hindi naman kayo tapos ng pag-aaral at walang matatag na hanapbuhay?	how will it be, when you are short of money, because you have not finished school yet and does not have a livelihood?
<11>	Saan kayo kukuha ng pang-upa sa bahay, pambayad sa kuryente, tubig, pagkain sa araw-araw, iba’t ibang gastusin, lalo na sa panahon ngayon, na lubhang napakataas ng uri ng pamumuhay?	where are you going to get the rent for the house, payment for electricity, water, food for the every day, various expenses, especially in the time now, the kind of lifestyles seemed to be higher?
<12>	Hindi natin maaaring sabihin ang mga katagang “bahala na”, sapagkat tiyak na ito ay magdudulot sa buhay natin ng walang katiyakang kinabukasan na lalong magdadala sa kahit kanino ng kapahamakan.	we cannot tell the words "whatever comes," because, surely, this will cause our lives with uncertain future which will bring anyone to danger.
<13>	Kaya nga sa mga kabataan, maski na sa nasa hustong gulang man, na nangangarap na lumusong sa buhay may-asawa, ngunit walang matatag na kabuhayan.	so for the youth, even those in the right age, who are dreaming of wading through a married life, but has not stable livelihood.
<14>	Magdasal at humingi ng gabay ng Panginoon bago kayong magdesisyon sa iyong gagawin.	pray and ask guidance from God before you decide on your tasks.
<15>	H’wag magmadali, mas marami pang pagkakataon ang sasapit sa inyong buhay na lalong magdudulot ng ginhawa, kaligayahan na kailanman ay hindi ninyo pagsisisihan hanggang sa inyong pagtanda, dahil tama ang inyong ginawa.	do not hurry, there are many opportunities which will arrive in your life which will cause relief, happiness which you will never ever regret until you get old, because you have done what is right.
