<1>	100,000 kilos ng seaweed seedling, nakatakdang ipamahagi ng DA-BFAR sa Palawan	100,000 kilos of seaweed seedling to be distributed by DA-BFAR in Palawan
<2>	November 06, 2016	November 06, 2016
<3>	PUERTO PRINCESA, Palawan, Nob 6 (PIA) --- Umaabot sa 100,000 kilo ng seaweed seedlings ang nakatakdang ipamahagi ng Department of Agriculture-Bureau of Fisheries and Aquatic Resources (DA-BFAR)-Mimaropa para sa mga mangingisda sa Palawan.	Puerto Princesa, Palawan, November 6 (PIA) - up to 100,000 kilos of seaweed seedlings are schedule to be distributed by the Department of Agriculture-Bureau of Fisheries and Aquatic Resources (DA-BFAR)-Mimaropa for the fishermen in Palawan.
<4>	Ito ang inihayag ni DA-BFAR Regional Fisheries Research & Development Center Chief Roberto Abrera sa isinagawang press conference kahapon ng umaga kaugnay ng pagpapatupad ng closed season o ang pagbabawal sa panghuhuli ng isdang galunggong sa bahaging hilagang silangan ng Palawan na nagsimula noong Nobyembre 1 at magtatagal hanggang Enero 31, 2017.	this was announced by DA-BFAR Regional Fisheries Research & Development Center Chief Roberto Abrera at the press conference held yesterday morning on the implementation of closed season or the ban on fishing of mackerel near the north-eastern part of Palawan which started on November 1 and will last until January 31, 2017.
<5>	Ayon kay DA-BFAR-Mimaropa Officer-In-Charge Regional Director Elizer S.	according to DA-BFAR-Mimaropa Officer-in-Charge Regional Director Elizer S
<6>	Salilig, isinagawa na ang public bidding para sa magiging distributor ng seaweed seedlings at kapag handa na ang lahat ay ipamamahagi na ito bago matapos ang taong 2016.	a public bidding for the distributors of seaweed seedlings was already done and when everyone is ready, these will be distributed before the end of year 2016.
<7>	Nagkakahalaga aniya ng kabuuhang Php11 milyon ang pondo para sa programang ito.	the fund for this program is allegedly worth a total of Php11 million.
<8>	Ang hakbang na ito ng DA-BFAR ay bilang pagsuporta sa mga mangingisda ng Palawan na nahaharap sa mga suliraning tulad ng closed and open season sa ilang uri ng isda tulad ng galunggong at lapu-lapu.	this step of the DA-BFAR is to support the fishermen of Palawan faced with problems such as closed and open season in some type of fish like mackerel and lapu-lapu.
<9>	Ayon naman kay Abrera, sa pamamagitan ng pagtatanim ng seaweed o tambalang ay matutulungan ang mga mangingisda na magkaroon ng alternatibong hanapbuhay sa mga panahon na ipinagbabawal ang panghuhuli ng piling uri ng isda.	Abrera said the planting of seaweed or tambalang can help the fishermen to have an alternative livelihood during times when fishing some types of fish are prohibited.
<10>	Dagdag pa ni Abrera, pangunahing mabibiyaan ng programang seaweed farming ay ang mga mangingisda na rehistrado sa municipal fisherfolk registry ng bawat munisipyo sa Palawan.	he added the primary beneficiaries of the seaweed farming program are the fishermen registered with the municipal fisherfolk registry of each municipality in Palawan.
<11>	Sa kasalukuyan ay nasa mahigit 30,000 mga mangingisda ang rehistrado na at patuloy pa rin ang isinasagawang pagrerehistro sa iba pang mangingisda na hindi nakasama sa talaan ng munisipyo.	currently, there are already more than 30,000 fishermen registered and there is an ongoing registration of fishermen who were not included in the municipal registry.
<12>	Nasa 25-30 porsiyento naman sa kabuuhang farmable area para sa seaweeds ang nagagamit na ng mga mangingisda, ani Abrera at mayroon pang 70 porsiyento ang hindi nagagamit at ito ngayon ang target ng DA-BFAR para sa mga mabi- benepisyuhan ng programang ito. (OCJ/PIA-Palawan)	Abrera said only 25-30 percent of the whole farmable area for seaweeds are used by the fishermen, and 70 percent are not utilized and this is now target of the DA-BFAR for the beneficiaries this program. (OCJ/PIA-Palawan)
