<1>	I Know Better: Iya, gigil na gigil sa leeg ni Drew!	I know better: Iya, extremely delighted by Drew's neck!
<2>	By Jun Nardo June 9, 2016 Sanib-­puwersa na ang mag-asa­wang Drew ­Arellano at Iya Villania bilang hosts ng season 2 ng Home Foodie.	by Jun Nardo June 9, 2016 the married couple Drew Arellano and Iya Villania join forces as hosts of season 2 of Home Foodie.
<3>	Solo frame sa ­unang season si Drew kasama ang ilang chefs.	in the first season Drew was in solo frame together with a few chefs.
<4>	This time, silang mag-asawa na ang hosts ng cooking show at una nilang pagsasama ito sa isang programa.	this time, the couple are the hosts of the cooking show and this is their first partnership in a program.
<5>	Eh kahit pitong buwan na ang tiyan ni Iya, walang ipinagbawal si Drew sa asawa sa pagtanggap ng trabaho.	even if Iya is seven months pregnant, Drew does not ban her from accepting any work.
<6>	“She’s a very strong woman.	"she's a very strong woman.
<7>	She’s very responsible for her own self.	she's very responsible for her own self.
<8>	She is very responsible in making her own decisions also.	she is very responsible in making her own decisions also.
<9>	“Kasi tulad ng sinabi ng doctor na pakiramdaman mo ang katawan mo, if you can still feel na kaya mo, if you can still run, gawin mo.	like what the doctor said that you can tell from your body, if you can still feel that you are capable, if you can still run, do it.
<10>	It’s actually good for her recovery after she gives birth,” pahayag ni Drew sa presscon ng ­cooking show.	it's actually good for her recovery after she gives birth," Drew stated in the press conference of the cooking show.
<11>	Hindi ba siya pinaglinhan ng asawa?	did his wife crave for him during pregnancy?
<12>	“Dito (leeg).	"here (neck).
<13>	Ito ang paborito ng misis ko,” tugon niya.	this is my wife's favorite," he answered.
<14>	Magsisimula ang Home Foodie sa June 13, Mondays-Fridays, after ng Unang Hirit.	Home Foodie will start on June 13, Mondays-Fridays, after Unang Hirit.
<15>	Sa programa, San Miguel Pure Foods products ang mga ingredient at makakasama ng mag-asawa ang expert chefs mula sa San Miguel Pure Foods Culinary Center na sina Chefs Llena Tan-Arcenas, Rene Ruz at RJ Garcia.	in the program, the ingredients are San Miguel Pure Foods products and the couple will be joined by expert chefs from the San Miguel Pure Foods Culinary Center chefs Llena Tan-Arcenas, Rene Ruz and RJ Garcia.
<16>	Mark Herras, pasado kay Joey Marquez!	Mark Herras, qualified for Joey Marquez!
<17>	Lantaran na ang relasyon nina Mark Herras at Winwyn Marquez.	the relationship of Mark Herras and Winwyn Marquez is already public.
<18>	Hindi nila inilihim ang ­ginawa nilang biyahe sa Hong Kong.	they did not hide their trip to Hong Kong.
<19>	Sa post ni Mark sa Instagram account niya, ­buong-ningning niyang pinost na si Wyn ang ­babaeng gusto niyang makasama habambuhay, huh!	from the post of Mark in his Instagram account, he beamingly posted that Wyn is the woman he wants to be with forever, huh!
<20>	Apparently, pasado naman si Mark kay Joey Marquez kaya pinayagan ang anak na bumiyahe sa HK.	apparently, Mark is qualified for Joey Marquez so he let his daughter travel to HK.
<21>	Dati kasi, si Wyn pa ang umaayaw kay Mark pero in the end, ­nahulog din ang loob niya sa ­aktor.	because before, it was Wyn who rejects Mark but in the end, she also fell for the actor.
<22>	Mukhang may dala namang ­suwerte si Wyn sa career ni Mark.	it seems Wyn brings luck to Mark's career.
<23>	This month kasi, ­mapapanood ang Kapuso actor sa ­dalawang shows sa GMA, ang afternoon drama na Sa Piling ni Nanay at ang Conan, The Beautician na produced ng GMA News & Public Affairs.	because this month, the Kapuso actor can be seen in two shows on GMA, the afternoon drama Sa Piling ni Nanay and Conan, The Beautician produced by GMA News & Public Affairs.
<24>	Heart, itinatago kay Chiz ang ‘halikan’ kay Dennis!	Heart, hid from Chiz the "make out" with Dennis!
<25>	Nahihiya rin si Heart Evangelista sa asawang si Senator Chiz ­Escudero kapag ‘yung maharot scenes niya ang umeere sa Juan Happy Love Story at napapanood ng asawa.	Heart Evangelista also feels embarrassed to husband Senator Chiz Escudero when her raunchy scenes air on Juan Happy Love Story and are seen by her husband.
<26>	Minsan nga raw, ­tinatakpan niya ang mata ng asawa kapag ‘yung kissing scene nila ni Dennis (Trillo) ang nasa screen.	supposedly sometimes, she covers her husband's eyes when her kissing scene with Dennis (Trillo) is on screen.
<27>	“Tinututukan kasi talaga niya ‘yung soap.	"because he really follows the soap.
<28>	Natatawa rin siya.	he ends up laughing too.
<29>	Tapos, feeling niya, awkward din, di ba?	and then, he feels, it's awkward too, right?
<30>	“Magpi-painting na lang ako kunwari, baka sakaling hindi niya mapanood.	"I will just pretend to paint, maybe he won't see it.
<31>	Kapag sa ­kusina siya nanonood doon ako sa may sala.	if he watches in the kitchen I will be by the living room.
<32>	Magpi-­painting ako roon kasi nahihiya rin ako eh,” tsika ni Heart sa press na bumisita sa taping ng programa.	I will paint there because I also feel embarrassed," Heart shares to the press who visited the taping of the program.
