<1>	Handa nang gunitain ng mga rebolusyonaryong pwersa ang ika-44 na anibersaryo ng PKP	the revolutionary forces are now ready to commemorate the 44th anniversary of PKP.
<2>	Kawanihan sa Impormasyon	bureau of information
<3>	Partido Komunista ng Pilipinas	communist party of the Philippines
<4>	Disyembre 24, 2012	December 24, 2012
<5>	Translation: Revolutionary forces are all set to mark CPP's 44th anniversary	translation: revolutionary forces are all set to mark CPP's 44th anniversary
<6>	Ipinahayag ng Partido Komunista ng Pilipinas (PKP) na nakahanda na ang mga rebolusyonaryong pwersa sa buong Pilipinas na gunitain ang ika-44 na anibersasryo ng muling pagkakatatag ng Partido Komunista ng Pilipinas sa Disyembre 26.	the Communist Party of the Philippines (PKP) announced that the revolutionary forces in the whole Philippines are now ready to commemorate that 44th founding anniversary of the Communist Party of the Philippines on December 26.
<7>	Tulad ng dati, magkakaroon ng daan-daang maliliit at malalaking asembliyang masa sa mahigit 110 larangang gerilya sa buong bansa, maging ng mga pagtitipon at mga pulong pag-aaral sa mga paaralan, maralitang komunidad, upisina, liwasan, bahayan at iba pang lugar upang konsolidahin ang hanay ng PKP at mga aktibistang masa sa pamamagitan pagtataya sa kasalukuyang kalagayan at pagtukoy sa mga tungkulin ng rebolusyonaryong kilusan.	like before, there will be hundreds of small and large mass assemblies in more than 110 guerrilla areas in the whole country, even the gatherings and study groups in schools, poor communities, offices, parks, housings and other places to consolidate the ranks of the PKP and the activist mass by assessing the current state and identifying the responsibilities of the revolutionary movement.
<8>	"Magsisilbing okasyon ang mga aktibidad para sa anibersaryo ngayon ng PKP upang ipahayag ang pakikiisa nito sa milyun-milyong maralita at panggitnang magsasaka, mangingisda at karaniwang mamamayan sa Katimugan, Gitnang-Silangang at Northern Mindanao, maging sa ilang prubinsya sa Kabisayaan na malubhang dumanas ng malawakang pagbaha at pagkawasak na dulot ng malakas na bagyong humagupit nitong maagang bahagi ng buwan."	"the activities will serve as an occasion for the anniversary of the PKP to announce its support to the millions of needy and mediocre farmers, fishermen and ordinary citizen in the north, middle-east and northern Mindanao, even to the few provinces in Visayas that greatly suffered flooding and destruction due to the strong storm that hit early this month."
<9>	"Sa gitna ng malawakang kalamidad at krisis panlipunan, gugunitain ng PKP ang anibersaryo nito sa mga pagdiriwang ng mga signipikanteng tagumpay sa nakaraang taon, maging ang natipong tagumpay sa mga nakaraang taon sa lahat ng larangan ng pakikibaka."	"amidst the wide scale calamities and crisis in the society, the PKP will commemorate its anniversary by celebrating significant victories last year, even the accumulated victories of the previous years in all the fields of warfare."
<10>	Magsisilbi rin ang mga aktibidad sa anibersaryo ng PKP upang gunitain ang ika-20 taong anibersaryo ng Ikalawang Dakilang Kilusang Pagwawasto noong 1992-1998.	the activities in the anniversary of PKP will also serve to commemorate the 20th year anniversary of the second great rectification movement back in 1992-1998.
<11>	Isinagawa ng PKP ang kilusang pagwawasto upang punahin at pangibabawan ang mga mayor na kamalian at kahinaan.	PKP conducted the rectification movement to criticize and to overcome the major mistakes and weaknesses.
<12>	"Hindi makakamit ang mga natipong tagumpay noong mga nakaraang taon kung hindi sa Ikalawang Dakilang Kilusang Pagwawasto."	"the accumulated success cannot be achieved in the previous years if not for the second great rectification movement."
<13>	Binatikos ng PKP ang AFP sa pagpapaigting ng pagtatayo nito ng mga checkpoint at iba pang pagharang sa mga daan sa mga lugar na tinataya nitong pagdarausan ng mga pagtitipon ng mamamayan, upang pigilan ang galaw ng taumbayan, takutin at hadlangan silang dumalo sa mga pagtitipon.	the PKP criticized the AFP by tightening the construction of checkpoints and other barricades on the road in estimated places where the meeting of the citizen will be help, to stop the flow of the people, to scare and stop them from attending the gathering.
<14>	Nananawagan ang PKP sa Armed Forces of the Philipines (AFP) na tumalima sa kasunduan sa isang tigil-putukan at igalang ang karapatan ng mamamayang dumalo sa mga aktibidad para sa anibersaryo ng PKP.	the PKP called the attention of the armed forces of the Philippines (AFP) to obey the agreement of a cease fire and to respect the rights of the citizen to attend the activity for the anniversary of PKP.
