<1>	Sikolohiya at Seksismo	psychology and sexism
<2>	by Teo S. Marasigan	by Teo S. Marasigan
<3>	March 8, 2012	March 8, 2012
<4>	Sa ngayon, alam na ng marami ang kasong sexual harassment na isinampa ni Cristy Ramos, anak ni dating Pang. Fidel V. Ramos at match commissioner ng FIFA, laban sa dalawang manlalaro ng Azkals.	for now, many know about the sexual harassment case filed by Cristy Ramos, child of the former President Fidel V. Ramos and match commissioner of FIFA against the two Azkals players.
<5>	Aniya, nagsasagawa siya ng “team check” sa dugout ng koponan ng football nang mangyari ang insidente.	according to her, she is conducting a team check in the dugout of the football team when the incident happened.
<6>	Ang manlalarong si Lexton Moy, humirit daw tungkol sa size ng bra niya, at nagtawanan ang mga manlalaro.	the player Lexton Moy, strike about the size of her bra and the players laughed.
<7>	Si Angel Guirado naman, hinarap siya nang naka-brief, parang nanunubok at hindi nagtakip.	Angel Guirado faced her on his brief, seems attempting and does not cover up.
<8>	Ilang araw pagkatapos pumutok ang eskandalo, lumabas ang balita: “Welfare chief suggests psychiatric exams for Azkals.”	few days after the scandal exploded, a news came out: "welfare chief suggests psychiatric exams for Azkals."
<9>	Ang tinutukoy, syempre pa, ay si Sek. Corazon “Dinky” Soliman ng Department of Social Welfare and Development.	the one pointed out, of course, is Secretary Corazon "Dinky" Soliman of the Department of Social Welfare and Development.
<10>	Halu-halo ang panukala niya sa Azkals: pumailalim sa ebalwasyong psychiatric at sikolohikal, unawaing iba ang kultura ng Pilipinas sa kinalakhan nila, magkaroon ng pag-aaral sa pagpapahalaga (values education).	her proposals to the Azkals are mixed up: undergo psychiatric and psychological evaluation, understand the culture of the Philippines is different from where they have grown up, have values education (values education).
<11>	Kailangan daw maganda ang asal ng mga iniidolo.	the attitude of those who are idolized needs to be good.
<12>	Ano ang lumalabas sa mga pahayag ni Soliman, sadya man o hindi?	what is shown in the statements of Soliman, intentional or not?
<13>	Na ang seksismong ipinakita umano ng mga Azkals ay isang anomalya, hindi pangkaraniwan – na may problema sila sa pag-iisip o pagpapahalaga at ang lipunan natin ay hindi seksista.	the sexism shown the by Azkals is an anomaly, not ordinary - they have problems in the mind or values and our society is not sexist.
<14>	Itinuturing niyang sakit ang ipinakita umano ng mga Azkals, pero kinokordonan niya ito, para hindi makitang nananalaytay ito sa buong lipunan.	she considers what the Azkals have shown as a disease, but contains it, so it will not be shown flowing through the whole society.
<15>	Ang mga Azkals lang ang may problema, hindi ang ating lipunan.	only the Azkals have problems, not our society.
<16>	Dapat silang gamutin, hindi ang ating lipunan.	they should be treated, not our society.
<17>	Pero hindi abnormal kundi normal, hindi anomalya kundi karaniwan, ang seksismong ipinakita ng mga Azkals.	the sexism shown by Azkals is not abnormal but normal, not anomalous but ordinary.
<18>	May katotohanan ang pahayag ng team manager ng Azkals na si Dan Palami, na humihingi na ng paumanhin ay nagdadahilan pa: “Sa personal kong karanasan sa karaniwang nagaganap sa locker room ng mga lalake, nagdudulot ang tensyon, excitement, at nerbyosong enerhiya bago ang laban ng sangkatutak na maingay na yabangan.”	there is a truth in the statement of the team manager of Azkals Dan Palami, though asking for an apology but reasoning out that: "on my personal experience on the usual events in men's locker room, a fight of many noisy boasting creates tension, excitement, and nervous energies."
<19>	Pwede raw talagang mapagkamalang “kawalang-respeto” ang ganito.	this could really be mistaken as lack of respect.
<20>	Hindi ito pag-abswelto sa mga Azkals.	but this is not absolving Azkals.
<21>	Dapat silang managot sa ginawa nila, at kahanga-hanga si Ramos sa pagsasampa at pagpupursige ng kaso laban sa sikat na koponan.	they should be held accountable in what they did, Ramos is admirable in filing and persevering the case against the famous team.
<22>	Pero maraming tanong ang sinasagkaan ng banat ni Soliman.	but a lot of questions are faced by Soliman's retaliation.
<23>	Ito lang ba ang kaso na ang babae ay awtomatikong itinuring na humihingi ng atensyong sekswal?	is this the only case where a woman is automatically considered to be asking for a sexual attention?
<24>	Na ang babae, na sa kasong ito’y nasa awtoridad, ay “inilugar” ng kalalakihan?	that the woman, in this case is in the authority, is put by the men in her proper place?
<25>	Paano ang sexual harassment sa kababaihan sa mga call centers, mga export-processing zones, at iba pa?	how about the sexual harassment of women in call centers, export-processing zones, and others?
<26>	Sosyal-demokratiko ang pulitika ni Soliman, na umaasa sa indibidwal na pagbabago ng ugali at pagpapahalaga para sa pagbabagong panlipunan.	the politics of Soliman is social-democratic, which is hoping for an individual change of attitude and values for societal change.
<27>	Sa kasong ito, itinuturing niyang pribado – isinasapribado, pribatisasyon? – ang isang suliraning panlipunan.	in this case, she is considering this as private - privatized or privatization? - a societal problem.
<28>	Tugma rito ang galaw ng neoliberalismo na tinukoy ni Mark Fisher, progresibong blogger na Ingles.	fits here is the movement of neoliberalism described by Mark Fisher, an English progressive blogger.
<29>	“Ang tanong,” aniya, “ay hindi na ‘paano ka nagkasakit dahil sa trabaho?	"the question," according to him, "is not how did you get sick because of work?
<30>	’ kundi ‘ano’ng mayroon ka at hindi mo nagawa nang tama ang trabaho mo?’”	but what you have and have not done your work right?
<31>	Nasa saklaw ng normal para sa kalalakihan ang inasal ng mga Azkals.	what demeanor of the Azkals is included as normal for males.
<32>	Kaya higit sa kanila, ang nangangailangan ng psychiatric exams ay ang ating buong lipunan.	so, more than them, the whole society needs psychiatric exams.
