<1>	Daan-daang magniniyog na lumusob sa NAPC, di hinarap ng ‘coco levy fund mafia’	Hundreds of coconut farmers attack the NAPC, were not addressed by the 'coco levy fund mafia'
<2>	Sa ikatlong pagkakataon ng paglusob sa National Anti-Poverty Commission (NAPC), hindi hinarap ni NAPC Sek. Joel Rocamora ang mga magniniyog na iginigiit ang kagyat na distribusyon ng pondong coco levy.	during the third attack on the National Anti-Poverty Commission (NAPC), Secretary Joel Rocamora refused to address the coconut farmers who insist on the immediate distribution of coco levy funds.
<3>	Daan-daang magsasaka mula sa Bicol, Quezon, Aurora at Cagayan ang tumalon sa bakod o lumusot sa ilalim ng kinandadong gate ng NAPC para makausap sana si Rocamora.	hundreds of farmers from Bicol, Quezon, Aurora and Cagayan either jumped over the fence or went under the locked gate of the NAPC in the hopes of speaking with Rocamora.
<4>	Binarikadahan ng mga guwardiya ang pintuan ng NAPC at binugahan ng mga fire extinguisher ang mga magniniyog.	guards barricaded the door to the NAPC and blasted the coconut farmers with fire extinguishers.
<5>	Naglabas din ng M-16 armalayt ang isang pulis, bagay na ikinagalit ng mga demonstrador.	one policeman relinquished an M-16 armalite, which angered the demonstrators.
<6>	(Tingnan ang mga larawan sa ibaba)	(view the images below)
<7>	Ayon kay Sr. Supt. Richard Albano, direktor ng Quezon City Police District, ipinaaabot umano ni Rocamora na dapat ay “sumulat” na lamang ang mga magniniyog para makapag-iskedyul ng dayalogo.	according to Senior Superintendent Richard Albano, director of the Quezon City Police District, Rocamora allegedly suggested that the coconut farmers should "write" in order to schedule a dialogue.
<8>	Ngunit ayon kay Willy Marbella ng Kilusang Magbubukid ng Pilipinas (KMP), matagal na silang hindi hinaharap ni Rocamora, na bahagi ng tinawag niyang “coco levy fund mafia.”	however, according to Willy Marbella of the Kilusang Magbubukid ng Pilipinas (KMP), they have long been avoided by Rocamora, who is part of what he called the "coco levy fund mafia."
<9>	Tinutukoy niya ang Presidential Task Force on the Coco Levy Funds na binuo ni Pangulong Aquino para pangasiwaan umano ang paggamit sa pondong coco levy.	he is referring to the Presidential Task Force on the Coco Levy funds formed by President Aquino which was supposed to manage the use of coco levy funds.
<10>	Inihayag ng NAPC na gagamitin ang pondo, kung saan P56 Bilyon ang nai-remit na sa National Treasury noong nakaraang taon, sa Conditional Cash Transfer at Comprehensive Agrarian Reform Program.	the NAPC announced that the funds, P56 Billion of which was already remitted to the National Treasury last year, will be used for the Conditional Cash Transfer and Comprehensive Agrarian Reform Program.
<11>	Tinututulan ito ng mga magniniyog.	coconut farmers opposed this.
<12>	“Walang karapatan si Noynoy Aquino at anumang ahensiya niya na gamitin ang coco levy funds sa ano mang programa nila o sa ano pa mang kadahilanan.	"Noynoy Aquino and any agency of his has no right to use the coco levy funds for any of their programs or for any other reason.
<13>	Ang coco levy funds ay pera ng mga magniniyog kaya ang mga magniniyog lamang ang may solong karapatan na magdesisyon kung ano man ang gagawin dito,” ayon kay Nestor Villanueva, Southern Tagalog coordinator ng grupong Claim (Coco Levy Funds Ibalik Sa Amin).	the coco levy funds are the coconut farmers' money, thus only the coconut farmers have the sole right to decide on what to do with it," says Nestor Villanueva, Southern Tagalog coordinator of the group Claim (Coco Levy funds Return it to Us).
<14>	“Hindi panatag ang mga magniniyog na ang pera nila ay nasa kamay ng Hacienderong Pangulo…Kaya hindi tayo umaasa na mababawi natin ang coco levy funds sa pamamagitan lamang ng pakiusap kundi sa pamamagitan ng paggigiit ng aming mga karapatan,” dagdag ni Villanueva.	"the coconut farmers are uneasy knowing that their money lies in the hands of a wealthy, landlord president. That's why we no longer expect to take back the coco levy funds merely by means of dialogue, but by insisting on our rights," adds Villanueva.
<15>	Samantala, ibinulgar naman ng KMP na humihingi si Rocamora ng P1.6-B na “advance” mula sa pondong coco levy.	meanwhile, the KMP disclosed that Rocamora asked for a P1.6 billion "advance" from the coco levy funds.
<16>	Para umano ito sa “anti-peasant poverty reduction roadmap” ng industriya ng niyog.	it was allegedly for the "anti-peasant poverty reduction roadmap" of the coconut industry.
<17>	Pero ayon sa mga magniniyog, may regular nang pondo ang mga programa ng NAPC.	however, according to the coconut farmers, there is already regular funding for the programs of the NAPC.
<18>	Pangamba nila, gagamitin ang pondo sa darating na halalan, partikular sa kampanya umano ni Akbayan Rep. Risa Hontiveros, na tatakbo sa ilalim ng senatorial slate ni Aquino.	they fear that the funds will be used in the upcoming election, particularly in the campaign of Akbayan Representative Risa Hontiveros, who is running under the senatorial slate of Aquino.
<19>	Si Rocamora ay dating tagapangulo ng Akbayan.	Rocamora was a former chairman of Akbayan.
<20>	“Hindi lamang ang bulsa nila ang kanilang pinatataba, kundi pati ang campaign chest ng kanilang partido,” sabi ni Marbella.	"they are fattening not only their own pockets, but their party's campaign chest as well," says Marbella.
<21>	Nananawagan ang KMP at CLAIM ng distribusyon ng coco levy funds sa pamamagitan ng “social benefits” gaya ng pensyon at benepisyo sa kalusugan at edukasyon.	KMP and CLAIM are calling for the distribution of coco levy funds through "social benefits" such as pensions and health and education benefits.
<22>	Isinusulong nila ang House Bill 3443 o Coconut Levy Funds Administration and Management Act ni Anakpawis Rep. Rafael Mariano.	they are promoting House Bill 3443 or the Coconut Levy funds Administration and Management Act of Anakpawis Representative Rafael Mariano.
<23>	Layon ng HB 3433 na mabuo ng konseho na kinabibilangan mismo ng mga magniniyog.	the purpose of HB 3433 is to form a council that includes the coconut farmers themselves.
<24>	Samantala, sa isang pahayag na ipinamahagi sa midya, sinabi ni Rocamora na “malaki ang pagkakapareho” ng panukalang HB 3433 at NAPC Roadmap.	meanwhile, in a statement to the media, Rocamora said that the proposed HB 3433 and the NAPC Roadmap had "many similarities".
<25>	Aniya, sinasalubong niya ang pagiging mapagmatiyag ng mga magniniyog.	he said he welcomes the vigilance of the coconut farmers.
<26>	“Let us work on our common goals,” aniya.	"let us work on our common goals," he said.
