<1>	Pag-aangkop (Adaptasyon)	adaptation (adaptation)
<2>	BURADOR (DRAFT)	draft (draft)
<3>	PAG-AANGKOP (ADAPTASYON) SA NAGAGANAP NA PAGBABAGO NG PANAHON	adaptation (adaptation) to the ongoing change in climate
<4>	ni Gregorio V. Bituin Jr. inihanda para sa Komite sa Adaptasyon ng Philippine Movement for Climate Justice (PMCJ)	by Gregorio V. Bituin Junior prepared for the Committee on Adaptation of the Philippine Movement for Climate Justice (PMCJ)
<5>	Dahil sa pagbabago ng klima, naganap ang maraming delubyong hindi inaasahan ng taumbayan.	due to climate change, many calamities that the people do not expect happened.
<6>	Lumubog sa tubig ang mga kalunsuran, ang mga kanayunan, at maging ang kabundukan.	cities, villages, and even the mountains, were submerged in water.
<7>	Nanariwa sa akin ang sinabi ng isang kasama na mismong ang Lungsod ng Baguio ay nilubog sa baha.	I remember when one of my colleagues said the City of Baguio itself was submerged in flood.
<8>	Napakataas ng Baguio para bahain.	Baguio is too elevated to be flooded.
<9>	Ngunit binaha ito dahil sa mga basurang bumara sa mga kanal.	but it flooded because garbage clogged the sewers.
<10>	Maraming konsepto ng adaptasyon o kung paano tayo aangkop sa ganitong nagaganap na kalamidad.	there are many concepts of adaptation or how we are going to adapt to this ongoing calamity.
<11>	Napakaraming aghamanon (syentista) at mga propesyunal ang nagbigay ng iba't ibang kahulugan o depinisyon kung ano nga ba ang adaptasyon.	there were many scientists (scientists) and professionals who gave different meanings or definitions to what an adaptation really is.
<12>	Tingnan natin ang bawat isa.	let us look at each one.
<13>	a. Adaptation - Adjustment in natural or human systems in response to actual or expected climatic stimuli or their effects, which moderates harm or exploits beneficial opportunities.	a. adaptation - adjustment in natural or human systems in response to actual or expected climactic stimuli or their effects, which moderates harm or exploits beneficial opportunities.
<14>	Various types of adaptation can be distinguished, including anticipatory and reactive adaptation, private and public adaptation, and autonomous and planned adaptation (IPCC TAR, 2001 a)	various types of adaptation can be distinguished, including anticipatory and reactive adaptation, private and public adaptation, and autonomous and planned adaptation (IPCC TAR, 2001 a)
<15>	b. Adaptation - Practical steps to protect countries and communities from the likely disruption and damage that will result from effects of climate change.	b. adaptation - practical steps to protect countries and communities from the likely disruption and damage that will result from effects of climate change.
<16>	For example, flood walls should be built and in numerous cases it is probably advisable to move human settlements out of flood plains and other low-lying areas…” (Website of the UNFCCC Secretariat)	for example, flood walls should be built and in numerous cases it is probably advisable to move human settlements out of flood plains and other low-lying areas. (website of the UNFCCC Secretariat)
