<1>	Pushing the offensive	pushing the offensive
<2>	ni Jerome Tagaro	by Jerome Tagaro
<3>	Nitong nakaraang linggo, naging matunog sa mga balita ang mga pambobombang naganap sa pagitan ng gobyerno ng Israel at ng Hamas, ang grupong kumokontrol sa Gaza Strip.	this past week, news of the bombing that took place between the government of Israel and the Hamas, the group controlling the Gaza Strip, made noise.
<4>	Ang lahat ng mga pambobombang ito ay bahagi umano ng opensiba ng Israel na nagsimula noong Nobyembre 14 upang tuluyan nang matigil ang pambobomba ng Gaza sa nasasakupan nito.	all of these bombings are supposedly part of the offensive of Israel that started on November 14 to completely stop Gaza's bombing of its territory.
<5>	Itinatag upang pigilin ang pananakop ng Israel at palitan ang estadong Israeli ng isang Islamic Palestinian state, isa ang Hamas sa dalawang grupong kumokontrol sa mga teritoryo ng Palestine, na binubuo ng West Bank at Gaza Strip.	founded to stop the colonization of Israel and replace the Israeli state with an Islamic Palestinian state, Hamas is one of two groups controlling the territory of Palestine, consisting of the West Bank and Gaza Strip.
<6>	Madaling sabihing lohikal ang kadahilanan ng Israel para sa opensibang inilunsad nito.	it is easy to say the excuse that the offensive Israel launched is logical.
<7>	Tunay nga namang tungkulin ng gobyerno na alagaan ang nasasakupan nito.	it is truly the responsibility of the government to care for its jurisdiction.
<8>	Ngunit kung sisipatin natin ang pinakahuling bilang ng mga nasaktan sa mga pambobomba, malalamang tatlo sa mga namatay ang Israeli, habang higit sa 100 naman ang mga Palestinian na karamihan ay mga sibilyan.	but if we will examine the last number of casualties from the bombing, we will know that three who died are Israelis, while more than 100 were Palestinians many of which are civilians.
<9>	Napakalaki yata ng pinagkaiba ng dalawang bilang na ito para sabihing ipinagtatanggol lamang ng Israel ang mamamayan nito.	the difference of these two numbers seem too big to say that Israel is just defending its citizens.
<10>	Ipinaliwanag ng gobyerno ng Israel na ang mga civilian casualties na ito ay hindi maiiwasan.	the government of Israel explained that these civilian casualties cannot be prevented.
<11>	Hindi sila umano masisisi sa mga nadadamay na sibilyan dahil ang mga target nila ay nakapuwesto sa matataong lugar.	they supposedly cannot be blamed for the civilians involved because their targets are positioned in crowded areas.
<12>	Kasama sa mga tinamaan ng bomba ng mga Israeli ay mga residential area, ospital, ilang media outlet, at isang dating national security compound.	included in those hit by Israeli bombs are residential areas, hospitals, some media outlets, and one former national security compound.
<13>	Kung babalikan ang kasaysayan, mga Palestinians ang orihinal na nagmamay-ari ng lupang nasasakupan ngayon ng Israel hanggang sa pormal na hatiin ang teritoryo sa dalawa noong 1948 sa isang deklarasyon ng United Nations.	if we return to history, Palestinians are the original owners of the land covered by Israel today until the territory was formally divided in 1948 in a United Nations declaration.
<14>	Ang pangunahing dahilan ng paghahating ito ay upang magkaroon ng sariling bansa ang mga Hudyo na naging biktima ng mga Nazi noong World War II.	the primary reason for this division is for the Jews who became Nazi victims in World War II to have their own country.
<15>	Mula noon ay unti-unti nang kinamkam ng Israel ang mga teritoryo ng Palestine sa pamamagitan ng dahas.	since then Israel gradually claimed the territories of Palestine through violence.
<16>	Sa puntong ito, anong estado nga ba ang talagang dinedepensahan lamang ang sarili?	at this point, what state is just really defending itself?
<17>	Mahalagang isipin na ang mga pambobombang binabanggit ng gobyerno ng Israel ay naganap lamang nitong mga nakaraang buwan.	it is important to consider that the bombing mentioned by the government of Israel only happened in the past months.
<18>	Ilang dekada na ang hidwaan sa pagitan ng dalawang grupo, kung saan hindi mga taga-Israel kundi mga taga-Gaza ang nawawalan ng lupa at nababawasan ng mga sibilyan.	the conflict between the two groups is decades old, wherein it is not the Israelis but the Gazans who lose land and lose civilians.
<19>	Ibang usapan pa ang dami at kalidad ng militar ng dalawang bansa.	the quantity and quality of the military of the two countries is another issue.
<20>	Mahina at kakaunti lamang ang mga puwersa at mga handcrafted rockets lamang ang pinapakawalan ng Hamas.	the forces are weak and few and only handcrafted rockets are released by Hamas.
<21>	Samantala, armado naman ang Israel ng mga tangke, F-16, drones at ilang-daang-libong bihasang sundalo, dagdag pa ang ibinibigay na tulong ng US na umaabot sa $8.3 milyon kada araw.	meanwhile, Israel is armed with tanks, F-16s, drones and hundreds of thousands of skilled soldiers, in addition to the assistance given by the US that is worth up to $8.3 million per day.
<22>	Sa gulong ito sa Gaza, makikita ang walang paumanhing pakikialam ng US.	in this conflict in Gaza, the inconsiderate involvement of the US can be seen.
<23>	Patunay nito ang pagpanig ni US president Barrack Obama sa Israel sa inilunsad nitong opensiba.	proof of this is US president Barrack Obama siding with Israel in the offensive it launched.
<24>	Hindi na kagulat-gulat ang aksyon niyang ito sapagkat ang Israel ang tumatayong outpost ng Estados Unidos sa Middle East.	this action of his is not surprising because Israel serves as the outpost of the United States in the Middle East.
<25>	Malinaw ang mensaheng ipinaparating ng nakaraang eleksyon sa US, kung saan bagama’t magkaiba ang pinanggalingang partido nina Mitt Romney at Barrack Obama, wala halos ipinagkaiba ang mga isinusulong nilang foreign policies.	the past election in the US expresses a clear message, wherein despite Mitt Romney and Barrack Obama coming from different parties, the foreign policies they are pushing for are almost the same.
<26>	Ibig sabihin, kahit sino pang manalo sa naganap na eleksyon, wala pa ring pagbabagong maaasahan ang ibang mga bansa, partikular sa Gaza.	meaning, no matter who won the election that took place, no change can be expected in other countries, particularly in Gaza.
<27>	Para sa kapangyarihan, patuloy pa ring lalala ang digmaan sa Gaza at patuloy pa ring dadami ang mga mamamayan na madadamay sa kaguluhang ito.	for power, the war in Gaza will continue to worsen and the people involved in this conflict will continue to increase.
