<1>	Filipino hero in foreign land Pinoy – tagapangalaga ng kapayapaan sa ibang bayan!	Filipino hero in foreign land Filipino - guardian of peace in other country!
<2>	Nang minsang magtungo ako sa Chicago ay nakilala ko ang isang Filipinong pulis doon – si Detective Edwin Dantes.	when I went to Chicago once, I met a Filipino police there, Detective Edwin Dantes.
<3>	Tubong Cabanatuan City ang pamilya ni Edwin.	Edwin's family is raised in Cabanatuan City.
<4>	Isang nurse ang kanyang ina at ang kanyang ama naman ay isang pulis sa kanilang bayan.	his mother is a nurse and his father is a police in their town.
<5>	Nang ipetisyon ng isang ospital sa Chicago ang kanyang ina upang doon na magtrabaho ay sumunod doon ang kanilang ama.	when a hospital in Chicago petitioned his mother to work there, their father followed.
<6>	Taong 1969, sa edad na pito ay nakarating at nagsimulang manirahan si Edwin sa Chicago kasama ang kanyang dalawa pang kapatid.	in the year 1969, at the age of seven, Edwin reached and started living in Chicago with his two siblings.
<7>	Pinetisyon sila ng kanilang mga magulang.	they are petitioned by their parents.
<8>	Sa nasabing bansa na siya nag-aral at lumaki.	he studied on the said country and grew up there.
<9>	At bagama’t noong una ay nahirapan siya sa pag-a-adjust sa lengguwahe doon, hindi nagtagal ay nakasanayan na rin niya ito.	and even though at first, he had a difficulty in adjusting with the language there, not long after he became used to it.
<10>	Wala sa plano ni Edwin ang maging isang pulis, subalit tila nasa dugo nga yata niya ito sapagkat noong nasa kolehiyo siya ay naisipan na niyang pumasok sa military bilang miyembro ng security police sa airforce.	Edwin did not have a plan to become a police, but somehow, it is already been in his blood because when he was in college, he already thought of entering the military as member of the security police in air force.
<11>	“Noong una nasa airforce ako, apat na taon akong nasa Clark airbase,” kwento niya.	"in the beginning, I was in the air force, I was at the Clark airbase for four years," he narrated.
<12>	Sa Clark Airbase sa Pampanga niya piniling magpadestino sapagkat nais niyang makauwi sa bansa.	he chose to be assigned at Clark Airbase Pampanga because he wanted to go home to the country.
<13>	Matapos ang kanyang destino sa Clark, bumalik siya sa U.S.	after his assignment at Clark, he went back to U.S.
<14>	Doon niya naisipan na maging isang pulis.	there, he thought of becoming a police.
<15>	Noong una, sa suburbs siya nadestino bilang isang patrolman, subalit nalipat siya sa Chicago.	in the past, he was assigned in suburbs as a patrolman, but he was transferred to Chicago.
<16>	Mula sa kwento ni Edwin ay aking napagtanto na hindi biro ang pinagdaraanan ng isang pulis, sapagkat bukod sa pag-aaral at pagpasok sa academy ay kinakailangan ding maipasa ang iba’t ibang physical exam at training.	from Edwin's story, I realized that the experiences of a police are not a joke, because aside from studying and entering the academy, various physical exams and training need to be passed.
<17>	“Paglabas ko sa academy, may FTO (Field Training Officer).	"when I went out of the academy, there is an FTO (Field Training Officer).
<18>	Kailangan na sa loob ng tatlong buwan, may kasama kang FTO bago may one year probation,” saad niya.	within three months, you should be accompanied by an FTO before a one-year probation," he said.
<19>	Iba’t ibang departamento rin ang napasukan niya, kabilang na rito ang street crime and fake program unit at tactical team, na naglalayong alisin ang mga gang, drug at mga baril sa kalsada upang mabawa-san ang karahasan.	he has entered different departments, included here are the street crime and fake program unit and tactical team, with a goal to remove the gangs, drug and guns on the streets to lessen violence.
<20>	Mula sa pagiging isang patrolman na gumagawa ng mga preliminary investigation sa isang kaso ay naging FTO siya at naibahagi niya ang kanyang kaalaman at naging gabay ng mga bagong pulis.	from being a patrolman conducting preliminary investigation in a case, he became an FTO and shared his knowledge and became a guide to new policemen.
<21>	Hindi nagtagal ay nagbunga ang mga pagsisikap ni Edwin sapagkat mula sa pagiging isang FTO ay muli siyang na-promote at naging isang detective.	not long after, Edwin's hard work bore fruit because from being an FTO, he was promoted and became a detective.
<22>	Kinailangang muling sumai-lalim sa training at pag-aaral sa detective school ni Edwin upang higit na magkaroon ng kaalaman sa trabahong hahawakan niya, at dahil sa tiyaga at pagsisikap ay nalagpasan niya ang mga pag-subok na iyon.	Edwin needed to undergo training and studies again from detective school to gain more knowledge on the job that he would be handling, and because of perseverance and hard work, he surpassed those challenges.
<23>	Hindi madali ang trabaho ng isang detective na gaya ni Edwin, sapagkat bukod sa posibilidad na balikan siya ng mga criminal na inaresto niya ay mabigat na tungkulin rin ang nakaatang sa mga balikat niya- ang maglingkod sa bayan at siguraduhing ligtas ang mga mamamayan- ngunit kung may puso at compassion na nararamdaman para sa pagseserbisyo sa kapwa nasa sariling bayan man o hindi, kahit gaano pa kabigat na tungkulin ay magiging magaan.	the work of a detective like Edwin is not easy, because, aside from the possibility that the criminals he has arrested will go back to him, a heavy duty is also put on his shoulders - to serve the nation and make sure the citizens are safe - but if there is a heart and compassion felt for the service of the people, whether on his own country or not, no matter how heavy the duty might be, it will become lighter.
