<1>	Naga City pinarangalan ng DA bilang top 16 rice producing cities sa buong bansa	Naga City awarded by the DA as top 16 rice producing cities in the whole country
<2>	April 28, 2016 Danilo Abad	April 28, 2016 Danilo Abad
<3>	LUNGSOD NG NAGA, Abril 28 (PIA) -- Binigyan ng parangal ng Kagawaran ng Pagsasaka ang lokal na pamahalaan ng lungsod ng Naga bilang top 16 rice producing cities sa buong bansa.	City of Naga, April 28 (PIA) - the Department of Agriculture gave an award to the local government of the City of Naga as top 16 rice producing cities in the whole country.
<4>	Tinanggap ni city agriculturist Edna Bongalonta ang tropeo at tseke na nagkakahalaga ng P1 milyon mula kina Department of Agriculture (DA) Secretary Proceso J. Alcala at Assistant Secretary Edilberto M. De Luna.	received by city agriculturist Edna Bongalonta are the trophy and check worth P1 million from Department of Agriculture (DA) Secretary Proceso J. Alcala and Assistant Secretary Edilberto M. De Luna.
<5>	Ang Agri-Pinoy Rice Achivers Award (APRAA) 2015 ay idinaos sa Resort World sa Pasay City, Manila noong Abril 20, 2016 .	the Agri-Pinoy Rice Achievers Award (APRAA) 2015 was held in Resorts World in Pasay City, Manila last April 20, 2016.
<6>	Ang lungsod ng Naga ay nanguna sa ibat-ibang lungsod at bayan sa buong rehiyon Bicol sa pamagitan ng highest production growth ng 50.12% mula sa 6,298.94 metric ton ng taon 2014 na umabot na sa 9,456.06 metric ton ng nakalipas na taon 2015.	the city of Naga led the various cities and municipalities in the whole Bicol region through the highest production growth of 50.12% from the 6,298.94 metric ton in the year 2014 which already reached up to 9, 456.06 metric ton from the past year 2015.
<7>	Ayon kay DA 5 spokesperson Emily B. Bordado, ang lungsod ng Naga ay nagkaroon ng yield growth ng 28%.	according to DA 5 spokesperson Emily B. Bordado, the city of Naga acquired a yield growth of 28%.
<8>	Mula sa 4.05 metric ton bawat ektarya ay umabot na sa 5.20 metric ton kada ektarya ang ani ng palay.	from 4.05 metric ton each hectare, the rice harvest reached up to 5.20 metric ton per hectare.
<9>	Sinabi ni Bordado na nadagdagan din ang rice area ng 16% mula sa 1,555.	Bordado said that the rice area was also added with 16% from 1,555.
<10>	7 ektarya ay umabot na rin sa 1,817.65 ektaryang palayan.	7 hectares have also reached 1, 817.65 hectares of rice.
<11>	Nagtala rin ng sobra sa 64% ang nadagdag sa high quality seeds utilization sa Lungsod ng Naga.	recorded also a surplus more than 64% in high quality seeds utilization in the City of Naga.
<12>	Ang Lokal na Pamahalaan ng Lungsod ng Naga ay nagkaroon ng budget allocation sa kanilang Rice Program ng 25.36% mula sa Internal Revenue Allotment (IRA) na may katumbas ng 3 milyong piso.	the Local Government of the City of Naga acquired a budget allocation of 25.36% in their Rice Program from the Internal Revenue Allotment (IRA) which has an equivalent of 3 million pesos.
<13>	Ipinapatupad rin ng lokal na pamahalaan ang 13 proyekto na may kaugnayan sa rice at agriculture programs ng siyudad bilang suporta sa mga magsasaka.	the local government is also implementing the 13 projects which have a relation to the rice and agriculture programs in the city as a support to the farmers.
<14>	Ang Agri-Pinoy Rice Achivers' Award ay kasama sa regular na programa ng naturang ahensiya na nagbibigay ng insentibo sa mga lokal na yunits ng gobyerno maging lalawigan o kaya munisipalidad, mga Irrigators Association, Small Water Impounding System Associations (SWISAs), Agricultural Extension Workers (AEWs) at Local Farmer Technicians (LFTs). Ang naturang programa ay bilang pagkilala sa kanilang ambag na mapataas ang ani ng mga magsasaka sa kanilang lugar, madagdagan ang kanilang kita, makatulong para matugunan ang pagkukulang ng bigas sa bansa.	The Agri-Pinoy Rice Achievers Award is part of the regular program of the said agency which is giving an incentive to the local units of the government as well as the provinces or the municipalities, the Irrigators Association, Small Water Impounding System Associations (SWISAs), Agricultural Extension Workers (AEWs) and Local Farmer Technicians (LFTs). the said program is for the recognition of their contribution to raise the harvest of the farmers in their place, augment their profit, to be able to aide in order to address the insufficiency of rice in the country.
<15>	Ang Rice Achievers Award ay nasa ilalim ng National Rice Program ng Department of Agriculture.	The Rice Achievers Award is under the National Rice Program of the Department of Agriculture.
<16>	(DCA-PIA5/Camarines Sur)	(DCA-PIA5/Camarines Sur)
