<1>	BAGONG ‘FISHERY REGULATION’ NG BANSANG TSINA MAY bago na namang alituntunin ang Tsina.	new fishing regulation of the country China China has a new regulation.
<2>	Bawal ang mangisda sa kanilang “teritoryo.”	fishing is prohibited in their territory.
<3>	Sasamsamin ang lahat ng huling isda at mga gamit pangisda at papatawan ng multang hindi hihigit sa 500,000 Yuan (o Php3.3 Milyon) ang mahuhuling lumalabag.	confiscate all the fishes caught and fishing equipment and impose fine not more than 500,000 yuan or (Php 3.3 million) for those who will be caught violating.
<4>	Ang sinasabi nilang kanilang “teritoryo” ay ang nasasakupan ng walang basehang “nine-dash line.” At ang “siyam na guhit” sa mapa ng karagatang kanilang inaangkin (subalit walang basehan sa UNCLOS) ay sumasakop din sa malaking bahagi ng West Philippine Sea—kasama ang 200 Nautical Mile Exclusive Economic Zone ng Pilipinas.	the territory they said as theirs is part of the baseless nine-dash line. and the nine dashes on the map of the ocean which they are claiming (but baseless in the UNCLOS) is covering a large part of the West Philippine Sea - including the 200 Nautical Mile Exclusive Economic Zone of the Philippines.
<5>	Maliwanag ang pattern ng Tsina sa pagbibigay ng mga pansariling deklarasyon.	the pattern of China is clear in giving their own declaration.
<6>	Sinimulan muna nitong ipaalala muli sa mundo ang kanyang “nasasakupang” katubigan na napapaloob sa “nine dash line.”	it started to make the world remember of the sea it covers within the nine dash line.
<7>	Matapos ‘yun, nagdeklara naman ang Tsina ng Air Defense Identification Zone (ADIZ) sa East China Sea na may layuning iitsapwera ang mga bansang kanugnog nito sa silangan na lumipad sa papawirin na “nasasakupan” nito.	after that, China declared an Air Defense Identification Zone (ADIZ) at the East China Sea which aims to dismiss its neighboring countries in the east from flying over the airspace it "covers".
<8>	Hangad nitong makamit ang seguridad sa kanyang air space.	it aims to achieve security in its air space.
<9>	Hindi nakapagtatakang ang kasunod na naging hakbang ng Tsina ay ang pinakahuli nitong deklarasyon.	it is not even a wonder that the next step of China is its latest declaration.
<10>	Sa naturang pagbabawal sa pangingisda sa karagatang sakop ng South China Sea, walang makapangingisda sa dakong ‘yun nang walang pahintulot ng Tsina.	in the said prohibition on fishing on the ocean which is part of the South China Sea, no one can fish on that part without China's permission.
<11>	Layon ng pagbabawal ang food security para sa kanyang mamamayan.	the objective of the prohibition is the food security of its citizens.
<12>	Wala pa namang marahas na hakbang ang Tsina laban sa mga sumusuway sa kanyang mga deklarasyon.	China has no violent step yet against those who are violating its declaration.
<13>	Subalit malinaw ang mga nakasulat sa pader, at ang mensahe ng Tsina ay tila: “Wala kaming sisinuhin.”	but what is written on the wall is clear, and the message of China seems: "we do not exempt anyone."
<14>	Maraming insidente na ang napabalita kung saan ang kinikilalang nag-iisang superpower sa mundo, ang Amerika, ay kanya nang sinampolan. Napabalita ang nangyari sa barko ng Amerika na USS Impeccable kung saan sinasabing muntik na silang magkabanggaan ng isang barko ng Tsina matapos tawirin ng huli ang direksyong binabagtas ng una.	many incidents have been reported where the only recognized superpower in the world, the America, has been made as its example. the incident happened to the ship of America, the USS Impeccable, was reported to have almost collided with a Chinese ship when the latter crossed the direction taken by the former.
<15>	Gayundin ang barkong USS John McCaine na ang kanyang towed array ay sinira ng isang submarinong diumano’y pag-aari ng Tsina.	as well as the USS John McCaine ship whose towed array was destroyed by a submarine said to be owned by China.
<16>	Pinakahuli ay ang insidente na muntik nang magkabanggaan ang isang barkong pandigma ng Tsina at ang USS Cowpens noong ika-5 ng Disyembre 2013.	the latest is the incident where China's warship and USS Cowpens almost collided to each other last December 5, 2013.
<17>	At ang pinaka-finale kumbaga ng pagpapakita ng Tsina ng kanyang military muscle ay ang paglulunsad at paglalayag ng kanyang pinakaunang aircraft carrier, ang Liaoning.	and the most final, or the display of China of its military muscle, is the launching and sailing of its first aircraft carrier, the Liaoning.
<18>	Ang huling pagbabawal ng Tsina sa pangingisda sa karagatang “sakop” nila ay tuwirang nakaaapekto sa kabuhayan ng mga mamamayan sa mga bansang umaangkin sa pinag-aagawang teritoryo.	the latest prohibition of China to fish on the ocean it covers is directly affecting the livelihood of the citizens of the countries claiming the disputed territory.
<19>	Sa ganang Pilipinas, nililinaw ng Kagawaran ng Ugnayang Panlabas kung anong ibig sabihin ng Tsina sa kanyang pagbabawal gayong ang lugar pangisdaang kanyang sinasaklawan ay bahagi pa ng ating 200 nautical mile EEZ.	for the Philippines, the Commission on International Relations clarified what China meant in its prohibition while the fishing zone it covers is still part of our 200 nautical mile EEZ.
<20>	Mas malaman ang napaulat na sagot ng tagapagsalita ng kaparehong tanggapan sa bansang Vietnam.	the report of the reply of the spokesperson of both department of the country Vietnam has a good content.
<21>	Aniya, iligal at walang basehan ang anomang aktibidad sa Paracels at Spratlys nang walang permiso ng kanyang bansa.	according to him, any activity on the Paracels and Spratlys has no basis if it does not have a permit from its country.
<22>	Kung ating lilimiin, ang bansang may kakayahang ipatupad ang kanyang deklarasyon ay nananaig.	if we pay attention to it, the country which has the ability to implement its declaration wins.
<23>	Ang mga mangingisdang Tsino ay pumapasok na sa loob ng EEZ ng Pilipinas.	the Chinese fishermen are entering inside the EEZ of the Philippines.
<24>	Sa mapanirang pamamaraan, kinukuha nila ang mga yamang-dagat ng bansa.	in a destructive way, they are taking the marine resources of the country.
<25>	At habang ginagawa nila iyon, nakamasid sa ‘di kalayuan ang mga bapor pandigma ng Tsina.	while they are doing it, the warships of China are just watching not far from the distance.
