<1>	ANG SAKIT NAMAN NITO	this hurts
<2>	ISA tayo sa unang pumuri sa traffic enforcer na nagtitinda ng kakanin na naka-uniform pa ng MMDA.	we were one of the first to praise the traffic enforcer selling rice cakes while wearing the MMDA uniform.
<3>	Natuwa tayo nang i-promote siya ni Chairman Francis Tolentino dahil na-impress sa kwento na nagsisikap daw ang empleyado ng MMDA na maragdagan ang kita para pang-kolehiyo ng anak.	we were joyed when he was promoted by Chairman Francis Tolentino because he was impressed with the story that the MMDA employee is working hard to increase his income for the college tuition of his child.
<4>	Pero ang daming umalma sa kolum natin na pumuri sa nasabing enforcer.	but many complained about our article that praised the said enforcer.
<5>	May mga MMDA employees din kasi na medyo nagreklamo: bakit daw ‘yung kasamahan nila na nag-sideline sa oras ng trabaho ay promoted, sila na tutok sa trabaho ay hindi?	there were also MMDA employees who complained a bit: why was their colleague who had a sideline during work hours promoted, but they who are focused on their job were not?
<6>	Ang nagiging isyu tuloy ay kung ano ang epekto kapag ginagamit ng isang empleyado ang kanyang uniporme para magtinda.	the effect when an employee uses his uniform in order to sell is the resulting issue.
<7>	Hindi nalalayo sa kwento ng mga teacher na nagtitinda ng tocino sa mga magulang ng kanilang estudyante?	not so different to the story of teachers who sell tocino to the parents of their students?
<8>	O mga prosecutor na nagtitinda ng condominium units sa mga taong may nilalakad na kaso sa korte?	or prosecutors who sell condominium units to the people negotiating cases in court?
<9>	Tama ba ito o mali?	is this right or wrong?
<10>	Ginagamit ba ng guro ang kanyang puwesto para makabenta ng tocino?	does the teacher use his position in order to sell tocino?
<11>	Ginagamit ba ng prosecutor ang kanyang kapangyarihan para makabenta ng condo unit?	does the prosecutor use his power in order to sell a condo unit?
<12>	Indirectly, pwede.	indirectly, it can be.
<13>	Dapat malinaw ang puntong ito at masilip ang eksaktong provision sa anti-graft law or sa code of conduct and ethical standards for public officials and employees.	this point should be clear and the exact provision in the anti-graft law or in the code of conduct and ethical standards for public officials and employees should be looked at.
<14>	Para naman sa akin ay mabuti ang mga empleyado ng gobyerno na nagsa-sideline para kumita pero dapat nga ay malinaw ang pwedeng gawin, kung ano ang tama o mali.	for me, it is okay for government employees to have other jobs in order to earn more, but what they can do should be clear, what is right or wrong.
<15>	Halimbawa nga ‘yung traffic enforcer na naka-uniform habang nagtitinda ng kakanin sa mga bus driver.	for example is the traffic enforcer in uniform who sells rice cakes to bus drivers.
<16>	Pero ang mas masakit ay ang sumbong na totoo raw na ginagamit ng MMDA traffic enforcer na ito ang kanyang uniform para mabenta ang kanyang kakanin at sa mas mahal na halaga.	but what is worse is the complaint that this MMDA traffic enforcer really uses his uniform in order to sell rice cakes and in higher prices.
<17>	Nagulat ako sa mga lumapit sa akin, mula nang lumabas ang ating kolum na pinupuri siya, may mga ebidensya ng corrupt acts laban sa taong ito na hinangaan nating lahat.	I was surprised by those who approached me, since our article which praised him was released, there are evidence of the corrupt acts against this person whom everyone admired.
<18>	Ang daming isyu ang tatalakayin natin sa susunod na mga araw tungkol dito, masakit man sa damdamin nating lahat.	there are many issues that we are going to discuss in the following days about this, even it is painful to all our feelings.
<19>	Subaybayan n’yo ang ating kolum.	subscribe to our column.
<20>	Ang mahalaga lang ngayon ay huwag nang makapanloko ang mga tao na gamit ang simbolo ng ahensya ng ating gobyerno.	what is just important now is to not be deceived by people using symbols of our government agencies.
<21>	oOo Mag-email ng inyong reaksyon sa ariel.inton@gmail.com or text sa 09178295982 o 09235388984.	email your reaction to ariel.inton@gmail.com or text 09178295982 or 09235388984.
<22>	SIBOL/ATTY. ARIEL ENRILE-INTON	Sibol/Attorney Ariel Enrile-Inton
